Name,Description,Address,Postcode,Telephone,Email,Website
"Abbeyhill Primary School",,"Abbey Street","EH7 5SJ","0131 661 3054",admin@abbeyhill.edin.sch.uk,"<a href=""http://www.abbeyhill.edin.sch.uk""> Abbeyhill Primary School</a>"
"Active Inquiry","Active Inquiry is an arts company based in Edinburgh committed to creating exciting new theatre and arts projects with and for communities.","10 Henderson Place",,"0771 4321 629",gavin@activeinquiry.co.uk,"<a href=""http://www.activeinquiry.co.uk""> Active Enquiry</a>"
"All or Nothing","All or Nothing are an aerial dance theatre company  based in Edinburgh and work to develop greater opportunities to experience aerial dance & theatre,  running classes, workshops, outreach and training programmes, throughout Scotland and further afield.",,,"0044 7989 978598",info@aerialdance.co.uk,"<a href=""http://www.aerialdance.co.uk""> All or Nothing</a>"
"Artlink Edinburgh and the Lothians","Artlink support and provide opportunities for individuals who experience disadvantage or disability to take part in the arts in Edinburgh and the Lothian region","13a Spittal Street","EH3 9DY","0131 229 3555",info@artlinkedinburgh.co.uk,"<a href=""http://www.artlinkedinburgh.co.uk""> Artlink Edinburgh</a>"
"Arts & Business Scotland","Arts & Business Scotland sparks new partnerships between commerce and culture and provide advice and events on areas like sponsorship and governance.","11 Abercromby Place","EH3 6LB","0131 556 3353",contactus@aandbscotland.org.uk,"<a href=""http://www.aandbscotland.org.uk""> Art and Business Scotland</a>"
"Audio Description Scotland","Audio Description Scotland provide information on Audio description including Audio Description services, membership, training, equipment and a calander of Scotland wide audio described events.",,,,adas@adascotland.com,"<a href=""http://www.adascotland.com""> Audio Description Scotland</a>"
"Basketball Scotland","Basketball scotland is the national governing body for the sport of basketball in Scotland. Everything you want to know about Basketball in Scotland can be sourced through Basketball Scotland.","Caledonia House,South Gyle","EH12 9DQ","0131 317 7260",East.Central@basketball-scotland.com,"<a href=""http://www.basketballscotland.co.uk""> Basketball Scotland</a>"
"Big Lottery Fund Scotland","Big Lottery Fund Scotland awards lottery money to community groups and projects that improve health, education and the environment.",,,"0300 123 7110",enquiries.scotland@biglotteryfund.org.uk,"<a href=""http://www.biglotteryfund.org.uk/scotland""> Big Lottery Fund</a>"
"ClubSport Edinburgh","ClubSportEdinburgh is the local sports council for Edinburgh. They represent many sports clubs providing a strategic voice in developing sport while also providing many other benefits to member clubs. The organisation promotes interest and participation in sport and physical recreation in the city and co-ordinate and promote the work of the various sports clubs in the city.","4 East Market Street, Edinburgh","EH8 8BG","0131 529 7860",colin.mcmillan@edinburgh.gov.uk,"<a href=""http://www.ClubSportEdinburgh.org""> ClubSport Edinburgh</a>"
"Craiglockhart Tennis Centre/The Meadows","Edinburgh Leisure have courts across the City - from beginners to performance play they're all accessible for the public. With indoor and outdoor courts as well as short tennis options in  their sports centres, there's a way for everyone to play tennis.","177 Colinton Road","EH14 1BZ","0131 477 8406",annamyatt@edinburghleisure.co.uk,"<a href=""http://www.edinburghleisure.co.uk""> Edinburgh Leisure</a>"
"Creative Business Advisor","Creative Business Advisor is a consultancy based in Edinburgh supporting the Creative and Cultural Industries in Scotland, with emphasis on economic and business development.",,,"0131 467 3992",creativebusinessadvisor@fsmail.net,"<a href=""http://www.creativebusinessadvisor.co.uk""> Creative Business Advisor</a>"
"Creative Carbon Scotland","Creative Carbon Scotland is a new partnership of cultural organisations working towards a low carbon Scotland through carbon management and climate-change related strategic work.","4 East Market Street, Edinburgh","EH8 8BG",,info@creativecarbonscotland.com,"<a href=""http://www.creativecarbonscotland.com""> Creative Carbon Scotland</a>"
"Creative Edinburgh","Creative Edinburgh is a not-for-profit membership organisation through which creative industry businesses and individuals in Edinburgh can connect to available support, programmed events, business-to-business networks, skills development and investment opportunities.","56 Palmerston Place","EH12 5AY",,info@creative-edinburgh.com.,"<a href=""http://www.creative-edinburgh.com""> Creative Edinburgh</a>"
"Creative Electric","Creative Electric is a theatre company for 16 to 22yrs olds where theatre is created for young people by young people.",,,7810644112,creative_electric@hotmail.com,"<a href=""http://www.creative-electric.co.uk""> Creative-Electric</a>"
"Creative Scotland","Creative Scotland is the  lead body for the funding, development and advocacy of the arts in Scotland.","Waverley Gate, 2-4 Waterloo Place","EH1 3EG",3303332000,enquiries@creativescotland.com,"<a href=""http://www.creativescotland.com""> Creative Scotland</a>"
"Creative Scotland","Creative Scotland is the national leader for Scotland","Waverley Gate, 2-4 Waterloo Place","EH1 3EG",3303332000,enquiries@creativescotland.com,"<a href=""http://www.creativescotland.com""> Creative Scotland</a>"
"Creative Services Scotland","Creative Services is an independent cultural consultancy practice and it has undertaken over 200 short and long-term projects, from developing national cultural policy to writing television scripts.",,,"0800 0938 598",cssadmin@creativeservicesscotland.co.uk,"<a href=""http://www.creativeservicesscotland.co.uk""> Creative Services Scotland</a>"
"Crush Digital","Crush Digital is an agency in Edinburgh, specialising in web design, development and internet marketing.","43 Constitution Street","EH6 7BG","0845 658 1657",hello@crushdigital.co.uk,"<a href=""http://www.crushdigital.co.uk""> Crush Digital</a>"
"Dance Base","As Scotland","14 Grassmarket","EH1 2JU","0131 225 5525",dance@dancebase.co.uk,"<a href=""http://www.dancebase.co.uk""> Dance Base</a>"
"Dance Namaste","Dance Namaste is a dance company based in Edinburgh working with diverse communities and is about making connections. The company offers everybody the chance to explore expression through personal dance movement, to watch exquisite dance and to learn elaborate techniques of Asian dance forms.",,,"07780 565352",charan@dancenamaste.co.uk,"<a href=""http://dancenamaste.co.uk""> Dance Namaste</a>"
"Drake Music","Drake Music Scotland is the nation","11 Harewood Road","EH16 4NT","0131 659 4766",info@drakemusicscotland.org,"<a href=""http://www.drakemusicscotland.org""> Drake Music Scotland</a>"
Ecas,"Ecas is a voluntary organisation dedicated to giving friendly and practical help to physically disabled people.   from running classes through to providing individual grants for holidays and equipment and supporting initiatives like the befriending project Ecas aim to bring greater freedom to physically disabled people.","Norton Park, 57 Albion Road","EH7 5QY","0131 475 2344",info@ecas-edinburgh.org,"<a href=""http://www.ecas-edinburgh.org""> Ecas</a>"
"Edinburgh Art Festival","Edinburgh Art Festival is Scotland","2 Market Street","EH1 1DE","0131 226 6558",info@edinburghartfestival.com,"<a href=""http://www.edinburghartfestival.com""> Edinburgh Art Festival</a>"
"Edinburgh City Boot Camps","Edinburgh City Boot Camps combine military fitness with traditional body weight workouts. It is superbly motivational, safe and is a highly effective exercise regime.",,,,csmbootcamp@hotmail.co.uk,"<a href=""http://www.edinburghcitybootcamps.com""> Edinburgh City Boot Camps</a>"
"Edinburgh College","Edinburgh College has been formed as a result of the merger between Edinburgh",,,"0131  669 4400",info@edinburghcollege.ac.uk,"<a href=""http://www.edinburghcollege.ac.uk""> Edinburgh College</a>"
"Edinburgh Contemporary Crafts Workshop","Edinburgh Contemporary Crafts is home to seven resident makers, whose work covers most craft forms. They offer a variety of courses including  textiles, print, ceramics, jewellery and sewing.","59 Home Street","EH3 9JP","07816 640298",info@EdinburghContemporaryCraftsWorkshop.co.uk,"<a href=""http://www.edinburghcontemporarycraftworkshops.co.uk""> Edinburgh Contemporary Craft Workshops</a>"
