DESCRIP10,BUSINESS10,USECLASS86,USECLASS96,USECLASS04,USECLASS10,ADDRESS,POSTCODE
restaurant,CafÚ at the Palace,Class 3,Class 9,Class 3,Class 3,9 ABBEY STRAND,EH8 8DU
souvenirs,Queen's Gallery Shop,,,Class 1,Class 1,9(GF) ABBEY STRAND,EH8 8DU
vacant,vacant,,,UNKNOWN USE,Vacant,55 ABBEYHILL,EH8 8EA
building consultants,Ardmore Home Care,Class 2,Class 4,Class 4,Class 4,4 ABERCORN ROAD,EH8 7DE
restaurant,Karens Unicorn,,,Class 3,Class 3,8B ABERCROMBY PLACE,EH3 6LB
vacant,vacant,Vacant,Class 2,Vacant,Vacant,4 ACADEMY STREET,EH6 7EF
public house,The Magnum,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,1 ALBANY STREET,EH1 3PY
medals and engravers,Alex Kirkwood and Sons,,,Class 1,Class 1,13(GF) ALBANY STREET,EH1 3PY
hairdresser,Charles Kivlin Hair Studio,Class 1,Class 1,Class 1,Class 1,2 ALBANY STREET,EH1 3QB
hairdresser,Charles Kilvin Hair studio,Class 2,Class 4,Class 4,Class 1,4 ALBANY STREET,EH1 3QB
vacant,vacant,Class 1,Class 1,Class 1,Vacant,1 ALBERT PLACE,EH7 5HN
hairdresser,Helen Dean,Class 1,Class 1,Class 1,Class 1,3 ALBERT PLACE,EH7 5HN
restaurant,Bonoful,,,,Class 3,13-17 BRIGHTON PLACE,EH15 1LH
books,Word Power,,,,Class 1,"43-45 NICOLSON STREET, WE",EH8 9DB
restaurant (Indian & Bangladeshi),Kismot,,,,Class 3,29-35 ST. LEONARD'S STREE,EH8 9QN
hot food take-away,Merdos,,,,SUI GENERIS,11-12 OXGANGS BROADWAY,EH13 9LQ
hot food take away (Chinese),No. 1 Kitchen,,,,SUI GENERIS,78 NIDDRIE MAINS ROAD,EH16 4BG
restaurant & hot food take-away,Haq,Vacant,Class 3,Class 3,Class 3,4 ALBERT PLACE,EH7 5HN
vacant,vacant,Vacant,Class 2,Class 2,Vacant,5 ALBERT PLACE,EH7 5HN
grocer,Star Premier,Class 1,Class 1,Class 1,Class 1,7-8 ALBERT PLACE,EH7 5HN
sandwich bar,Sandwich Express,Vacant,Class 1,Class 3,Class 1,9 ALBERT PLACE,EH7 5HN
grocer,Polish mini market,Class 1,Class 1,Class 1,Class 1,10 ALBERT PLACE,EH7 5HN
hot food take-away,Silver Bowl,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,12 ALBERT PLACE,EH7 5HN
travel agent,Airlink Travel (Scotland) Ltd.,Class 1,Class 1,Class 1,Class 1,13 ALBERT PLACE,EH7 5HN
restaurant,The Tail End,,,Class 3,Class 3,14-15 ALBERT PLACE,EH7 5HN
public house,Priscilla's,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,17 ALBERT PLACE,EH7 5HN
Taxi dispatch,Air Trans,Class 1,Class 1,SUI GENERIS,Class 4,20 ALBERT PLACE,EH7 5HN
mobile phones,Unlock IT,Class 1,Class 1,Class 1,Class 1,21-22 ALBERT PLACE,EH7 5HN
delicatessen (polish),Tradycja,SUI GENERIS,SUI GENERIS,SUI GENERIS,Class 1,25 ALBERT PLACE,EH7 5HN
vacant,vacant,Class 1,Class 1,Class 1,Vacant,26 ALBERT PLACE,EH7 5HN
nail salon,Glam,Class 1,Class 1,Class 1,Class 1,27 ALBERT PLACE,EH7 5HN
hairdresser,The Cutting Room,Class 1,Class 1,Class 1,Class 1,28 ALBERT PLACE,EH7 5HN
cafÚ,Word of Mouth,Class 3,SUI GENERIS,Class 3,Class 3,3A ALBERT STREET,EH7 5HL
chartered surveys,Randall Associates,Class 2,Class 4,Vacant,Class 4,21 ALBERT STREET,EH7 5LH
grocer,Rajjah's Supermarket,Class 2,Vacant,Vacant,Class 1,33 ALBERT STREET,EH7 5LH
estate agents,W.W. & J. Borland,Vacant,Class 2,Class 2,Class 2,45 ALBERT STREET,EH7 5LN
dwelling,dwelling,SUI GENERIS,SUI GENERIS,Class 4,Class 9,,
vacant,vacant,,,Vacant,Vacant,101 ALBERT STREET,EH7 5LY
vacant,vacant,Class 1,Class 1,Class 1,Vacant,,
vacant,vacant,Class 1,Class 2,Class 2,Vacant,10 ALBERT STREET,EH7 5LG
baker,Sicilian Pastry Shop,Class 1,Class 1,Class 1,Class 1,14-16 ALBERT STREET,EH7 5LG
grocer,Ben Stores,,,Class 1,Class 1,18-20 ALBERT STREET,EH7 5LG
hot food take-away,Khyber Kebabs,Vacant,Class 1,SUI GENERIS,SUI GENERIS,24 ALBERT STREET,EH7 5LG
vacant,vacant,Class 1,Class 1,Class 1,Vacant,13 ANTIGUA STREET,EH1 3NH
fitness equipment,Powerhouse,Class 1,Class 1,Class 1,Class 1,14 ANTIGUA STREET,EH1 3NH
bank,Bank of Scotland / HBOS,Class 2,Class 2,Class 2,Class 2,1(GF) ARDMILLAN TERRACE,EH11 2JN
hairdresser,Natisse Hairdressing,Class 1,Class 1,Class 1,Class 1,2 ARDMILLAN TERRACE,EH11 2JN
chemist,Springwell Pharmacy,Class 1,Class 1,Class 1,Class 1,3 ARDMILLAN TERRACE,EH11 2JN
chimney sweep,Auld Reekie,Class 1,Vacant,Class 4,Class 4,24 ARDMILLAN TERRACE,EH11 2JW
"trophies, engraving",Activity Awards,Class 2,Class 1,Class 1,Class 1,25 ARDMILLAN TERRACE,EH11 2JW
public house,Argyle Bar/The Hide,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,15-17 ARGYLE PLACE,EH9 1JJ
greengrocer,Nadia's Fruit Market,Class 4,Class 1,Class 1,Class 1,18 ARGYLE PLACE,EH9 1JJ
vacant,vacant,Class 1,Class 1,Class 1,Vacant,20 ARGYLE PLACE,EH9 1JJ
restaurant (Thai & Chinese),Hong,Class 3,Class 3,Class 3,Class 3,21 ARGYLE PLACE,EH9 1JJ
vacant,vacant,Class 1,Class 1,Class 1,Vacant,22 ARGYLE PLACE,EH9 1JJ
wholefoods,The New Leaf,Class 1,Class 1,Class 1,Class 1,23 ARGYLE PLACE,EH9 1JJ
bicycle repairs & accessories,Bicycle Works,Vacant,Class 1,Class 1,Class 1,30 ARGYLE PLACE,EH9 1JJ
professional services,Helen Lucas / The Roberts Partnership/ David Narro etc.,Class 2,Class 2,Class 2,Class 4,31 ARGYLE PLACE,EH9 1JT
architects,Burgess Adams,Class 4,Class 1,Class 2,Class 4,38 ARGYLE PLACE,EH9 1JT
coffee shop,Coffee House,Class 4,Class 1,Class 1,Class 3,39 ARGYLE PLACE,EH9 1JT
sauna,The New Gentle Touch,Class 1,Class 1,Class 11,Class 11,40 ARGYLE PLACE,EH9 1JT
chartered accountant,Tang & Co,Class 1,Class 1,Class 11,Class 2,41 ARGYLE PLACE,EH9 1JT
quantity surveyors,Morgan Munro/Intelligent Projects,Class 4,Class 4,Class 2,Class 4,43(BF) ARGYLE PLACE,EH9 1JT
office,n/a,Class 2,Class 2,Class 2,Class 4,,
hairdresser,Dian Ward Hairdressing,Vacant,Class 4,Class 1,Class 1,1E ASHLEY TERRACE,EH11 1RF
photographer,Klaklack Design & Photography,,,Class 4,Class 2,1F ASHLEY TERRACE,EH11 1RF
n/t/c & grocer,M.A's Newsagents,Class 1,Class 1,Class 1,Class 1,29-30 ASHLEY TERRACE,EH11 1RE
soft furnishings,James Aird,Class 1,Class 1,Class 1,Class 1,32 ASHLEY TERRACE,EH11 1RE
architects,Studio 33,Class 1,Vacant,Class 2,Class 4,33 ASHLEY TERRACE,EH11 1RE
clothing,toogoodforkids.com,Class 1,Class 4,Class 1,Class 1,34 ASHLEY TERRACE,EH11 1RE
letting agent,Craigflower Lettings,Class 1,Class 1,Class 1,Class 2,36 ASHLEY TERRACE,EH11 1RE
chemist,Tainsh Pharmacy,Class 1,Class 1,Class 1,Class 1,37 ASHLEY TERRACE,EH11 1RY
beauty salon,Revive Beauty,Class 1,Class 1,Class 4,Class 1,39 ASHLEY TERRACE,EH11 1RY
vacant,vacant,Class 1,Vacant,Class 4,Vacant,40 ASHLEY TERRACE,EH11 1RY
chartered accountants,Owen and Co,Class 1,Class 1,Class 4,Class 2,41 ASHLEY TERRACE,EH11 1RY
florist,Pollination,Class 1,Class 2,Class 1,Class 1,42 ASHLEY TERRACE,EH11 1RY
hairdresser,Stewarts,Class 1,Class 1,Vacant,Class 1,44 ASHLEY TERRACE,EH11 1RY
sandwich bar,Blueberry Hill,Class 1,Class 1,Class 1,Class 1,45 ASHLEY TERRACE,EH11 1RY
grocer,Margiotta,,,Class 1,Class 1,46-50 ASHLEY TERRACE,EH11 1RY
restaurant (Mongolian),Khublai Khan's Barbecue,SUI GENERIS,SUI GENERIS,Class 3,Class 3,43 ASSEMBLY STREET,EH6 7BQ
restaurant (Chinese),China Town,Class 3,Class 3,Class 3,Class 3,3 ATHOLL PLACE,EH3 8HP
engineers,Blackwood Partnership,Class 1,Class 4,,Class 4,6-7 ATHOLL PLACE,EH3 8HP
vacant,vacant,Class 1,Class 4,Class 4,Vacant,,
vacant,vacant,Class 4,Class 4,Class 2,Vacant,13 ATHOLL PLACE,EH3 8HP
computer centre,Standard Life,,Class 1,Class 4,Class 4,11 BAILEYFIELD CRESCENT,EH15 1ET
leisure centre,Party Planet,,,SUI GENERIS,Class 11,39 BAILEYFIELD ROAD,EH15 1NA
doctors surgery,Ratho Surgery,,,Class 2,Class 2,,
public house,Bridge Inn,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,27 BAIRD ROAD,EH28 8RU
cheesemonger,Ian J. Mellis,Class 1,Class 1,Class 1,Class 1,6 BAKER'S PLACE,EH3 6SY
vacant,"vacant (opening soon : The Bakers Place - bakery, patisserie & cafe)",Class 1,Class 1,Class 1,Vacant,7 BAKER'S PLACE,EH3 6SY
coffee shop,Starbucks,Class 1,Class 1,Class 3,Class 3,8-10 BAKER'S PLACE,EH3 6SY
office,Counselling Office,Class 4,Class 2,Class 2,Class 2,8 BALCARRES STREET,EH10 5JB
car showroom,Western Saab,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,21-22 BALCARRES STREET,EH10 5JD
personal trainer,Griffen fitness,Class 1,Class 1,Class 1,Class 11,3 BALFOUR STREET,EH6 5BY
hot food take-away,Seven Seas,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,7C BALFOUR STREET,EH6 5BY
vacant,vacant,Class 1,Class 1,Vacant,Vacant,,
grocer & n/t/c,A M Licensed Grocer,Class 1,Class 1,Class 1,Class 1,29 BALFOUR STREET,EH6 5DQ
dental laboratory,Dental Lab,,,Class 2,Class 2,28-30 BALFOUR STREET,EH6 5EP
butcher,Graham Cherrie,Class 1,Class 1,Class 1,Class 1,26 ALBERT STREET,EH7 5LG
architect,Icosis,Class 1,Class 4,Vacant,Class 4,28 ALBERT STREET,EH7 5LG
hot food take-away,Juding,,,SUI GENERIS,SUI GENERIS,30 ALBERT STREET,EH7 5LG
scrap metal,Albert Street Metals,Class 2,Class 2,Class 4,Class 4,34 ALBERT STREET,EH7 5LG
stonemason,Stone Restore,Class 4,Class 4,Class 4,Class 4,144 ALBERT STREET,EH7 5LT
vacant,vacant,Class 4,Vacant,Class 2,Vacant,152 ALBERT STREET,EH7 5LT
vacant,vacant,SUI GENERIS,SUI GENERIS,SUI GENERIS,Vacant,,
n/t/c,S & J Albert Stores,Class 1,Class 1,Class 1,Class 1,160 ALBERT STREET,EH7 5NA
building insulation (storage only),Holt Insulation Ltd.,Class 1,Class 1,Class 4,Class 4,176 ALBERT STREET,EH7 5NA
public house,The Office,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,180 ALBERT STREET,EH7 5NA
football shop,The Football Programme Shop,UNKNOWN USE,Class 1,Class 1,Class 1,5 ALBION ROAD,EH7 5QJ
dwelling,dwelling,Class 1,Class 1,Class 4,Class 9,,
take away food,Albion Snack Bar,Class 1,Class 1,Class 1,Class 1,11 ALBION ROAD,EH7 5QJ
hairdresser,Coleen's Rapid Salon,Vacant,Class 1,Class 1,Class 1,13 ALBION ROAD,EH7 5QJ
public house,Albion Bar,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,49 ALBION ROAD,EH7 5QP
car sales,Albion Road Garage,SUI GENERIS,SUI GENERIS,SUI GENERIS,SUI GENERIS,36-36A ALBION ROAD,EH7 5QU
car sales,Albion Road Garage,UNKNOWN USE,SUI GENERIS,SUI GENERIS,SUI GENERIS,38 ALBION ROAD,EH7 5QU
health studio & sauna,Scorpio Leisure,Class 4,Class 11,Class 11,Class 11,42-44 ALBION ROAD,EH7 5QU
grocer,Lifestyle Stop & Shop,,,Class 1,Class 1,52 ALBION ROAD,EH7 5QZ
vacant,vacant,,,Class 4,Vacant,56 ALBION ROAD,EH7 5QZ
vacant,vacant,Vacant,Vacant,Vacant,Vacant,58 ALBION ROAD,EH7 5QZ
graphic design,The Fourth Craw,,,Class 4,Class 4,8 ALEXANDER DRIVE,EH11 2RH
surveyors & estate agents,Davidson & Robertson,Class 2,Class 4,Class 4,Class 4,1 ALLAN PARK ROAD,EH14 1LD
restaurant,Howies,,,Class 3,Class 3,1A ALVA STREET,EH2 4PH
office,Abercrombie Financial Consultancy,,,Class 1,Class 2,11(BF) ALVA STREET,EH2 4PH
beauty salon,Claire's Beauty and Health,Class 1,Class 1,Class 1,Class 1,33 ALVA STREET,EH2 4PS
ladies clothing,Meloosha,Class 3,Class 3,Class 3,Class 1,34-34B ALVA STREET,EH2 4PY
bicycles,Edinburgh Bicycle Co-operative,,,Class 1,Class 1,5-11 ALVANLEY TERRACE,EH9 1DU
