Name,Categories,"Specialist care",Address,Postcode,"Phone number",Website,"How to arrange a place","More information from Care Inspectorate","More information from Better Caring","Available to download",Location
"Ark Housing Association","Residential Care Home","Learning disabilities","The Priory, Canaan Lane, Edinburgh","EH10 4SG","0131 447 9027","<a href=""http://www.arkha.org.uk/1/1/0/Home"">Ark Housing Association</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004073973"">Quality grades and inspection reports</a>",,,"55.92997145781331,-3.2024717330932617"
"Ashley Court Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly","33 Craighouse Terrace, Edinburgh","EH10 5LH","0131 447 2345","<a href=""http://www.randolphhill.com/our-homes/ashley-court/"">Ashley Court Nursing Home</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010612"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/ashley-court-residential-and-nursing-home_51930/"">Facilities, costs and specialist care</a>",,"55.923647,-3.223083"
"Belgrave Lodge Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly, Dementia, Mental health","45 Belgrave Road, Edinburgh","EH12 6NG","0131 334 9400",,"<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010613"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/belgrave-lodge-nursing-home_51931/"">Facilities, costs and specialist care</a>",,"55.942929,-3.2764"
"Belleville Lodge Nursing Home","Nursing Home, Short Breaks and Respite","Care of the elderly","5 Blackett Avenue, Edinburgh","EH9 1RT","0131 668 2799","<a href=""http://www.mansfieldcare.co.uk/our-homes/belleville-lodge-edinburgh/"">Bellvielle Lodge Nursing Home</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008169339"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/belleville-lodge-residential-and-nursing-home_51978/"">Facilities, costs and specialist care</a>",,"55.936546,-3.173751"
"Bield Housing Association - Craighall Care Home","Residential Care Home","Care of the elderly","99 Craighall Road, Edinburgh","EH6 4RD","0131 551 6266","<a href = ""http://www.bield.co.uk/Housing/properties/city-of-edinburgh/edinburgh/craighall-road"">Craighall Care Home</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010895"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/craighall-road-residential-home_51951/"">Facilities, costs and specialist care</a>",,"55.973328,-3.194702"
"Bield Housing Association - Stockbridge Care Home","Residential Care Home","Care of the elderly","2 Haugh Street, Edinburgh","EH4 1LT","0131 315 2238","<a href = ""http://www.bield.co.uk/Housing/properties/city-of-edinburgh/edinburgh/haugh-street"">Stockbridge Care Home</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010893"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/stockbridge-care-home_49168/"">Facilities, costs and specialist care</a>",,"55.95864,-3.209146"
"Blenham House","Nursing Home, Short Breaks and Respite",Dementia,"3 Sighthill Court, Edinburgh","EH11 4EU","0131 458 9820","<a href=""http://www.randolphhillgroup.com/latest/blenham-house.html"">Blenham House</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006140016"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/blenham-house-nursing-home_35669/"">Facilities, costs and specialist care</a>",,"55.92359,-3.287766"
"Braeburn Home","Residential Care Home","Care of the elderly, Dementia","35 Inverleith Terrace, Edinburgh","EH3 5NU","0131 332 1481",,"<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008176891"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/braeburn-residential-home_51979/"">Facilities, costs and specialist care</a>",,"55.96276,-3.208618"
"Braeside House","Nursing Home","Older people who are registered blind or visually impaired","81 Liberton Road, Edinburgh","EH16 6LE","0131 270 3020","<a href=""http://www.royalblind.org/braesidehouse/"">Braeside House</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010617"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/braeside-house-_51932/"">Facilities, costs and specialist care</a>",,"55.912915,-3.174426"
"Braid Hills Nursing Centre","Nursing Home, Short Breaks and Respite",Dementia,"77 Liberton Drive, Edinburgh","EH16 6NS","0131 672 1084","<a href=""http://www.bupa.co.uk/individuals/care-homes/choosing-a-bupa-care-home/find-a-care-home/braid-hills-care-home-edinburgh?cscmp=ch-search-braid-hills-care-home-edinburgh"">Braid Hills Nursing Centre</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2003010604"">Quality grades and inspection reports</a>","<a href=""http://www.bettercaring.com/care-homes/braid-hills-nursing-centre_51927/"">Facilities, costs and specialist care</a>",,"55.912833,-3.174634"
"Cairdean House","Residential Care Home, Nursing Home, Short Breaks and Respite",Dementia,"185 Redford Road, Colinton, Edinburgh","EH13 9PN","0333 222 8681","<a href=""http://www.careuk.com/cairdean-house"">Cairdean House website</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2012312459"">Quality grades and inspection reports</a>",,,"55.90411830813906,-3.233628273010254"
"Cairdeas House","Short Breaks and Respite","Adults with mental health issues","5 Coates Gardens, Edinburgh","EH12 5LG","0131 313 5081","<a href = ""http://www.penumbra.org.uk/how-can-we-help/service-locations/edinburgh/respite-care-planned"">Cairdeas House</a>","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2010271253"">Quality grades and inspection reports</a>",,,"55.946916954388534,-3.2219552993774414"
