Site,Address,Postcode,Telephone,Email,"Opening times","Interment records","New graves available?",Location
"Buccleuch Churchyard","2C Buccleuch Street","EH8 9JR","0131 664 4314",mortonhallcrematorium@edinburgh.gov.uk,"24 hour access",,,"55.94163,-3.183462"
"Canongate Churchyard","155 Canongate","EH8 8BN","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1855 to present",No,"55.951403,-3.179765"
"Colinton Churchyard","9 Dell Road","EH13 0JR","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1855 to present",No,"55.909261,-3.257056"
"Comely Bank Cemetery","1A Craigleith Road","EH4 2DL","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1897 to 1990; 1994 to present",No,"55.958445,-3.227928"
"Corstorphine Churchyard","15/1 Kirk Loan","EH12 7HD","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1899 to present",No,"55.94203837275701,-3.2819080352783203"
"Corstorphine Hill Cemetery","28A Drum Brae South","EH12 8SZ","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1928 to 1990; 1994 to present","Yes - Woodland Burial Plots, Burial Plots and Cremated Remains plots","55.94806,-3.294247"
"Craigmillar Castle Park Cemetery","47 Old Dalkeith Road","EH16 4TE","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ",8am-6pm,"2010 to present","Yes - Burial Plots only","55.924801,-3.151979"
"Cramond Churchyard","18 Cramond Glebe Road","EH4 6NS","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1855 to present",No,"55.977254,-3.299582"
"Currie Cemetery and Churchyard",Kirkgate,"EH14 6AL","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1887 to present","Yes - Burial plots and Cremated Remains plots","55.893886,-3.307187"
"Dalmeny Churchyard","22/2 Main Street","EH30 9TU","0131 664 4314 ","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access","See South Queensferry. Not all interments recorded.",No,"55.981798,-3.373541"
"Dalry Cemetery","227 Dalry Road","EH11 2EQ","0131 664 4314","mortonhallcrematorium@edinburgh.gov.uk ","24 hour access ","1846 to present",No,"55.940602,-3.224066"
