Name,Address,Postcode,Telephone,"More information",Location
"Abden House","University of Edinburgh, Marchhall Place","EH16 5HW","0131 651 2189",http://www.edinburghfirst.com,"55.940702,-3.172587"
"Apex City Hotel","61 Grassmarket","EH1 2HS","0131 243 3456",http://www.apexhotels.co.uk,"55.947447,-3.195717"
"Apex International Hotel","31-35 Grassmarket","EH1 2HS","0131 300 3456",http://www.apexhotels.co.uk,"55.947226,-3.196502"
"Apex Waterloo Place Hotel","23-27 Waterloo Place","EH1 3BH","0131 523 1819",http://www.apexholtel.co.uk,"55.953789,-3.187758"
"Assembly Rooms","54 George Street Edinburgh","EH2 2LR","0131 220 4348",http://www.assemblyroomsedinburgh.co.uk,"55.953116,-3.198736"
"Balmoral Hotel","1 Princes Street","EH2 2EQ","0131 556 2414",http://www.roccofortehotels.com,"55.952657,-3.189613"
"Braid Hills Hotel","134 Braid Road","EH10 6JD","0131 447 8888",http://www.braidhillshotel.co.uk,"55.916922,-3.212631"
"Carlton Hotel","19 North Bridge","EH1 1SD","0131 472 3000",http://www.pumahotels.co.uk/hotels/scotland/barcelo-edinburgh-carlton-hotel,"55.950801,-3.187378"
"Channings Hotel","12-16 South Learmonth Gardens","EH4 1EZ","0131 315 2226",http://www.channings.co.uk,"55.956239824268216,-3.219423294067383"
"City Chambers","253 High Street","EH1 1YJ","0131 529 5974/3021",http://www.citychambersedinburgh.co.uk,"55.949708043629194,-3.191622019512579"
"Counting House","32/2 West Nicolson Street","EH8 9DD","0131 667 7533",http://www.counting-house.co.uk,"55.944513789009676,-3.185262680053711"
"Duddingston Golf Club","Duddingston Road West","EH15 3QD","0131 661 7688",http://www.duddingstongolfclub.co.uk,"55.941324,-3.142355"
"Dundas Castle","Dundas Castle, South Queensferry","EH30 9SP","0131 319 2039",http://www.dundascastle.co.uk,"55.975762,-3.417781"
"Dynamic Earth","112 Holyrood Road","EH8 8AS","0131 550 7800",http://www.dynamicearth.co.uk,"55.95069,-3.174748"
"Easter Road Stadium","12 Albion Place","EH7 5QG","0131 661 8066",http://www.hibernianfc.co.uk,"55.962035,-3.167145"
"Edinburgh Capital Hotel","187 Clermiston Road","EH12 6UG","0131 535 9988",http://www.edinburghcapitalhotel.co.uk,"55.955922,-3.279839"
"Edinburgh Castle Gatehouse Suite and Queen Anne Building","Edinburgh Castle, Castlehill","EH1 2NG","0131 225 9846",http://www.historic-scotland.gov.uk,"55.948484,-3.198899"
"Edinburgh Conference Centre","Heriot Watt University, Riccarton","EH14 4AS","0131 451 3199",,"55.908984,-3.316906"
"Edinburgh Corn Exchange","10/11 Newmarket Road","EH14 1RJ","0131 443 2437",http://www.ece.uk.com,"55.927413,-3.247494"
"Edinburgh Festival Centre (The Hub)","348 Castlehill","EH1 2NE","0131 473 2042",http://www.thehub-edinburgh.com/weddings/,"55.94875,-3.195979"
