Name,Address,Postcode,Telephone,Email,"Opening Hours","Bus Routes",Facilities,Cafe,"Internet Access","Key Activities","Disabled Access","Projects based here",Programme,"More information",Location,"Location description"
"3M's Youth Project","c/o Tollcross Community Centre, 117 Fountainbridge","EH3 9QG","0131 221 5800",CLD-3MS@ea.edin.sch.uk,,,,,,"Activities for Young People.",,,http://www.joininedinburgh.org/3ms,,"55.937607,-3.202816","Based in the Tollcross Community Centre"
"Adult Learning Link","58-60 Niddrie Mains Road","EH16 4BG","0131 652 6324",CLD-AdultLearningLink@ea.edin.sch.uk,"Mon-Thu, 9am-1pm. Mon-Thu, 1.30pm-4:30pm. Fri, 9am-12:30pm","Lothian 2, 14, 21 30, 42 (get off at Craigmillar crossroads)","Careers library. 6 public access computers. Interview room for private consultation. Get On Info Point. Small meeting room",,Free,"Careers, literacy and numeracy.",Yes,,http://www.joininedinburgh.org/adultlearninglink,,"55.932933,-3.137618","Shop front on the main road"
"Balerno Community Centre","7/11 Main Street","EH14 7EQ","0131 458 5959",cld-balerno@ea.edin.sch.uk,,,"2 large rooms one with kitchen",,,"Activities for all the community.",Yes,"Playgroup. Currie/Balerno News",http://www.joininedinburgh.org/balerno,,"55.883898,-3.338458",
"Bingham Community Centre","Bingham Avenue","EH15 3HZ","0131 669 8778",cld-bingham@ea.edin.sch.uk,Tue,"Lothian 4","Large room. Meeting room. TV. Pool table. Coffee bar",,Free,"Activities suitable for the whole community with emphasis on youth work.",Yes,,http://www.joininedinburgh.org/bingham,,"55.939846,-3.122334","Situated in the grounds of Lismore Primary School"
"Broomhouse CLD Base","c/o Broomhouse Primary School, Saughton Road","EH11 3RQ","0131 443 4886",,,,,,,,,,,,"55.928173,-3.273914",
"Broughton CLD Base","c/o Broughton High School, 29 East Fettes Avenue","EH4 1EG","0131 332 6316",,,,,,,,,,,,"55.961205,-3.221822",
"Cameron House Community Education Centre","34 Prestonfield Avenue","EH16 5EU","0131 667 3762",cld-cameronhouse@ea.edin.sch.uk,"Mon-Wed, 9am-5pm, 6pm-10pm. Thu, 9am-5:15pm, 6pm-10pm. Fri, 9am-4:30pm, 6pm-10pm","Lothian 2, 14, 30, N30","Meeting rooms. Activity rooms. Computer suite. Hall",,,"Activities for all ages are available at the centre.",,,http://www.joininedinburgh.org/cameronhouse,,"55.93274053127863,-3.1573934523620437","Situated at the end of Prestonfield Avenue"
"Carrickvale Community Centre","2 Saughton Mains Street","EH11 3HQ","0131 443 6971",cld-carrickvale@ea.edin.sch.uk,"Mon-Fri, 9am-9pm. Sat, 9am-1pm","Lothian 1, 2, 3, 22, 25, 33, 35","A number of rooms. Art room. Computer suite",Yes,Yes,"Activities for all the community.",Yes,,http://www.joininedinburgh.org/carrickvale,,"55.931192,-3.264498","Situated next to the primary school"
"Castleview Community Centre","Craigmillar Castle Avenue","EH16 4DW","0131 661 4064",cld-castleview@ea.edin.sch.uk,"Mon-Fri, 8am-8pm",,,,,"Youth Work.",Yes,,http://www.joininedinburgh.org/castleview,,"55.930986,-3.136404","Located near Castleview primary school"
"Clovenstone Community Centre","54 Clovenstone Park","EH14 3EY","0131 453 4561",cld-clovenstone@ea.edin.sch.uk,"Mon-Fri, 9am-9pm. Sat, 9am-1pm",,"Small hall. 2 rooms. Coffee lounge",Yes,,"Activities for all the community.",Yes,,http://www.joininedinburgh.org/clovenstone,,"55.910993,-3.27295",
