Name,Neighbourhood(s),Details,Approved,Download
"Abbeyhill Colonies Conservation Area","City Centre and Leith",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Balerno conservation area",South-west,"The Balerno Conservation Area Character Appraisal emphasises the predominance of vernacular buildings within the conservation area, the consistency in the use of traditional building materials, the substantial green setting giving a rural appearance, and the wide range of uses which result in a self-contained village character.",01/08/2000,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1090/balerno_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Barnton conservation area",West,"The Barnton Conservation Area Character Appraisal emphasises the predominance of large houses sitting well back from the road in substantial gardens with mature trees and boundaries defined by high hedging, the uncluttered curved intimate street pattern, the integrity and variety of the architecture and the very low density of development.",27/03/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1093/barnton_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Blacket conservation area",South,"The Blacket Conservation Area Character Appraisal emphasises the mix of substantial villas and terraces, the unified architectural form and materials, the sense of spaciousness derived from the generously proportioned gardens and large mature trees, and the predominance of residential uses.",12/06/2003,"<a href=""http://www.edinburgh.gov.uk/downloads/file/758/blacket_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Colinton conservation area",South-west,"The Colinton Conservation Area Character Appraisal emphasises the high quality architecture, the predominant use of traditional building materials, the strong sense of place derived from the containment within a rural setting, and the prominent views to the Pentland Hills.",11/03/1999,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1091/colinton_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
Colonies,City-wide,,06/12/2012,"<a href=""http://www.edinburgh.gov.uk/downloads/file/771/colonies_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Coltbridge and Wester Coates conservation area","City centre, North, West","The Conservation Area contains two distinct character zones: the streets of Victorian and Edwardian villas to the west of Donaldsons School and the tenements and stone built terraces of Roseburn further west.",03/11/2005,"<a href=""http://www.edinburgh.gov.uk/downloads/file/747/coltbridge_and_west_coates_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Corstorphine conservation area",West,"The Corstorphine Conservation Area Character Appraisal emphasises the retention of the village character and vernacular architecture, the varied grain of the area, the retention of the informal street layout and footpath network, the consistency in the use of traditional materials, and the prevalence of residential uses.",05/06/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/759/corstorphine_conservation_area_character_appraisal"">Download Character Appraisal</a>"
"Craiglockhart conservation area","South, South-west","The Craiglockhart Hills Conservation Area Character Appraisal emphasises the outstanding quality of the natural topography and its visual relationship with the city, the high quality buildings set within a mixture of wooded and open slopes, and the use of natural stone and slate as the traditional building materials.",27/03/2001,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1095/craiglockhart_hills_conservation_area_character_appraisalpdf"">Download Character Appraisal</a>"
"Craigmillar Park conservation area",East,"The Craigmillar Park Conservation Area Character Appraisal emphasises the predominance of high quality stone-built Victorian architecture of limited height which provides homogeneity through building lines, heights, massing and the use of traditional materials, and the predominant residential use.",12/06/2003,"<a href=""http://www.edinburgh.gov.uk/downloads/file/763/craigmillar_park_conservation_area_character_appraisal"">Download Character Appraisal</a>"
