Post Code,Current Chargeable band
EH10 4AA,B
EH10 4AD,D
EH10 4AD,E
EH10 4AE,D
EH10 4AF,D
EH10 4AF,E
EH10 4AG,D
EH10 4AG,E
EH10 4AH,D
EH10 4AJ,C
EH10 4AJ,D
EH10 4AL,E
EH10 4AN,D
EH10 4AN,E
EH10 4AN,G
EH10 4AP,E
EH10 4AQ,C
EH10 4AR,E
EH10 4AR,F
EH10 4AS,E
EH10 4AW,E
EH10 4AX,D
EH10 4AY,D
EH10 4AY,E
EH10 4AZ,D
EH10 4AZ,G
EH10 4AZ,H
EH10 4BD,D
EH10 4BD,E
EH10 4BE,D
EH10 4BG,G
EH10 4BG,H
EH10 4BJ,D
EH10 4BJ,H
EH10 4BL,E
EH10 4BL,G
EH10 4BL,H
EH10 4BN,E
EH10 4BN,G
EH10 4BN,H
EH10 4BP,E
EH10 4BP,G
EH10 4BP,H
EH10 4BQ,D
EH10 4BQ,E
EH10 4BQ,F
EH10 4BQ,G
EH10 4BQ,H
EH10 4BR,D
EH10 4BR,E
EH10 4BR,F
EH10 4BR,G
EH10 4BS,E
EH10 4BS,F
EH10 4BS,G
EH10 4BS,H
EH10 4BT,E
EH10 4BT,F
EH10 4BT,G
EH10 4BT,H
EH10 4BW,F
EH10 4BW,G
EH10 4BW,H
EH10 4BX,F
EH10 4BX,G
EH10 4BY,D
EH10 4BY,E
EH10 4BZ,D
EH10 4BZ,E
EH10 4DA,D
EH10 4DA,E
EH10 4DA,G
EH10 4DB,C
EH10 4DB,D
EH10 4DB,E
EH10 4DD,G
EH10 4DE,D
EH10 4DE,E
EH10 4DF,D
EH10 4DF,E
EH10 4DG,E
EH10 4DH,E
EH10 4DJ,D
EH10 4DJ,E
EH10 4DJ,F
EH10 4DJ,G
EH10 4DL,G
EH10 4DL,H
EH10 4DN,D
EH10 4DN,G
EH10 4DN,H
EH10 4DP,D
EH10 4DP,F
EH10 4DP,G
EH10 4DQ,D
EH10 4DQ,E
EH10 4DQ,F
EH10 4DR,D
EH10 4DR,H
EH10 4DS,G
EH10 4DW,D
EH10 4DW,E
EH10 4DW,F
EH10 4DW,G
EH10 4DW,H
EH10 4DX,D
EH10 4DX,E
EH10 4DX,F
EH10 4DY,D
EH10 4DY,E
EH10 4DZ,D
EH10 4DZ,E
EH10 4EA,E
EH10 4EA,F
EH10 4EB,C
EH10 4EB,E
EH10 4EB,F
EH10 4ED,D
EH10 4ED,E
EH10 4ED,F
EH10 4EE,D
EH10 4EE,E
EH10 4EE,F
EH10 4EE,H
EH10 4EF,E
EH10 4EF,G
EH10 4EF,H
EH10 4EG,D
EH10 4EG,E
EH10 4EG,G
EH10 4EH,E
EH10 4EH,F
EH10 4EL,D
EH10 4EL,E
EH10 4EN,C
EH10 4EN,D
EH10 4EN,E
EH10 4EP,D
EH10 4EP,E
EH10 4EQ,D
EH10 4EQ,E
EH10 4ER,B
EH10 4ER,E
EH10 4ES,D
EH10 4ES,E
EH10 4ET,C
EH10 4ET,D
EH10 4ET,E
EH10 4EU,C
EH10 4EU,D
EH10 4EU,E
EH10 4EW,C
EH10 4EW,D
EH10 4EX,D
EH10 4EX,E
EH10 4EX,F
EH10 4EX,H
EH10 4EZ,E
EH10 4EZ,F
EH10 4EZ,G
EH10 4EZ,H
EH10 4HG,D
EH10 4HG,E
EH10 4HG,F
EH10 4HG,G
EH10 4HJ,D
EH10 4HJ,E
EH10 4HN,B
EH10 4HN,C
EH10 4HN,D
EH10 4HN,E
EH10 4HN,F
EH10 4HP,D
EH10 4HP,E
EH10 4HP,F
EH10 4HQ,D
EH10 4HQ,G
EH10 4HQ,H
EH10 4HR,D
EH10 4HR,E
EH10 4HS,B
EH10 4HS,C
EH10 4HS,D
EH10 4HT,D
EH10 4HT,E
EH10 4HT,F
EH10 4HU,E
EH10 4HU,F
EH10 4HW,B
EH10 4HW,C
EH10 4HW,D
EH10 4HX,E
EH10 4HX,F
EH10 4HY,C
EH10 4HY,D
EH10 4JA,C
EH10 4JA,D
EH10  4JB,C
EH10  4JB,D
EH10 4JB,A
EH10 4JB,B
EH10 4JB,C
EH10 4JB,D
EH10 4JD,D
EH10 4JD,E
EH10 4JE,C
EH10 4JE,D
EH10 4JE,E
EH10 4JF,D
EH10 4JF,E
EH10 4JG,B
EH10 4JG,D
EH10 4JH,D
EH10 4JH,E
EH10 4JH,F
EH10 4JJ,D
EH10 4JJ,E
EH10 4JL,A
EH10 4JL,D
EH10 4JL,E
EH10 4JL,F
EH10 4JL,G
EH10 4JN,E
EH10 4JN,F
EH10 4JN,G
EH104JN,E
EH104JN,F
EH10 4JP,B
EH10 4JP,D
EH10 4JP,E
EH10 4JP,F
EH10 4JQ,B
EH10 4JQ,C
EH10 4JQ,D
EH10 4JQ,E
EH10 4JQ,F
EH10 4JQ,G
EH10 4JR,D
EH10 4JR,E
EH10 4JR,F
EH10 4JS,D
EH10 4JS,E
EH10 4JS,F
EH10 4JS,G
EH10 4JT,C
EH10 4JT,D
EH10 4JT,E
EH10 4JT,F
EH10 4JU,B
EH10 4JU,D
EH10 4JU,E
EH10 4JW,D
EH10 4JW,E
EH10 4JW,F
EH10 4LA,D
EH10 4LA,E
EH10 4LD,C
EH10 4LD,D
EH10 4LD,E
EH10 4LD,G
EH10 4LE,E
EH10 4LE,F
EH10 4LE,G
EH10 4LF,D
EH10 4LF,E
EH10 4LF,G
EH10 4LG,D
EH10 4LG,E
EH10 4LG,G
EH10 4LH,B
EH10 4LH,D
EH10 4LH,E
EH10 4LH,F
EH10 4LJ,D
EH10 4LJ,E
EH10 4LJ,F
EH10 4LJ,G
EH10 4LL,C
EH10 4LL,D
EH10 4LL,E
EH10 4LL,F
EH10 4LL,G
EH10 4LN,D
EH10 4LN,E
EH10 4LN,G
EH10 4LP,C
EH10 4LP,D
EH10 4LP,E
EH10 4LQ,B
EH10 4LQ,D
EH10 4LQ,E
EH10 4LS,G
EH10 4LU,B
EH10 4LU,D
EH10 4LU,E
EH10 4LW,C
EH10 4LW,D
EH10 4LW,E
EH10 4LX,B
EH10 4LX,D
EH10 4LX,E
EH10 4LY,D
EH10 4LY,E
EH10 4LZ,D
EH10 4LZ,E
EH10 4NA,C
EH10 4NA,D
EH10 4NA,E
EH10 4NB,C
EH10 4NB,D
EH10 4NB,E
EH10 4ND,D
EH10 4ND,E
EH10 4NE,C
EH10 4NE,D
EH10 4NE,E
EH10 4NE,F
EH10 4NF,D
EH10 4NF,E
EH10 4NG,D
EH10 4NG,E
EH10 4NG,F
EH10 4NH,D
EH10 4NH,E
EH10 4NJ,D
EH10 4NJ,E
EH10 4NP,E
EH10 4NP,H
EH10 4NQ,E
EH10 4NQ,F
EH10 4NR,E
EH10 4NS,G
EH10 4NS,H
EH10 4NT,E
EH10 4NT,G
EH10 4NU,E
EH10 4NU,F
EH10 4NX,E
EH10 4NX,F
EH10 4NY,F
EH10 4NY,G
EH10 4NY,H
EH10 4NZ,B
EH10 4NZ,C
EH10 4NZ,D
EH10 4NZ,E
EH10 4PA,B
EH10 4PA,C
EH10 4PA,D
EH10 4PA,E
EH10 4PB,C
EH10 4PB,D
EH10 4PD,G
EH10 4PE,A
EH10 4PE,C
EH10 4PE,D
EH10 4PE,E
EH10 4PE,F
EH10 4PF,E
EH10 4PF,G
EH10 4PG,G
EH10 4PH,F
EH10 4PH,G
EH10 4PJ,D
EH10 4PJ,G
EH10 4PJ,H
EH10 4PL,G
EH10 4PL,H
EH10 4PN,F
EH10 4PN,G
EH10 4PN,H
EH10 4PQ,C
EH10 4PQ,D
EH10 4PQ,E
EH10 4PQ,F
EH10 4PU,C
EH10 4PU,D
EH10 4PU,E
EH10 4PW,E
EH10 4PW,F
EH10 4PW,G
EH10 4PW,H
EH10 4PX,C
EH10 4PX,D
EH10 4PX,E
EH10 4PY,B
EH10 4PY,C
EH10 4PY,D
EH10 4PZ,C
EH10 4QA,C
EH10 4QB,B
EH10 4QB,C
EH10 4QB,D
EH10 4QD,B
EH10 4QD,C
