Id,Type,No_Spaces,Installed,Ref,Remarks,Owned_by,Serves,Finish,Image,Public,Easting,Northing,Observed
0,Sheffield extra,16,01/02/2008,01,8 spaces added 02/10,CEC,,Galvanised,,Y,325525,674007,
0,Sheffield extra,4,01/02/2008,02A,,CEC,,Galvanised,,Y,325377,673958,
0,Sheffield extra,4,01/02/2008,02B,,CEC,,Galvanised,,Y,325342,673955,
0,Sheffield extra,4,01/02/2008,03,,CEC,,Galvanised,,Y,326772,674484,
0,Sheffield extra,4,01/02/2008,05A,,CEC,,Galvanised,,Y,325186,673902,
0,Sheffield extra,4,01/02/2008,05B,,CEC,,Galvanised,,Y,325147,673892,
0,Sheffield extra,4,01/02/2008,07,,CEC,,Galvanised,,Y,324502,672893,
0,Sheffield extra,4,01/02/2008,06,,CEC,,Galvanised,,Y,326375,672069,
0,Sheffield extra,8,01/02/2008,08,,CEC,,Galvanised,,Y,324971,673788,
0,Sheffield extra,4,01/02/2008,10,,CEC,,Galvanised,,Y,324026,672830,
0,Sheffield extra,4,01/02/2008,10,,CEC,,Galvanised,,Y,324045,672840,
0,Sheffield extra,4,01/02/2008,12A,,CEC,,Galvanised,,Y,324793,673792,
0,Sheffield extra,8,01/02/2008,11,,CEC,,Galvanised,,Y,323835,672891,
0,Sheffield extra,4,01/02/2008,12B,,CEC,,Galvanised,,Y,324776,673735,
0,Sheffield extra,4,01/02/2008,13,,CEC,,Galvanised,,Y,324810,674051,
0,Sheffield extra,8,01/02/2008,14,,CEC,,Galvanised,,Y,326534,672859,
0,Sheffield extra,14,01/02/2008,16B,,CEC,,Galvanised,,Y,324731,673353,
0,Sheffield extra,6,01/02/2008,17,,CEC,,Galvanised,,Y,323318,672353,
0,Sheffield extra,8,01/02/2008,18,,CEC,,Galvanised,,Y,324494,673583,
0,Sheffield extra,2,01/02/2008,19,,CEC,,Galvanised,,Y,324991,672227,
0,Sheffield extra,3,01/02/2008,19,,CEC,,Galvanised,,Y,324972,672219,
0,Sheffield extra,2,01/02/2008,20,,CEC,,Galvanised,,Y,326313,672701,
0,Sheffield extra,4,01/02/2008,21,,CEC,,Galvanised,,Y,325465,672356,
0,Sheffield extra,2,18991230,22,,CEC,,Galvanised,,Y,325122,674011,
0,Sheffield extra,2,18991230,23,,CEC,,Galvanised,,Y,326986,674447,
0,Sheffield extra,4,01/02/2008,25,,CEC,,Galvanised,,Y,324766,673179,
0,Sheffield extra,4,01/02/2008,26,,CEC,,Galvanised,,Y,324568,672103,
0,Sheffield extra,4,01/02/2008,27,,CEC,,Galvanised,,Y,324637,672174,
0,Sheffield extra,8,01/02/2008,28,,CEC,,Galvanised,,Y,325046,673870,
0,Sheffield extra,4,01/02/2008,29,,CEC,,Galvanised,,Y,324826,673169,
0,Sheffield extra,4,01/02/2008,30,,CEC,,Galvanised,,Y,324858,673084,
0,Sheffield extra,4,01/02/2008,31,,CEC,,Galvanised,,Y,325548,672319,
0,Sheffield extra,10,01/02/2008,32,,CEC,,Galvanised,,Y,320873,672853,
0,Sheffield extra,8,01/02/2008,33,,CEC,,Galvanised,,Y,325916,673611,
0,Sheffield extra,6,01/02/2008,34,,CEC,,Galvanised,,Y,325829,674023,
0,Sheffield extra,4,01/02/2008,35,,CEC,,Galvanised,,Y,326514,676640,
0,Bespoke,8,18991230,101,Check number,,Waverley shopping centre,Stainless steel,,Y,325756,673936,
0,Sheffield,8,18991230,102,,CEC,National Library,Unfinished steel,,Y,325667,673453,
0,Sheffield,4,18991230,103,,,,,,Y,326058,673211,
0,Sheffield,8,18991230,104,,,,,,Y,326008,673351,
0,Sheffield,8,18991230,105,,,,Black,,Y,325980,673412,
0,Sheffield,6,18991230,106,,,,Stainless steel,,Y,325717,673333,
0,Sheffield,10,18991230,107,,,,Stainless steel,,Y,325748,673325,
0,Sheffield extra,4,18991230,108,,CEC,,,,Y,326393,672508,
0,Sheffield extra,2,18991230,109,,CEC,,,,Y,326391,672522,
0,Sheffield,10,18991230,110,,,,Black,,Y,325831,673364,
0,Sheffield,4,18991230,111,,,,Stainless steel,,Y,325847,673622,
0,Sheffield,10,18991230,112,Check location and number,,National Portrait Gallery,,,Y,325402,673861,
0,Bespoke,36,18991230,113,,,,,,Y,326032,674364,
0,Sheffield,14,18991230,114,,,,,,Y,325873,673212,
0,Sheffield extra,10,18991230,115,Security issues,CEC,,,,Y,326177,673035,
0,Sheffield extra,6,18991230,116,Close to kerb so theoretically only 3 spaces,CEC,Tesco,,,Y,326165,673036,
0,Sheffield extra,4,18991230,117,,CEC,St.Patrick Square,,,Y,326197,672842,
0,Sheffield extra,2,18991230,118,,CEC,,Black,,Y,326018,673399,
0,Sheffield,10,18991230,119,,,Cameron Toll shopping centre,,,Y,327338,671122,
0,Sheffield,4,18991230,120,,,,Stainless steel,,Y,326071,673690,
0,Sheffield extra,10,18991230,121,,CEC,,,,Y,326156,673818,
0,Sheffield extra,2,18991230,122,,CEC,,,,Y,326350,672628,
0,Sheffield extra,4,18991230,123,,CEC,,,,Y,326361,672615,
0,Sheffield extra,4,18991230,124,,CEC,,,,Y,326397,672422,
0,Sheffield extra,4,18991230,125,,CEC,,,,Y,326413,672398,
0,Sheffield extra,4,18991230,126,,CEC,,,,Y,326442,672310,
0,Sheffield,11,18991230,127,,CEC,Commonwealth Pool,Unfinished steel,,Y,326790,672412,
0,Wheel benders,6,18991230,128,,CEC,Commonwealth Pool,Blue paint,,Y,326797,672392,
0,Sheffield,6,18991230,129,,,Newington Library,,,Y,326378,671640,
0,Sheffield extra,6,18991230,130,,CEC,,,,Y,324509,671897,
0,Short Sheffields,12,18991230,131,Too closely spaced,,Tesco,,,Y,324475,671895,
0,Sheffield,10,18991230,132,,,Festival Square,Stainless steel,,Y,324761,673310,
0,Sheffield,12,18991230,133,,,Assembly Rooms,,,Y,325247,674013,
0,Sheffield extra,16,18991230,134,,CEC,,Black,,Y,325564,674051,
0,Sheffield extra,12,18991230,135,Removed by TIE - to be replaced?,CEC,,Black,,,325655,674074,
0,Bespoke,8,18991230,136,,,,,,Y,325935,673912,
0,Sheffield,12,18991230,137,,,,,,Y,325938,673899,
0,Sheffield (toast-rack),60,18991230,138,Substandard spacing?,,,Stainless steel,,Y,325974,673897,
0,Double-decker,60,01/08/2010,139,,Network Rail,Waverley station,,,Y,325791,673824,
0,Lockers,5,18991230,140,,Network Rail,,,,Y,318393,671262,
0,Sheffield,10,18991230,141,,Network Rail,,,,Y,318393,671258,
0,Sheffield,10,18991230,142,,Network Rail,,,,Y,318361,671285,
0,Sheffield (toast-rack),10,18991230,143,,Network Rail,,,,Y,318362,671280,
0,Sheffield (toast-rack),10,18991230,144,,Network Rail,,,,Y,318365,671281,
0,Sheffield,2,18991230,145,,,City Arts Centre,Black,,Y,325817,673753,
0,Sheffield,16,18991230,146,,,National Portrait Gallery,Green,,N,325417,673806,
0,Sheffield,4,18991230,147,,,,,,Y,325711,673109,
0,Sheffield,10,18991230,148,Exact location to be confirmed,,,,,Y,325472,673044,
0,Austrian,12,01/08/2008,149,,University of Edinburgh,Informatics Centre,Stainless steel,,Y,325920,673041,
0,Austrian,12,01/01/2008,150,,University of Edinburgh,Informatics Centre,Stainless steel,,Y,325916,673057,
0,Austrian,12,01/01/2008,151,,University of Edinburgh,Informatics Centre,Stainless steel,,Y,325904,673105,
0,Sheffield (toast-rack),20,18991230,152,,University of Edinburgh,,,,Y,325959,672914,
0,Sheffield (toast-rack),12,18991230,153,,University of Edinburgh,George Square Theatre,,,Y,325875,672849,
0,Sheffield (toast-rack),12,18991230,154,,University of Edinburgh,George Square Library,,,Y,325866,672849,
0,Sheffield,26,18991230,155,,University of Edinburgh,Adam Ferguson Building,Gun metal,,Y,325957,672858,
0,Sheffield,26,18991230,156,,University of Edinburgh,Adam Ferguson Building,Gun metal,,Y,325924,672850,
0,Sheffield,12,18991230,157,,,Haymarket Station,,,Y,324074,673207,
0,Pedestrian guardrail,10,18991230,158,,CEC,Haymarket Station,,,Y,324082,673202,
0,Pedestrian guardrail,10,18991230,159,,CEC,Haymarket Station,,,Y,324074,673226,
0,Sheffield extra,1,18991230,160,,CEC,,,,Y,326154,673014,
0,Sheffield extra,1,18991230,161,,CEC,,,,Y,326104,673172,
0,Sheffield (long),2,18991230,162,Close to wall,,,,,Y,326097,673202,
0,Sheffield extra,4,18991230,163,,CEC,,,,Y,326040,673322,
0,"Sheffield extra

xtra",4,18991230,164,,,,,,Y,326037,673331,
0,Sheffield extra,2,18991230,165,,CEC,,Black,,Y,326016,673412,
0,Sheffield,4,18991230,166,,,,Stainless steel,,Y,325890,674003,
0,Sheffield (toast-rack),8,18991230,167,,University of Edinburgh,Hugh Robson Building,Gun metal,,Y,325764,672986,
0,Sheffield (toast-rack),8,18991230,168,,University of Edinburgh,Hugh Robson Building,Gun metal,,Y,325773,672989,
0,Sheffield (toast-rack),16,18991230,169,,University of Edinburgh,Hugh Robson Building,Gun metal,,Y,325793,672994,
0,Sheffield (toast-rack),8,18991230,170,,University of Edinburgh,Hugh Robson Building,Gun metal,,Y,325780,672990,
0,Sheffield,2,18991230,171,,,,,,Y,323699,673232,
0,Sheffield,8,18991230,172,,,,Black,,Y,324720,673168,
0,Sheffield extra,2,18991230,173,,CEC,,,,Y,326154,673031,
0,Sheffield extra,4,18991230,174,,CEC,,,,Y,326416,672445,
0,Sheffield,10,18991230,175,,,Fountainpark,,,Y,324048,672694,
0,Sheffield,10,18991230,176,,,Fountainpark,,,Y,324056,672702,
0,Sheffield,16,18991230,177,,,Fountainpark,,,Y,324074,672719,
0,Sheffield,16,18991230,178,,,Fountainpark,,,Y,324160,672722,
0,Sheffield,14,18991230,179,,,Fountainpark,,,Y,324033,672681,
0,Sheffield,14,18991230,180,,,Fountainpark,,,Y,324107,672749,
0,Sheffield,10,18991230,181,,,Bowling/leisure centre,,,Y,330368,674329,
0,Sheffield,10,18991230,182,,,Swimming pool,,,Y,330995,673909,
0,Sheffield (toast-rack),10,18991230,183,,University of Edinburgh,Hugh Robson Building,Gun metal,,Y,325814,673005,
0,Cycle lockers,3,18991230,184,,University of Edinburgh,Hugh Robson Building,Grey plastic,,Y,325749,672988,
0,Sheffield,2,18991230,185,,University of Edinburgh,,Gun metal,,Y,325907,673025,
0,Sheffield,6,18991230,186,,University of Edinburgh,,Gun metal,,Y,325895,673021,
0,Sheffield,8,18991230,187,,,,,,Y,328254,672681,
0,Sheffield extra,6,18991230,188,,CEC,,,,Y,330459,673923,
0,Sheffield extra,4,18991230,189,,CEC,,,,Y,330442,673935,
0,Sheffield,14,18991230,190,,University of Edinburgh,Pleasance sports centre,,,Y,326289,673415,
0,Sheffield,8,18991230,191,,University of Edinburgh,Pleasance sports centre,,,Y,326296,673424,
0,Sheffield extra,4,18991230,192,,CEC,,,,Y,326157,673116,
0,Sheffield extra,4,18991230,193,,CEC,,,,Y,325989,674293,
0,Sheffield extra,20,18991230,194,,CEC,,Stainless steel,,Y,325621,674223,
0,Sheffield extra,14,18991230,195,,CEC,,Stainless steel,,Y,325617,674237,
0,Wheel benders,6,18991230,196,,CEC,Commonwealth Pool,Blue paint,,Y,326785,672405,
0,Wheel benders,5,18991230,197,,CEC,Commonwealth Pool,Blue paint,,Y,326796,672388,
0,Short hoop,6,18991230,198,,Newington Surgery,Newington Surgery,,,Y,326472,672436,
0,Short hoop,6,18991230,199,,Newington Surgery,Newington Surgery,,,Y,326482,672437,
0,Sheffield,6,18991230,200,,Homebase,Homebase,Green,,Y,326625,672662,
0,Sheffield extra,4,18991230,201,,CEC,Elm Row shops,Black,,Y,326184,674556,
0,Sheffield extra,4,18991230,202,,CEC,Elm Row shops,Black,,Y,326214,674608,
0,Sheffield extra,20,18991230,203,,CEC,Festival Square,Galvanised,,Y,324734,673307,
0,Guardrail,8,18991230,204,,,,,,Y,324784,673272,
0,Sheffield extra,8,01/08/2008,205,,CEC,Grassmarket,Galvanised,,Y,325332,673329,
0,Sheffield,4,18991230,206,,,Appleton Tower,Unfinished,,Y,325941,673019,
0,Locked shelter,100,18991230,207,,University of Edinburgh,Informatics Centre,,,N,325921,673123,
0,Austrian,40,18991230,208,,University of Edinburgh,,Stainless steel,,Y,325904,673133,
0,Bespoke,9,18991230,209,,Tesco,Tesco,Stainless steel,,Y,320529,675541,
