Name,"Days and times","Services provided","How to arrange a place","How to access directly",Venue,Postcode,"Phone number",Email,"Area served","Service website","More information from Care Inspectorate",Location,"Second location"
"Almond Mains Initiative","Tuesdays and Wednesdays 9.30am - 3.30pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"Millennium Hall, Cramond Kirk, Cramond Glebe Road","EH4 7RD","0131 336 2082",almondmains@btconnect.com,"North West",,,"55.97708801383166,-3.30014705657959",
"Alzheimer Scotland Saturday Cafe","Saturdays 11am - 2pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"The Lifecare Centre, 2 Cheyne Street, Stockbridge - 1st, 3rd and 5th Saturdays of the month.Salvation Army Halls, East Adam Street, EH8 9TF - 4th Saturday of the month.","EH4 1JB","0131 243 1453",LEOSSProject@alzscot.org,"North West",,,"55.950929908097635,-3.2141661643981934","55.94742160017106,-3.1823015213012695"
"Alzheimer's Scotland - Edinburgh and West Lothian Services",,"Lunch clubs and day services for people with dementia of any age. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral by a professional","The Prentice Centre, 1 Granton Mains Avenue","EH4 4GA","0131 551 9350",LEOSSProject@alzscot.org,Edinburgh,"<a href=""http://dementiascotland.org/services/edinburgh-city/edinburgh-and-west-lothian-services/"">Alzheimer Scotland - Edinburgh and West Lothian Services</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004070694"">Quality grades and inspection reports</a>","55.97559922992961,-3.2439708709716797",
"Autism Initiatives - Number 6 One Stop Shop","Monday, 2pm - 8pm. Wednesday, 10am - 6pm. Thursday, 2pm - 8pm. Friday, 2pm - 5pm.  First, third and fourth Saturdays of the month, 10am - 4pm.","Social activities, housing support and advocacy for people with Asperger's Syndrome or autism.",,"Self referral or referral from a GP","24 Hill Street","EH2 3JZ","0131 220 1075",number6@aiscotland.org.uk,Edinburgh,"<a href=""http://www.number6.org.uk/"">Number 6 One Stop Shop</a>",,"55.95354291034932,-3.202192783355713",
"Autism Initiatives Scotland","Various times to suit needs","Day service for people with autism",,"Self referral or referral from a GP",,,"0131 551 7260",hos@aiscotland.org.uk,Edinburgh,"<a href=""http://www.autisminitiatives.org/where-we-are/autism-initiatives-scotland/our-services-in-scotland.aspx"">Autism Initiatives Scotland</a>",,,
"Autism Initiatives Scotland - The Hermitage",,"Day activity service for people with autism",,"Self referral or referral from a GP","11 Braid Hills Drive","EH10 6GZ","0131 447 5700",hermitage@aiscotland.org.uk,Edinburgh,"<a href=""http://www.hermitagescotland.co.uk/"">Autism Initiatives Hermitage</a>",,"55.91852605052271,-3.1972789764404297",
"Beacon Club","Monday and Thursday 9.30am - 2.30pm","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a GP","79-89 Broomhouse Crescent","EH11 3RH","0131 455 7731",beaconclub@broomhousecentre.org.uk,"South West","<a href=""http://www.broomhousecentre.org.uk/beacon-club.html"">Beacon Club</a>",,"55.927278724880985,-3.2770156860351562",
"Bingham and district 50 +","Various meeting times","Lunch clubs and day services for people over 50, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a GP","Bingham Community Complex, 31 Bingham Avenue","EH15 3HZ","0131 669 0606",admin@binghamproject.classinternet.co.uk,"South East","<a href=""http://www.ageuk.org.uk/about-us/local-services-search/groups/bingham--district-50-project-scotland/"">Bingham and district 50+</a>",,"55.93980315225388,-3.122992515563965",
"Broomhouse Befriending Service",,"One to one day services for older people, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>","Self referral or referral from a GP","79-89 Broomhouse Crescent","EH11 3RH","0131 455 7731",elderlybefriending@broomhousecentre.org.uk,"South West","<a href=""http://www.broomhousecentre.org.uk/elderly-befriending.html"">Broomhouse befriending service</a>",,"55.92708637965433,-3.2770586013793945",
"Broomhouse Centre","Various meeting times","Lunch clubs and day services for people over 65, including people with dementia. Carer short breaks and respite day care.","<a href=""http://www.edinburgh.gov.uk/info/1347/social_care_and_health/716/contact_social_care"">Contact Social Care Direct</a>",,"79-89 Broomhouse Cresent","EH11 3RH","0131 455 7731",admin@broomhousecentre.org.uk.,"South West","<a href=""http://www.broomhousecentre.org.uk"">Broomhouse Centre</a>",,"55.92759128383819,-3.2772302627563477",
