"Service ","Recovery Hub",Description,"Support options","Opening times","How to make a referral",Address,Postcode,Email,Telephone,Mobile,Fax,Website,Location
"Aberlour Family Outreach Edinburgh",,"Aberlour Family Outreach Edinburgh works with mothers and fathers and their children, aged 0 - 16 years.   The parents must be having difficulties with drug and / or alcohol misuse.  They also work with pregnant women, and women with new born babies.  They  work with parents to address the effect of their drinking or drug use on their children, and to help them to stop using drugs or alcohol. They can support families Monday to Saturday, up to three times per week. They can come any time of day from early mornings  until 8pm.  They also have a project for children or young people aged 5 - 16 who need extra help because of their parent's substance use.","Intensive family support programme. Parenting skills training.","Enquiries can be made during normal office hours.","By telephone.","SPACE, 11 Harewood Road","EH16 4NT",edinburgh.outreach@aberlour.org.uk,"0131 659 2942",,"0131 659 2947","<a href = ""http://www.aberlour.org.uk/outreachedinburgh.aspx"">Aberlour Family Outreach website</a>","55.935644818256755,-3.1314468383789062"
"Access to Industry - Passport  and Transition","South East.  North East.","Access to Industry supports unemployed people in Edinburgh to move into work.  They have a number of programmes.  The Transition programme works with people recovering from substance misuse.  The Passport programme works with young people up to age 21 years who are leaving care.  They also help offenders of any age.  They work with Edinburgh College to provide access to college courses, with extra support to maintain the place.","One  to one casework.  Access to an in - house mini community college.  Accredited learning - SVQs.  Work placements.  Support into education, skills training, courses.  Access to volunteering.","Enquiries can be made during normal office hours.","By telephone, in writing and by email.","156 Cowgate","EH1 1RP",mail@accesstoindustry.co.uk,"0131 260 9721",,"0131 260 9720","<a href=""http://www.accesstoindustry.co.uk/"">Access to Industry website</a>","55.94862311127835,-3.188610076904297"
"Adolescent Substance Use Service",,"ASUS is NHS Lothian's young people's substance use service.  They give support to young people who have difficulties related to drugs, alcohol, and volatile substance use.  They accept referrals for any young person, aged 18 or younger.  They work with the Child and Adolescent Mental Health Service - CAMHS at the Sick Children's and Royal Edinburgh Hospitals.  They focus on recovery.  This means they support young people to move towards a drug-free life as active members of their communities.  The service is suited to each person's age and abilities.  They help young people understand what they want.  This helps the young people and their families to work towards their own goals. ","ASUS works jointly with other services, so that all services have common goals.  At its core is motivational interviewing.  Other interventions are: CBT for relapse prevention, anxiety management, anger management and self-esteem building. Prescribing is also available.","Monday - Friday 9 am - 5 pm, with flexibility for out of hours appointments to accommodate education or employment.","By phone, in writing or email.  Electronic and paper copies of referral forms are available.  Referrals accepted from professionals and family members or the young people themselves.","Admin Office, 22 - 24 Spittal Street","EH3 9DU",ASUS@nhslothian.scot.nhs.uk,"0131 537 8345",,,,"55.94634020829838,-3.2021713256835938"
"Al - Anon",,"Al - Anon provides support for anyone whose life is, or has been affected by someone else's drinking.  Families and friends of people with alcohol problems share their experiences in groups.  This can help to solve common problems.  A number of Al - Anon Groups meetings are held across Edinburgh.","Peer support.","Helpline 10 am - 10 pm, 365 days a year.","For the nearest group, check on the website or contact the service directly.","Al - Anon Information Centre, Mansfield Park Building Unit 6, 22 Mansfield Street, Partick, Glasgow","G11 5QP",enquiries@al-anonuk.org.uk,"020 7403 0888",,,"<a href = ""http://www.al-anonuk.org.uk/"">Al - Anon website</a>",
"Alcohol Liaison Nursing Service - NHS Lothian",,"The Alcohol Liaison Nursing Service works with in-patients and out-patients at the Royal Infirmary of Edinburgh.  They work wirh patients who have issues with their drinking. They give people information and advice about their drinking.  They can manage short - term alcohol withdrawal, if it is needed.  They also help to arrange more support after hospital.","Education and prevention. Brief intervention. Signposting. Detoxification.","Enquiries can be made during normal office hours.","You must be an in - patient or out - patient at the Royal Infirmary of Edinburgh.  Referrals can be made by telephone or in writing.","Department of Psychological Medicine, Royal Infirmary of Edinburgh, 51 Little France Crescent, Old Dalkeith Road","EH16 4SA",helene.leslie@luht.scot.nhs.uk,"0131 242 1396",,,,
"Alcohol Referral Team, The City of Edinburgh Council","North East.  North West.  South East. South West.","The Alcohol Referral Team is a service for people 16 years and over who have alcohol problems and other complex needs. People must be willing and able to work in a planned way to address their alcohol problems.  This could mean looking at other parts of their life which may be getting in the way of their recovery.   They work with people for around 16 weeks.","Assessment.  Care planning.  One to one support.  Care management.  Signposting.","Enquiries can be made during normal office hours.  Outside of these hours and on public holidays, the Emergency Social Work Service can be contacted on 0800 731 6969.","Telephone, email or referral from any professional source. Self-referrals are not accepted.","Department of Health and Social Care, Waverley Court, Level 1.7, 4 East Market Street","EH8 8BG",alcohol.referrals@edinburgh.gov.uk,"0131 529 6260",,,,
"Alcoholics Anonymous ",,"Alcoholics Anonymous - AA is a fellowship of men and women.  They share their experience, strength and hope with each other that they might solve the problem of their drinking.  A number of AA meetings are held across Edinburgh.","Peer support.",,"For the nearest group check the website or contact AA directly.",,,admin@aa-edinburgh.org.uk,"Helpline 0845 769 7555",,,"<a href = ""http://aa-edinburgh.org.uk/"">Alcoholics Anonymous Edinburgh website</a>",
"Anchor Project - Crossreach",,"This service provides temporary, 24  hour supported accommodation for up to seven men recovering from drug and / or alcohol problems.  Service users must be alcohol or drug free for three months before their stay.  They must also willing to address the issues around their problems.","This supported accommodation service helps people move on in their lives.","Enquires can be made during normal office hours.","By telephone or in writing.","Rankeillor Initiative, Cunningham House, 205 Cowgate","EH1 1JH",rankeillor@crossreach.org.uk,"0131 225 4901",,"0131 220 1354","<a href = ""http://www.crossreach.org.uk/rankeillor-initiative"">Anchor Project website</a>","55.94871923055638,-3.188052177429199"
"Another Way Service - Sacro",,"Another Way offers support, advice and mentoring to women working in the sex industry.  They also work with people at risk of becoming involved.   They support and encourage women to work with other services that can look after them and treat their drug or alcohol problems.  They help women to stop using drugs and alcohol, and to move away from the sex industry.","Intensive support.  Guidance and mentoring.  One to one support and signposting.","Enquires can be made during normal office hours.","Referrals are accepted from: Police, Procurator Fiscal as Diversion from Prosecution, Courts / Sheriffs as part of a deferred sentence, NHS, other agencies, hostels, self referral.","Sacro, Community Justice Centre,   23 Dalmeny Street, Edinburgh","EH6 8PG",info@sacro.org.uk,"0131 622 7500",,"0131 622 7525","<a href = ""http://www.sacro.org.uk/html/another_way_service.html"">Another Way website</a>","55.96498398100381,-3.174619674682617"
"Arrest Referral Scheme - Sacro",,"The Arrest Referral Service works with people over 16 years of age who have been arrested and whose offending may be because of their drug or alcohol misuse.  The service targets people soon after arrest.  It can help them contact harm reduction, treatment and rehabilitation services. The team assists service users and motivates them to engage with relevant agencies to deal with other health and other needs.  Working with the service is voluntary and not a formal part of any criminal justice process.  Initial assessments take place in the court cells with follow up on release.  Anyone released from police custody is also told about the service.  If they agree, the police can pass their details direct to the service.  Those offered the service in this way receive a phone call / appointment for assessment.  Anyone who has an assessment while in custody can access the service later.  They should phone or call in person at the Sacro office.","Intensive one to one support,  signposting.","Some evenings and weekends depending on programme.","The service is offered to anyone who has been arrested and transferred from police custody to appear at Edinburgh Sheriff Court.","Sacro, Community Justice Centre,   23 Dalmeny Street,","EH6 8PG",info@sacro.org.uk,"0131 622 7500",,"0131 622 7525","<a href = ""http://www.sacro.org.uk/html/arrest_referral_service.html"">Arrest Referral Service website</a>","55.96498398100381,-3.175048828125"
