Question ID ,Question,2011,2012,2013
ADM001,Year,Not asked,Not asked,Not asked
ADM002,Record ID,Not asked,Not asked,Not asked
CAR001,In the past 12 months have you received help from social work services?,Asked,Not asked,Not asked
CAR002,How satisfied or dissatisfied are you with the service you received from social work?,Asked,Not asked,Not asked
COM001,The Council keeps me informed about the services it provides,Asked,Asked,Asked
COM002,It is easy to find information I want from the Council,Asked,Asked,Asked
COM003,I receive information from the Council in a form that suits me,Asked,Asked,Asked
COM004,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Outlook – the Council newspaper",Asked,Not asked,Not asked
COM005,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  A-Z of Council services",Asked,Not asked,Not asked
COM006,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Other local newspapers",Asked,Not asked,Not asked
COM007,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Council website via a computer",Asked,Not asked,Not asked
COM008,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Council website via your mobile phone",Asked,Not asked,Not asked
COM009,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Twitter",Asked,Not asked,Not asked
COM010,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.   Facebook",Asked,Not asked,Not asked
COM011,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Posters/ leaflets in Council offices or libraries",Asked,Not asked,Not asked
COM012,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Road shows and community events",Asked,Not asked,Not asked
COM013,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Mobile App (e.g. iPad or smart phone) e.g. to receive alerts about services",Asked,Not asked,Not asked
COM014,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.  Don’t know",Asked,Not asked,Not asked
COM015,"Looking at the following list, how do you want to receive information about Council services.  Please select your top 3 with 1 being your favourite.   Other (please specify)",Asked,Not asked,Not asked
COM016,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Online via the Council website",Asked,Not asked,Not asked
COM017,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. By telephone",Asked,Not asked,Not asked
COM018,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. In person – at a neighbourhood office",Asked,Not asked,Not asked
COM019,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. In person – at another Council office",Asked,Not asked,Not asked
COM020,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue)? Please select your top 3 with 1 being your favourite.  In person – at a library",Asked,Not asked,Not asked
COM021,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Twitter",Asked,Not asked,Not asked
COM022,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Facebook",Asked,Not asked,Not asked
COM023,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Mobile App (e.g. iPad or smart phone) e.g. to report an issue using GIS/image from your camera",Asked,Not asked,Not asked
COM024,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. In writing",Asked,Not asked,Not asked
COM025,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. By email",Asked,Not asked,Not asked
COM026,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Don’t know",Asked,Not asked,Not asked
COM027,"Looking at the following list, which of these would be your preferred method of contacting the Council (e.g. to request a service, pay for a service, make a query or report an issue). Please select your top 3 with 1 being your favourite. Other (please specify)",Asked,Not asked,Not asked
COM028,Thinking about your most recent contact with the Council. Please can you tell me to what extent do you agree or disagree with the following statements? I was well treated,Asked,Asked,Asked
COM029,Thinking about your most recent contact with the Council. Please can you tell me to what extent do you agree or disagree with the following statements? My query was resolved,Asked,Asked,Asked
COM030,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? In person at an office ",Not asked,Asked,Not asked
COM031,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? In person at a library",Not asked,Asked,Not asked
COM032,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? In person at another location",Not asked,Asked,Not asked
COM033,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? By telephone",Not asked,Asked,Not asked
COM034,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? By email",Not asked,Asked,Not asked
COM035,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? By letter",Not asked,Asked,Not asked
COM036,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Online using a smart phone",Not asked,Asked,Not asked
COM037,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Online using a tablet",Not asked,Asked,Not asked
COM038,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Online using a desktop/laptop",Not asked,Asked,Not asked
COM039,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Through social media, such as Twitter or Facebook",Not asked,Asked,Not asked
COM040,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Using the Council’s App",Not asked,Asked,Not asked
COM041,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Other – please specify",Not asked,Asked,Not asked
COM042,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Don't remember",Not asked,Asked,Not asked
COM043,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Have not contacted in the last 12 months",Not asked,Asked,Not asked
COM044,"From this list, please tell me all the ways you contacted, got information from or made payments to the Council in the last year? Other specified",Not asked,Asked,Not asked
COM045,And how did you most recently contact the Council? ,Not asked,Asked,Not asked
COM046,And how did you most recently contact the Council? Other,Not asked,Asked,Not asked
COM047,"From this list, please say if you have done any of the following things in the last year? Visited the Council in person ",Not asked,Not asked,Asked
COM048,"From this list, please say if you have done any of the following things in the last year? Contacted the Council by telephone",Not asked,Not asked,Asked
COM049,"From this list, please say if you have done any of the following things in the last year? Emailed the Council",Not asked,Not asked,Asked
COM050,"From this list, please say if you have done any of the following things in the last year? Written to the Council",Not asked,Not asked,Asked
COM051,"From this list, please say if you have done any of the following things in the last year? Visited the Council website",Not asked,Not asked,Asked
COM052,"From this list, please say if you have done any of the following things in the last year? Other ",Not asked,Not asked,Asked
COM053,"From this list, please say if you have done any of the following things in the last year? Don’t remember",Not asked,Not asked,Asked
COM054,"From this list, please say if you have done any of the following things in the last year? Have not contacted in the last 12 months",Not asked,Not asked,Asked
COM055,And which of these contacts was the most recent?,Not asked,Not asked,Asked
COM056,I’m going to read out a number of statements about the Council. Please can you tell me to what extent you agree or disagree with each one? The Council keeps me informed about their plans to deal with any proposed reductions to their budget,Not asked,Asked,Not asked
COM057,I’m going to read out a number of statements about the Council. Please can you tell me to what extent you agree or disagree with each one? The Council takes account of residents views when making decisions,Not asked,Asked,Asked
COM058,I’m going to read out a number of statements about the Council. Please can you tell me to what extent you agree or disagree with each one? The Council keeps me informed about their spending and saving proposals,Not asked,Not asked,Asked
COM059,"If you wanted to influence a Council decision, which one of these things do you think would be most effective?",Not asked,Not asked,Asked
COM060,Specify influence (other),Not asked,Not asked,Asked
COM061,"And thinking about your most recent contact, if you could have contacted the Council about this in any way, which contact method would you have used? ",Not asked,Not asked,Asked
COM062,Specify preferred method (other),Not asked,Not asked,Asked
COU001,To what extent are you satisfied or dissatisfied with the way the Council is managing the City?,Asked,Asked,Asked
COU002,Why do you say this?,Asked,Asked,Asked
COU003,Why do you say this? (further issue),Asked,Not asked,Not asked
