,1991,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
,,,,,,,,,,,,,,,,,
Population in working age groups,,"286,000","281,000","288,000","289,000","284,000","288,000","298,000","293,000","293,600","306,400","312,000","315,300","317,700","333,600","338,800","345,800"
  .. males,,"144,000","143,000","148,000","148,000","146,000","150,000","152,000","148,000","148,700","154,200","157,100","159,200","160,800","163,000","165,500","168,800"
  .. females,,"142,000","138,000","140,000","141,000","138,000","138,000","146,000","144,000","144,900","152,200","154,900","156,100","156,900","170,600","175,100","177,000"
Econ. activity rate of wkg. age pop.,,74.5%,76.8%,78.0%,78.2%,80.1%,80.4%,80.8%,79.4%,79.7%,80.5%,80.8%,80.3%,79.9%,77.4%,74.9%,76.8%
  .. males,,80.2%,81.0%,80.0%,82.6%,83.5%,83.7%,83.4%,82.8%,83.3%,83.0%,83.9%,83.3%,83.4%,81.4%,80.4%,80.0%
  .. females,,68.7%,72.6%,75.9%,73.7%,76.5%,76.9%,78.1%,75.8%,75.9%,77.9%,77.7%,77.2%,76.2%,73.6%,69.6%,73.7%
Econ. active pop. in wkg. age groups,,"213,000","216,000","225,000","226,000","228,000","231,000","241,000","232,000","233,900","246,600","252,200","253,200","253,700","258,200","253,600","265,500"
  .. males,,"116,000","116,000","118,000","123,000","122,000","126,000","127,000","123,000","123,900","128,000","131,900","132,600","134,100","132,600","133,100","135,100"
  .. females,,"97,000","100,000","106,000","104,000","105,000","106,000","114,000","110,000","109,900","118,600","120,300","120,500","119,600","125,600","120,500","130,400"
Econ. inactive pop. in wkg. age groups,,"73,000","65,000","63,000","63,000","56,000","56,000","57,000","60,000","59,700","59,800","59,800","62,100","64,000","75,400","85,200","80,300"
  .. males,,"29,000","27,000","30,000","26,000","24,000","25,000","25,000","25,000","24,800","26,200","25,200","26,500","26,700","30,400","32,400","33,700"
  .. females,,"44,000","38,000","34,000","37,000","32,000","32,000","32,000","35,000","35,000","33,600","34,600","35,600","37,300","45,000","52,800","46,600"
% of wkg. age pop. in employment,,69.4%,72.2%,73.9%,74.2%,75.9%,77.3%,77.3%,74.8%,75.5%,76.5%,76.5%,77.2%,76.1%,72.3%,70.4%,71.8%
  .. males,,73.5%,74.9%,74.8%,76.5%,79.6%,80.3%,79.3%,77.5%,78.8%,78.6%,79.3%,80.7%,79.6%,75.6%,74.2%,74.3%
  .. females,,65.2%,69.3%,73.0%,71.8%,72.0%,74.1%,75.1%,72.1%,72.2%,74.4%,73.7%,73.7%,72.6%,69.1%,66.9%,69.3%
Working age pop. in employment,,"198,000","202,000","213,000","215,000","216,000","223,000","230,000","219,000","221,800","234,400","238,700","243,500","241,900","241,200","238,600","248,100"
  .. males,,"106,000","107,000","111,000","114,000","117,000","121,000","121,000","115,000","117,200","121,200","124,600","128,400","128,000","123,300","122,800","125,500"
  .. females,,"92,000","96,000","102,000","101,000","99,000","102,000","110,000","104,000","104,600","113,200","114,200","115,100","113,900","118,000","115,900","122,600"
% of working age pop. unemployed,,5.2%,4.6%,4.2%,4.2%,4.2%,3.1%,3.4%,4.4%,4.1%,4.0%,4.3%,3.1%,3.7%,6.6%,5.9%,6.6%
  .. males,,6.9%,6.3%,5.4%,6.1%,4.1%,4.0%,3.9%,5.4%,4.5%,4.4%,4.6%,2.7%,3.9%,7.0%,7.8%,7.1%
  .. females,,3.5%,2.9%,2.9%,2.1%,4.3%,2.2%,2.7%,3.5%,3.7%,3.5%,4.0%,3.5%,3.6%,6.1%,3.9%,5.9%
Working age pop. unemployed,,"15,000","13,000","12,000","12,000","12,000","9,000","10,000","13,000","12,100","12,200","13,500","9,700","11,800","16,900","15,000","17,400"
  .. males,,"10,000","9,000","8,000","9,000","6,000","6,000","6,000","8,000","6,700","6,800","7,300","4,300","6,200","9,300","10,400","9,700"
  .. females,,"5,000","4,000","4,000","3,000","6,000","3,000","4,000","5,000","5,300","5,400","6,200","5,400","5,700","7,600","4,700","7,700"
Working age pop. not in work,,"88,000","78,000","75,000","75,000","68,000","65,000","67,000","73,000","71,800","72,000","73,300","71,800","75,800","92,300","100,200","97,700"
  .. males,,"39,000","36,000","38,000","35,000","30,000","31,000","31,000","33,000","31,500","33,000","32,500","30,800","32,900","39,700","42,800","43,400"
  .. females,,"49,000","42,000","38,000","40,000","38,000","35,000","36,000","40,000","40,300","39,000","40,800","41,000","43,000","52,600","57,500","54,300"
,,,,,,,,,,,,,,,,,
