ID,HOTEL,OWNER,STREETNO1,STREET,STREETNO2,STREETNO3,POSTCODE,EASTING,GRADE,NORTHING,ROOMS
1.00000,Premier Inn Edinburgh Park,Whitbread,1.00000,Lochside Way,,,,318337.00000,n/a,671350.00000,120.00000
2.00000,Marriott Dalmahoy Hotel & Country Club,,,"Long Dalmahoy, Kirknewton",,,EH278EB,314388.00000,4* HO,668725.00000,203.00000
3.00000,Caledonian Hotel,Hilton,4.00000,Lothian Road    (/Princes Street),,,EH12AB,324700.00000,5* HO,673620.00000,235.00000
4.00000,Glenisla Hotel,,12.00000,Lygon Road,,,EH165QB,327023.00000,3,670992.00000,10.00000
5.00000,Thistle Hotel,,59.00000,Manor Place,,,EH37EG,324080.00000,3,673700.00000,11.00000
6.00000,Ceilidh-Donia Hotel [formerly Marchhall Hotel],,14.00000,Marchhall Crescent,-,16,EH165HL,327106.00000,3,672057.00000,17.00000
7.00000,St. Christopher's Inn [formerly Station Hotel],St. Christopher's Inns,9.00000,Market Street,to,13,EH11DE,325762.00000,n/a,673737.00000,
8.00000,Motel One,,18.00000,Market Street / 6 Cockburn Street,to,21,EH11BL,325690.00000,n/a,673712.00000,208.00000
9.00000,Ivy Guest House,,7.00000,Mayfield Gardens,,,EH92AX,326777.00000,n/a,671797.00000,8.00000
10.00000,Ben Doran Guest House,,11.00000,Mayfield Gardens,,,EH92AX,326783.00000,4*GH,671780.00000,10.00000
11.00000,Allison House Hotel,,17.00000,Mayfield Gardens,,,EH92AX,326798.00000,4* GH,671757.00000,11.00000
12.00000,Barony Guest House,,23.00000,Mayfield Gardens,,,EH92BX,326847.00000,4*GH,671670.00000,9.00000
13.00000,Glenalmond Guest House,,25.00000,Mayfield Gardens,,,EH92BX,326854.00000,GH 4*,671654.00000,10.00000
14.00000,Arrandale Guest House,,28.00000,Mayfield Gardens,,,EH92BZ,326836.00000,3*GH,671583.00000,6.00000
15.00000,Alba Hills Guest House [formerly Rimswell House Hotel],,33.00000,Mayfield Gardens,to,35,EH92BX,326887.00000,n/a,671596.00000,9.00000
16.00000,International Guest House,,37.00000,Mayfield Gardens,,,EH92BX,326892.00000,n/a,671583.00000,9.00000
17.00000,Lauderville Guest House,,52.00000,Mayfield Road,,,EH92NH,326561.00000,n/a,671539.00000,10.00000
18.00000,Best Western Kings Manor Hotel,S. Solley Hotels Ltd.,100.00000,Milton Road East,,,EH152NP,331671.00000,4,672924.00000,95.00000
19.00000,Thrums Hotel,,14.00000,Minto Street,to,15,EH91RQ,326654.00000,3* GH,672014.00000,14.00000
20.00000,Edinburgh's Minto Hotel,,16.00000,Minto Street,to,18,EH99RQ,326679.00000,3,671978.00000,23.00000
21.00000,Ellwyn Hotel,,37.00000,Moira Terrace,to,39,EH76TD,329209.00000,n/a,674305.00000,12.00000
22.00000,Premier Inn Edinburgh Haymarket,Whitbread Bowland Inns,1.00000,Morrison Link,,,EH38DN,324283.00000,n/a,673199.00000,282.00000
23.00000,The Avenue Hotel,,4.00000,Murrayfield Avenue,,,EH126AX,322832.00000,2,673300.00000,6.00000
24.00000,Craigelachie Hotel,,21.00000,Murrayfield Avenue,,,EH126AU,322662.00000,4* GH,673356.00000,8.00000
25.00000,Beverley Hotel,,40.00000,Murrayfield Avenue,,,EH126AY,322741.00000,4* GH,673424.00000,8.00000
26.00000,Holyrood Aparthotel,Hotel Connections,1.00000,Nether Bakehouse,,,EH88PE,326530.00000,4* SA,673707.00000,40.00000
27.00000,Premier Inn Edinburgh Newcraighall,Whitbread Group,91.00000,Newcraighall Road,,,EH16,331720.00000,n/a,671860.00000,42.00000
28.00000,Hawes Inn,Innkeeper's Lodge,,Newhalls Road,,,EH309TA,313537.00000,1,678289.00000,14.00000
29.00000,Premier Inn Edinburgh Leith,Whitbread Group,51.00000,Newhaven Place,-,53,EH64TX,325527.00000,n/a,677483.00000,84.00000
30.00000,Southside Guest House,,8.00000,Newington Road,,,EH91QS,326410.00000,4* GH,672385.00000,8.00000
31.00000,Barcelo Edinburgh Carlton Hotel,Dawnay Shore Hotels,19.00000,North Bridge,,,EH11SD,325935.00000,5,673762.00000,189.00000
32.00000,Scotsman Hotel,,20.00000,North Bridge,,,EH11TR,325865.00000,n/a,673760.00000,68.00000
33.00000,Holiday Inn Express,Holiday Inn / Somerston Hotels (Edinburgh Waterfront),101.00000,Ocean Drive,,,EH66LA,326510.00000,3* HO,676834.00000,145.00000
34.00000,Arden Guest House,,126.00000,Old Dalkeith Road,,,EH16  4SD,328338.00000,n/a,670482.00000,8.00000
35.00000,Aaron Lodge,,128.00000,Old Dalkeith Road,,,EH164SD,328338.00000,n/a,670480.00000,10.00000
36.00000,West End Hotel,,37.00000,Palmerston Place,,,EH125AU,324000.00000,n/a,673625.00000,8.00000
37.00000,Holiday Inn Express,,16.00000,Picardy Place,to,22,EH13JT,326031.00000,n/a,674430.00000,150.00000
38.00000,Edinburgh House Hotel [formerly Balfour House Hotel],,92.00000,Pilrig Street,,,EH65AY,326324.00000,n/a,675471.00000,24.00000
39.00000,Lindsay Guest House,,108.00000,Polwarth Terrace,,,EH111NN,323519.00000,3*GH,671637.00000,7.00000
40.00000,Ard Na Said Guest House,,5.00000,Priestfield Road,,,EH165HH,327142.00000,4*GH,672005.00000,6.00000
41.00000,Dorstan House Hotel,,7.00000,Priestfield Road,,,EH165HJ,327177.00000,3* GH,672030.00000,14.00000
42.00000,Prestonfield House Hotel,,,Priestfield Road,,,EH165UT,327803.00000,5* HO,672105.00000,24.00000
43.00000,Balmoral Hotel,,1.00000,Princes Street,,,EH22EQ,325820.00000,5* HO,673954.00000,168.00000
44.00000,Royal British Hotel,Cairn Hotel Group,20.00000,Princes Street,,,EH22AN,325741.00000,3,674004.00000,72.00000
45.00000,Travelodge Edinburgh Central Princes Street,Arcadia Group Ltd.,30.00000,Princes Street,-,31,EH22BY,325665.00000,n/a,673978.00000,95.00000
46.00000,Old Waverley Hotel,Paramount Hotel Group,42.00000,Princes Street,to,44,EH22BY,325602.00000,3* HO,673960.00000,66.00000
47.00000,Robert Burns Hotel  [formerly at Craigalon House],,39.00000,Abercorn Terrace,,,EH152DG,331156.00000,n/a,673531.00000,16.00000
48.00000,Royal Scots Club,,30.00000,Abercromby Place,,,EH36QE,325308.00000,3*HO,674353.00000,25.00000
49.00000,Links Hotel,,4.00000,Alvanley Terrace,-,6,EH91DU,324965.00000,n/a,672264.00000,22.00000
50.00000,Ardmillan Hotel [formerly Nirvana Hotel],,9.00000,Ardmillan Terrace,to,10,EH112JW,323505.00000,2* SH,672377.00000,7.00000
51.00000,Travelodge Edinburgh West End [formerly Belford Hotel],Menzies Hotels plc / Travelodge,69.00000,Belford Road,,,EH43DG,323766.00000,4* HO,673728.00000,173.00000
52.00000,Smart City Hostel,Europa Inns (UK) Ltd.,40.00000,Blackfriars Street,to,50,EH11NE,326039.00000,n/a,673550.00000,49.00000
53.00000,Best Western Braid Hills Hotel,,134.00000,Braid Road,,,EH106JD,324308.00000,3* HO,669988.00000,68.00000
54.00000,Staycity.com Edinburgh,AMA (New Town) Ltd.,9.00000,Brandfield Street,",",13,EH38AS,324355.00000,SA,672925.00000,74.00000
55.00000,Mercure Point Hotel,,34.00000,Bread Street,to,58,EH39AF,324946.00000,3* HO,673167.00000,139.00000
56.00000,Broughton Hotel,,37.00000,Broughton Place,,,EH13RR,325972.00000,3* GH,674624.00000,6.00000
57.00000,No. 11 [formerly Clan Campbell Hotel],,11.00000,Brunswick Street,,,EH75JB,326452.00000,3* SH,674600.00000,10.00000
58.00000,Best Western Bruntsfield Hotel,Queensferry Hotels,69.00000,Bruntsfield Place,,,EH104HH,324768.00000,4* HO,672336.00000,74.00000
59.00000,Premier Inn Edinburgh South Queensferry [formerly Queen's Crossing (Travel Inn)],Whitbread Group,2.00000,Builyeon Road,,,EH309--,312426.00000,n/a,677705.00000,40.00000
60.00000,Parliament House Hotel,Adam Hotels,15.00000,Calton Hill,,,EH13BJ,326035.00000,3* HO,674100.00000,53.00000
61.00000,Canon Court Apartments,,20.00000,Canonmills,,,EH35HA,325268.00000,4* SA,675061.00000,32.00000
62.00000,Castle View Guest House,,30.00000,Castle Street,,,EH23HT,324993.00000,3*GH,673883.00000,18.00000
63.00000,The Witchery,,,"Castlehill, Royal Mile",,,EH12NF,325419.00000,n/a,673502.00000,8.00000
64.00000,Roxburghe Hotel,Paragon Hotels / Macdonald Hotels,38.00000,Charlotte Square,,,EH24HG,324786.00000,4* HO,673838.00000,198.00000
65.00000,Chester Residence,,9.00000,Chester Street,,,EH37RF,324170.00000,SA 5*,673697.00000,5.00000
66.00000,Claremont Hotel,,14.00000,Claremont Crescent,to,15,EH74HX,325695.00000,1* SH,675187.00000,24.00000
67.00000,Best Western Edinburgh Capital,Portland Hotels,187.00000,Clermiston Road,,,EH126UG,320193.00000,3* HO,674390.00000,111.00000
68.00000,Guards Hotel [formerly Clifton Private Hotel],,1.00000,Clifton Terrace,,,EH125DR,324076.00000,2,673261.00000,11.00000
69.00000,West End Hostel,Shielcroft Ltd.,3.00000,Clifton Terrace,to,4,EH125DR,324057.00000,n/a,673248.00000,8.00000
70.00000,Tune Hotel Edinburgh Haymarket,TP Hotel (Edinburgh) Ltd.,7.00000,Clifton Terrace,-,8,EH12 5DR,324019.00000,n/a,673236.00000,179.00000
71.00000,Haymarket & Buchan Hotel,,1.00000,Coates Gardens,-,3,EH125LG,323789.00000,3* HO,673247.00000,25.00000
72.00000,Piries Hotel,,4.00000,Coates Gardens,to,8,EH125LB,323825.00000,3* HO,673266.00000,32.00000
73.00000,Boisdale Hotel,,9.00000,Coates Gardens,,,EH125LG,323787.00000,3* GH,673281.00000,10.00000
74.00000,Lairg Hotel,,11.00000,Coates Gardens,,,EH125LG,323788.00000,3*GH,673293.00000,10.00000
75.00000,Argus Hotel,,14.00000,Coates Gardens,,,EH125LB,323824.00000,3,673295.00000,11.00000
76.00000,No. 32 [formerly Beresford Hotel],,32.00000,Coates Gardens,,,EH125LE,323822.00000,3* GH,673369.00000,10.00000
77.00000,St Valery Guest House,,36.00000,Coates Gardens,,,EH125LE,323822.00000,n/a,673386.00000,11.00000
78.00000,Edinburgh Backpackers Hostel,,65.00000,Cockburn Street,,,EH11BU,325881.00000,HS,673704.00000,150.00000
79.00000,Kingsburgh House,,2.00000,Corstorphine Road,,,EH126HN,322565.00000,5*GH,673227.00000,6.00000
80.00000,Hampton Hotel,,14.00000,Corstorphine Road,,,EH126HN,322471.00000,3* SH,673214.00000,6.00000
81.00000,Murrayfield Hotel,Festival Inns,18.00000,Corstorphine Road,,,EH126HN,322430.00000,1* HO,673211.00000,37.00000
82.00000,Western Manor House Hotel,,92.00000,Corstorphine Road,,,EH126JG,321730.00000,n/a,673110.00000,11.00000
83.00000,Holiday Inn,,132.00000,Corstorphine Road,,,EH126UA,320950.00000,4* HO,672912.00000,303.00000
84.00000,Budget Backpackers Hostel,,37.00000,Cowgate,to,39,EH11JR,325617.00000,n/a,673410.00000,44.00000
85.00000,Cowgate Tourist Hostel,,94.00000,Cowgate,-,112,EH11JN,325750.00000,HS,673473.00000,170.00000
