Name,Telephone,Email,Address,Postcode,Description,Clients,Website,"Commissioned by Services for Communities","Other details","What to do next","Where is this service available",Location
,,,,,,,,,,,,
"Barnardos 16+ Visiting Support Service","0131 529 6400",CFDuty.ThroughcareandAftercare@edinburgh.gov.uk,"Throughcare and Aftercare, 329 High Street, Edinburgh","EH1 1PN","Barnados 16+ Visiting Support gives housing support for young people between the ages of fifteen and twenty-one who have been looked after. The service will not work with people who fail to engage or with people who have an active drug addiction.  ","Young people",http://www.barnardos.org.uk,,"This is a short term service that can support people for up to two years.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.94994,-3.190859"
"Barnardos Care Leavers ","0131 529 6400",CFDuty.ThroughcareandAftercare@edinburgh.gov.uk,"Throughcare and Aftercare, 329 High Street, Edinburgh","EH1 1PN","Barnados Care Leavers gives accommodation service for young people between the ages of 15 and 21 who have been looked after and who have housing support needs. The service will not work with people who fail to engage or with people who have an active drug addiction.  It can only be accessed by contacting Through Care and After Care.","Young people",http://www.barnardos.org.uk,,,,,"55.94994,-3.190859"
Barony,"0845 140 7777 ",info@baronyha.org.uk,"1 Canal Court, 40 Craiglockhart Avenue, Edinburgh","EH14 1LT","Barony HA gives housing support to vulnerable people, including those with enduring mental health problems and offending backgrounds.  People can get one to one support or attend the Contact Point Drop in Centre.  ","Learning disabilities
Physical disabilities 
Mental health",http://www.baronyha.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.923840409965024,-3.244185447692871"
"Bethany Christian Trust","0131 561 8930",info@bethanychristiantrust.com,"65 Bonnington Road, Edinburgh","EH6 5JQ","Bethany Christian Trust gives support and accommodation to help stop people being or becoming homelessness. Support includes help for people with addiction issues, drop ins and community education. ",Any,http://www.bethanychristiantrust.com,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.",Citywide,"55.971477,-3.176956"
"Blackwood Care","0131 317 7227",info@mbha.org.uk,"77 Craigmount Brae, Edinburgh","EH12 8XF","Our service is tailored to the individual and offers choice and promotes independence. Our aim is to assist people to maintain their own tenancies we work with the person to meet their outcomes.  We provide support with general household tasks, meal preparation and life skills.  ","Blackwood provides Community support to customers who have a physical disability, experience mental health issues, older people, care leavers, young people, people with learning disabilities, drug / alcohol abuse issues, refugee / asylum seekers, vulnerable single parents, homeless people and those at risk of homelessness and other vulnerable adults.",http://www.mbha.org.uk,,"This can be a longer term housing support service.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","Abbeyhill and East Craigs","55.952592338559356,-3.3028560876846313"
"Blackwood Care - Community Worker","0131 652 1589",lauras@mbha.org.uk,"10/1 Abbey Street Edinburgh, EH7 5XN","EH7 5XN","Our Community Support Worker provides out reach support to assist with Housing options and form filling i.e. benefits or other official correspondence. We offer advise on returning to work, Education or Volunteer work in the local community. ","Blackwood provides Community support to customers who have a physical disability, experience mental health issues, older people, care leavers, young people, people with learning disabilities, drug / alcohol abuse issues, refugee / asylum seekers, vulnerable single parents, homeless people and those at risk of homelessness and other vulnerable adults.",http://www.mbha.org.uk/,,"This is usually a short term service.","Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","Abbeyhill and East Craigs","55.956864472408114,-3.1685256958007812"
"Care and Repair","0131 220 7630",reception@careandrepairedinburgh.org.uk,"4 Queen Street, Edinburgh","EH2 1JE ","Care and Repair help older people and disabled people living in private housing which was in poor repair or below the tolerable standard. ","Older people 
Physical disability",http://www.careandrepairedinburgh.org.uk,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City wide","55.954871,-3.196712"
"Carr Gomm","0131 659 4792",info@carrgomm.org,"SPACE, 11 Harewood Road, Edinburgh","EH16 4NT","Our support can help you to get the skills so you can do practical tasks such as housework, making a meal, shopping or laundry or getting out and about. 
Carr Gomm also provides other services that can provide personal care such as bathing.","Older people, people with physical support needs, people with autism, people with mental health problems, people with learning disabilities, people with addictions and people with other support needs",http://www.carrgomm.org,,"This can be a longer term housing support service.","Once the service user has a Carenap assessment, refer the person to the Edinburgh Mental Health and Wellbeing/ Substance Misuse Accommodation and Support panel mentalhealthaccommodationpanel@edinburgh.gov.uk.","City wide","55.935333,-3.131421"
"Castlecliff ","0131 225 1643",castlecliff@edinburgh.gov.uk,"25 Johnston Terrace, Edinburgh","EH1 2NH","24 hour direct access accommodation. Offers a range of support including resettlement.  High quality acommodation with en-suite facilities in all  bedrooms. Shared communal facilities. There  are 9 supported flats  and a satellite flat in the local community. 
","Single men, women or couples who are homeless aged 16+. Some provision for pets.",,,,"Please contact this service if you or someone you know could benefit from support from this service or if you want more information.","City centre","55.947998330155315,-3.197622299194336"
