Picture,Name,News,Blog,Details,Address,Postcode,Telephone,Email,Twitter,"Opening hours","Bus routes",Facilities,"Bookbug Sessions","A-Z for families in Leith","Book groups","Other events","Business Workshops","Libraries home page",Location
http://www.edinburgh.gov.uk/images/dp_art.jpg,"Art Library","<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>",,"Enjoy life from a new perspective. Find out what's happening in the world of art and design - from cave paintings to the Turner Prize, from early pottery to the latest trends in architecture, fashion and photography, the Art Library is here to meet all your needs in the visual arts.","7-9 George IV Bridge","EH1 1EG","0131 242 8040",central.fineart.library@edinburgh.gov.uk,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>"," Mon, Tue, Wed: 10am - 8pm. Thu, Fri, Sat: 10am-5pm","Lothian 23, 27, 41, 42, 45, 67","Self service",,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94846,-3.192495"
http://www.edinburgh.gov.uk/images/balernoLibrary_1.jpg,"Balerno Library","  <a href=""https://www.facebook.com/pages/Balerno-Library/66425959465""> Read the latest news on our Facebook page including details of our summer events programme for children</a>",,,"1 Main Street","EH14 7EQ","0131 529 5500 ",balerno.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues & Fri 10am - 5pm. Sat 10am-2pm","Lothian 44","Gaming consoles
Induction loop
Photocopier
Fax machine","A free event for 0 to 4 year olds and their parents/carers. 10.30 - 11.00am on Fridays",,"Last Monday of every month, 6.20 - 7.30pm. All welcome - contact library for details.
Chatterbooks reading group for children aged 4 - 12, third Wednesday of the month, 3.30 - 4.30pm (during term time)","Storytime for 3 - 5 year olds, every Tuesday from 10.00 - 10.30am",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.883899,-3.338458"
http://www.edinburgh.gov.uk/images/balgreen.jpg,"Balgreen Library","<a href="" http://www.facebook.com/balgreenlibrary "" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children </strong></a>",,,"173 Balgreen Road","EH11 3AT","0131 529 5585",balgreen.library@edinburgh.gov.uk,,"Mon & Wed 1-8pm. Tues & Fri 10am - 5pm. Sat 10am-2pm
","Lothian 1, 2, 22, 38",,"A free event for 0 to 4 year olds and their parents/carers. First Tuesday of every month at 10.30am to 11.00am",,"Last Wednesday of every month at 7pm","Storytime. Every Saturday morning from 11.00 - 11.30am",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.937721,-3.247924"
http://www.edinburgh.gov.uk/images/blackhall.jpg,"Blackhall Library","<a href="" http://www.facebook.com/blackhalllibrary"" rel=""nofollow""><strong>  Get the latest news on our Facebook page including details of our summer events programme for children</strong></a>",,,"56 Hillhouse Road","EH4 5EG","0131 529 5595",blackhall.library@edinburgh.gov.uk,,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 21, 41. First Bus 43","Self service
Disabled access
Car park
Community room for hire
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Out of hours book return
Wheelchairs
Induction loop
Photobooth
","A free event for 0 to 4 year olds and their parents/carers. Every Friday from 10.30-11am",,"Second Tuesday of every month at 7pm, first Tuesday of every month at 2.30pm and last Thursday of every month at 2.30pm. Ask staff for details.","Learn IT beginners' computer classes
Bookworms (crafts for 6-12 years) - first Friday of the month at 2.30pm:
Knitting group, first and third Monday of the month, 6.00 - 7.30pm. Contact us for dates.
Councillors' surgeries",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.961677,-3.261158"
http://www.edinburgh.gov.uk/images/dp_children_s_library.jpg,"Central Children's Library","<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page including details of our summer events programme for children</a>",,"Explore a wide choice of stories, old and new, together with lots of picture books for younger readers. Not forgetting our DVDs.  We also have excellent books to help with school projects and hobbies. Join in with our storytimes and rhymetimes, and keep an eye out for our other children’s events held throughout the year.
","7-9 George IV Bridge","EH1 1EG","0131 242 8027",childrenslibrary@edinburgh.gov.uk,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon & Wed 1-8pm. Tues, Thurs & Fri 10am-5pm. Sat 10am-5pm","Lothian 23, 27, 41, 42, 45, 67",,"A free event for 0 to 4 year olds and their parents/carers. Every Tuesday and Friday 10.30 - 11.00am 
",,"The Dyslexia Chatterbooks group meets on the last Tuesday of the month at 6.30pm. Contact us for details.","Guess the Animal and collect your Zoo activity pack. 15th -  26th April
Free story time for 3 - 5 year olds. Every Thursday from 10.30am",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94855102166327,-3.1923437118530273"
http://www.edinburgh.gov.uk/images/dp_central_lending.jpg,"Central Lending Library","<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>",,"High interest rates guaranteed with a great and varied collection of all the latest titles plus old favourites.    Choose from a wide range of fact and fiction including collections of travel books, language courses, maps and DVDs. Our friendly staff are always on hand to help and advise you with selection.   Don't forget to look out for our topical displays and themed events.","7-9 George IV Bridge","EH1 1EG","0131 242 8020",centrallibrary.lending@edinburgh.gov.uk,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 23, 27, 41, 42, 45, 67","Self service",,,"First Thursday of every month at 6pm. Please contact gail.mcinally@edinburgh.gov.uk (tel 0131 242 8060) for more details. ",,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94857505154987,-3.192257881164551"
http://www.edinburgh.gov.uk/images/dp_central_library.jpg,"Central Library"," <a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page including details of our summer events programme for children</a>",,"The Edinburgh and Scottish Collection in Central Library is currently closed for refurbishment","7-9 George IV Bridge","EH1 1EG","0131 242 8000 General Enquiries
0131 242 8020 Lending Library
0131 242 8027 Childrens' Library
0131 242 8040 Art Library
0131 242 8050 Music Library
0131 242 8060 Reference Library
0131 242 8070 Edinburgh and Scottish Collection
",libraries@edinburgh.gov.uk,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 23, 27, 41, 42, 45, 67",,"A free event for 0 to 4 year olds and their parents/carers. Every Tuesday and Friday 10.30 - 11.00am. Bookbug sessions are normally held in the Children's Library.",,"First Tuesday of every month at 6pm. Please contact gail.mcinally@edinburgh.gov.uk (tel 0131 242 8060) for more details. 
'Chatter and Verse' - our Poetry group - meets on the third Wednesday of the month at 6.30pm.  Contact annie.bell@edinburgh.gov.uk (tel 0131 242 8046) for more details. 
The CA(I)RE book group for carers meets on the first Wednesday of every month from 10.30am - 12 noon. Contact Sunil Bhatnagar on 0131 446 3321 or Annie Bell on 0131 242 8046 for more information.","LearnIT computer class for beginners - call 0131 242 8101 for more details
Exhibitions throughout the year",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94846,-3.192495"
http://www.edinburgh.gov.uk/images/mezzanine.JPG,"Central Library Mezzanine","<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>",,"The mezzanine is ideal if you want somewhere quiet to study or to sit and use our free wi-fi service. It's also a great space if you want somewhere to work in a small group of say 2 to 4 people. The mezzanine is situated one floor below ground level.","Central Library, George IV Bridge","EH1 1EG",,,"<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
",,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.94836208608687,-3.192313134604774"
http://www.edinburgh.gov.uk/images/colintonEXT.jpg,"Colinton Library"," <a href=""https://www.facebook.com/pages/Colinton-Library/51934932478"">Read the latest news on our Facebook page including details of our summer events programme for children</a>",,,"14 Thorburn Road","EH13 0BQ","0131 529 5603",colinton.library@edinburgh.gov.uk,,"Monday and Wednesday: 1pm - 8pm
Tuesday and Friday: 10am - 5pm
Saturday: 10am - 2pm","Lothian 10, 16, 18, 45","Disabled access
Car park
Gaming consoles
Induction loop
Library Link (Fridays at 1pm)","A free event for 0-4 year olds and their parents and carers. Fridays 10.30 - 11.00am and Tuesdays from 2.15 - 2.45pm",,"Two groups meet on the last Wednesday of every month at 6.30pm and the last Tuesday of the month at 2pm","Chatterbooks reading group for P4/5 children, 3rd Tuesday of the month, 3.45 - 4.45pm (during term time)
Crafts on Fridays, 3.30 - 4.30pm
Learn IT beginners' computer classes
Learn e-bay and family history classes - ask next time you're in the library",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.906615,-3.25126"
http://www.edinburgh.gov.uk/images/CorstorphineExterior.jpg,"Corstorphine Library"," <a href="" http://www.facebook.com/corstorphinelibrary "" rel=""nofollow""><strong> Get the latest news on our Facebook page including details of our summer events programme for children</strong></a>",,,"12 Kirk Loan","EH12 7HD","0131 529 5506",corstorphine.library@edinburgh.gov.uk,,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 1, 12, X12, 26, 31 and First 38","Wifi
Self service
Our SPACE in the West (Supporting Parents and Carers in Edinburgh) Parent Information Point 
Disabled access
Library Link and Housebound services
Induction loop
Tea/coffee machine","A free event for 0 to 4 year olds and their parents/carers. Fortnightly on Tuesdays, 10.30-11am, Fridays 2.30 - 3pm and every third Saturday 2.30 - 3.00pm
Contact us for the date of the next Bookbug sessions",,"3 groups meet on the following days:
First Tuesday of the month at 10.30am
First Wednesday of the month at 7pm
Third Wednesday of the month at 7pm","Chatterbooks children's book group - first Monday of every month at 3.45pm
Learn IT classes
Crafty Fridays, first Friday of the month at 2.30pm (during term time)",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books","55.941932,-3.281522"
