Name,News,Blog,Details,Address,Postcode,Telephone,Email,Facebook,Twitter,"Opening hours","Bus routes",Location,Facilities,"Learning and Information Point","Bookbug Sessions",Rhymetimes,"English Classes","Book groups","Other events","Business Workshops","Room hire","Room hire in Central Library","Libraries home page"
"Art Library",,,"Enjoy life from a new perspective. Find out what's happening in the world of art and design - from cave paintings to the Turner Prize, from early pottery to the latest trends in architecture, fashion and photography.","7-9 George IV Bridge","EH1 1EG","0131 242 8040",central.fineart.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>"," Mon, Tue, Wed: 10am - 8pm. Thu, Fri, Sat: 10am-5pm","Lothian 23, 27, 41, 42, 45, 67","55.94846,-3.192495","Exhibition space for local artists
Study space
Free wifi
Public computers",,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Balerno Library",,,,"1 Main Street","EH14 7EQ","0131 529 5500 ",balerno.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Balerno-Library/66425959465""> Read the latest news on our Facebook page</a>",,"Mon & Wed 1-8pm. Tues & Fri 10am - 5pm. Sat 10am-2pm","Lothian 44","55.883899,-3.338458","Free wifi
Gaming consoles
Induction loop
Photocopier
Fax machine",,"A free event for 0 to 4 year olds and their parents/carers. 10.30 - 11.00am on Fridays",,,"Last Monday of every month, 6.20 - 7.30pm. All welcome - contact library for details.
Chatterbooks reading group for children aged 4 - 12, third Wednesday of the month, 3.30 - 4.30pm (during term time)","Storytime for 3 - 5 year olds, every Tuesday from 10.00 - 10.30am",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Balgreen Library",,,,"173 Balgreen Road","EH11 3AT","0131 529 5585",balgreen.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/balgreenlibrary "" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon & Wed 1-8pm. Tues & Fri 10am - 5pm. Sat 10am-2pm
","Lothian 1, 2, 22, 38","55.937721,-3.247924","Free wifi",,"A free event for 0 to 4 year olds and their parents/carers. First Tuesday of every month at 10.30am to 11.00am",,,"Last Wednesday of every month at 7pm","Storytime. Every Saturday morning from 11.00 - 11.30am",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Blackhall Library",,,,"56 Hillhouse Road","EH4 5EG","0131 529 5595",blackhall.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/blackhalllibrary"" rel=""nofollow""><strong>  Get the latest news on our Facebook page</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 21, 41. First Bus 43","55.961677,-3.261158","Free wifi
Self service
Disabled access
Car park
Community room for hire
Library Link
Display/exhibition Space for public use
Toilets
Toilets for disabled users
Baby changing facilities
Out of hours book return
Wheelchairs
Induction loop
Photobooth",,"A free event for 0 to 4 year olds and their parents/carers. Every Friday from 10.30-11am",,,"Second Tuesday of every month at 7pm, first Tuesday of every month at 2.30pm and last Thursday of every month at 2.30pm. Ask staff for details.","Learn IT beginners' computer classes
Bookworms (crafts for 6-12 years) - first Friday of the month at 2.30pm:
Knitting group, first and third Monday of the month, 6.00 - 7.30pm. Contact us for dates.
Councillors' surgeries",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
For partner projects, charges to be identified within project budget.
",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Central Children's Library",,,"Explore a wide choice of stories, old and new, together with lots of picture books for younger readers. Not forgetting our DVDs. We also have excellent books to help with school projects and hobbies. Join in with our storytimes and rhymetimes, and keep an eye out for our other children’s events held throughout the year.","George IV Bridge","EH1 1EG","0131 242 8027",childrenslibrary@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon - Wed: 10am - 8pm, Thu - Sat: 10am - 5pm","Lothian 23, 27, 41, 42, 45, 67","55.94855102166327,-3.1923437118530273",,,"A free event for 0 to 4 year olds and their parents/carers. Every Tuesday and Friday 10.30 - 11.00am ",,,"The Dyslexia Chatterbooks group meets on the last Tuesday of the month at 6.30pm. Contact us for details.","Free story time for 3 - 5 year olds. Every Thursday from 10.30am
Friday crafts for ages 7-11. Weekly, 2-3pm",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Central Lending Library","We’ve discovered a structural problem with an area of central library that is not open to the public.
We’ve closed this area to staff while checks are carried out. Until these checks are complete, and remedial work carried out staff cannot fetch any of the classic fiction and non fiction works which are normally stored in this area. This also includes some of our audio books. 
We’re sorry for any inconvenience caused. Please speak to staff to see if alternatives can be arranged. 
",,"High interest rates guaranteed with a great and varied collection of all the latest titles plus old favourites.    Choose from a wide range of fact and fiction including collections of travel books, language courses, maps and DVDs. Our friendly staff are always on hand to help and advise you with selection.   Don't forget to look out for our topical displays and themed events.","George IV Bridge","EH1 1EG","0131 242 8020",centrallibrary.lending@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 23, 27, 41, 42, 45, 67","55.94857505154987,-3.192257881164551","Free wifi
Self service",,,,,,,,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Central Library",,,,"George IV Bridge","EH1 1EG","0131 242 8000 General Enquiries
0131 242 8020 Lending Library
0131 242 8027 Childrens' Library
0131 242 8040 Art Library
0131 242 8050 Music Library
0131 242 8060 Reference Library
0131 242 8070 Edinburgh and Scottish Collection
",libraries@edinburgh.gov.uk," <a href=""https://www.facebook.com/pages/Edinburgh-Central-Library/352940041396180"">Catch up with the latest news on our Facebook page</a>","<a href=http://twitter.com/edcentrallib/ rel=”nofollow”>@edcentrallib</a>","Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian 23, 27, 41, 42, 45, 67","55.94846,-3.192495","Free wifi
Toilets",,"A free event for 0 to 4 year olds and their parents/carers. Every Tuesday and Friday 10.30 - 11.00am. Bookbug sessions are normally held in the Children's Library.
The last Central Children’s Bookbug session in 2013 will be on Fri 20 Dec, 10:30 – 11:00.  Bookbug will resume on Tue 7 Jan 2014.",,,"First Tuesday of every month at 6pm. Next meeting is on 2nd September at 6pm in the Boardroom.  We'll be reading 'The Circle' by Dave Eggers.
'Chatter and Verse' - our Poetry group - meets on the third Wednesday of the month at 6.30pm.  Contact annie.bell@edinburgh.gov.uk (tel 0131 242 8046) for more details. 
The CA(I)RE book group for carers meets on the first Wednesday of every month from 10.30am - 12 noon. Contact Sunil Bhatnagar on 0131 446 3321 or Annie Bell on 0131 242 8046 for more information.","LearnIT computer class for beginners - call 0131 242 8101 for more details
Exhibitions throughout the year",,,"<a href=""http://www.edinburgh.gov.uk/info/20118/book_council_rooms/971/room_hire_in_libraries"" rel=""nofollow"">Hire a room at Central Library for your meeting or training course</a>","<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Colinton Library",,,,"14 Thorburn Road","EH13 0BQ","0131 529 5603 ",colinton.library@edinburgh.gov.uk,"<a href=""https://www.facebook.com/pages/Colinton-Library/51934932478?ref=tn_tnmn"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Monday and Wednesday: 1pm - 8pm
Tuesday and Friday: 10am - 5pm
Saturday: 10am - 2pm","Lothian 10, 16, 18, 45","55.906615,-3.25126","Free wifi
Disabled access
Car park
Gaming consoles
Induction loop
Library Link (Fridays at 1pm)",,"A free event for 0-4 year olds and their parents and carers. Fridays 10.30 - 11.00am, Tuesdays from 2.15 - 2.45pm and every second Saturday 10.30 - 11.00am",,,"Two groups meet on the last Wednesday of every month at 6.30pm and the last Tuesday of the month at 2pm","Chatterbooks reading group for P4/5 children, 3rd Tuesday of the month, 3.45 - 4.45pm (during term time)
Storytelling every second Saturday at 10.30am
Crafts on Fridays, 3.30 - 4.30pm
Learn IT beginners' computer classes
Learn e-bay and family history classes - ask next time you're in the library",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Corstorphine Library",,,,"12 Kirk Loan","EH12 7HD","0131 529 5506",corstorphine.library@edinburgh.gov.uk,"<a href="" http://www.facebook.com/corstorphinelibrary"" rel=""nofollow""><strong> Get the latest news on our Facebook page</strong></a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm","Lothian 1, 12, X12, 26, 31 and First 38","55.941932,-3.281522","Free wifi
Self service
Our SPACE in the West (Supporting Parents and Carers in Edinburgh) Parent Information Point 
Disabled access
Library Link and Housebound services
Induction loop
Tea/coffee machine",,"A free event for 0 to 4 year olds and their parents/carers. Fortnightly on Tuesdays, 10.30-11am, Fridays 2.30 - 3pm and Saturday 2.30 - 3.00pm
Contact us for the date of the next Bookbug sessions",,,"3 groups meet on the following days:
First Tuesday of the month at 10.30am
First Wednesday of the month at 7pm
Third Wednesday of the month at 7pm","Children’s Crafts (during Term time): Pop along to see what we are doing on the day.
Crafty Friday: Fortnightly @ 2:30
Dramarama: drama workshop for ages 12-16, 5.30pm on Tuesdays (from 9th September)
sARTurday’s: Fortnightly  craft on a Saturday @ 2:30
Scrabble Club: Fortnightly on a Monday @ 2pm
Corstophine Cast Off’s: Fortnightly knitting and crocheting group. Meets fortnightly on a Tuesday evening @ 6:45pm and a Thursday @ 2:30
Please contact the library for the next session dates or you can look at our events calendar on our facebook page.",,,,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
"Craigmillar Library",,,,"101 Niddrie Mains Road","EH16 4DS","0131 529 5597",craigmillar.library@edinburgh.gov.uk,"<a href=""http://www.facebook.com/craigmillarlibrary"" real=""nofollow"">Get the latest news on our facebook page</a>",,"Mon, Tue, Wed: 10am-8pm. Thu, Fri, Sat: 10am-5pm
","Lothian bus nos 2, 14, 21, 30","55.93314479569796,-3.1369614601135254","Free wifi
Self Issue
Public Access Computers
Cafe
Baby Changing Facilities
Community Room for Hire (see below)
Toilets
Induction Loop
Gaming Consoles
Photocopier 
Fax
Library Link
Disabled Access
Housebound Deliveries
Cycle Racks
Car Park
Accessible Computers for Visually Impaired People
Plasma Screen
Book Trolley
Display/Exhibition Space
Scanner",,,"Rhymetimes  are run by <a href=""http://www.craigmillarbooksforbabies.org.uk""> Craigmillar Books for Babies</a> Every Saturday and Tuesday from 11.00am. Polish rhymetimes: last Monday of the month: 10 - 11am. Greek Rhymetime: third Monday of the month, 1.00pm - 2.00pm ","ESOL Classes are available from Adult Learning Link. They take place in our library every Monday night, please contact Adult Learning Link on 0131 652 6324 or email fiona.evans@edinburgh.gov.uk","Second Monday of the month at 6.00","Creative Working Workshop for Adults: last Monday of the month 6:00
Journal Club: Wednesday 6:30 
Homework Club: Monday to Thursday 3.30-5
Minecraft Club: Monday and Wednesdays from 4-5
Theatre Workshop: Tuesday 4:00
Knitting Club: Thursday 3:30
Girls Group: Friday 2:00
Get Online Computer/Tablet and Phone classes
Craft Events
Sport Activities
Games Competitions 
Councillor Surgery",,"Commercial:
3 hour block: £51.50, then £10 per hour or part.
IT facilities are also available at £5.15 per PC (for first three hours, thereafter £5.00 per PC per hour or part).
Non commercial:
3 hour block: £17, then £5 per hour or part.
IT facilities are also available at £2.06 per PC (for first three hours, thereafter £2.00 per PC per hour or part)
All lets outside opening hours, Monday to Friday, £15 per hour extra. Weekend rates by negotiation.
For partner projects, charges to be identified within project budget.
",,"<a href=""http://www.edinburgh.gov.uk/libraries"" rel=""nofollow"">Find out all about libraries including borrowing, reserving and renewing books"
