"Street Name","Locality","Street Adoption Status","Property Notice Description"
"A1","","Adopted","A1From the east end of PRINCES STREET westwards to the City Boundary via WATERLOOPLACE, REGENT ROAD, MONTROSE TERRACE, LONDON ROAD, WILLOWBRAE ROAD,MILTON ROAD WEST, MILTON ROAD and MILTON LINK.Carriageways and adjacent footways adopted for maintenance."
"A1140","","Adopted",""
"A199","","Adopted",""
"A6095","","Adopted",""
"A6106","","Adopted",""
"A7","","Adopted","A7From the east end of PRINCES STREET southwards to the City Boundary via NORTHBRIDGE, SOUTH BRIDGE, NICOLSON STREET, ST PATRICK'S STREET, ST PATRICK'SSQUARE, CLERK STREET, SOUTH CLERK STREET, EAST PRESTON STREET,DALKEITH ROAD and OLD DALKEITH ROAD.Carriageways and adjacent footways adopted for maintenance."
"A70","","Adopted","A70From HAYMARKET south-westwards to the City Boundary via DALRY ROAD, ARDMILLANTERRACE, SLATEFORD ROAD, LANARK ROAD and LANARK ROAD WEST.Carriageways and adjacent footways adopted for maintenance."
"A70--Glenbrook Rd to B7031","","Adopted","A70--GLENBROOK RD TO B7031From GLENBROOK ROAD westwards to the B7031.Carriageways and adjacent footways are adopted for maintenance."
"A701","","Adopted",""
"A702","","Adopted",""
"A702T","","Trunk - Scot Exec","A90TTRUNK: From the Biggar Road at north side of the roundabout north of the Bypass southwards over the Bypass to municipal boundary at Lothianburn. Maintenance responsibility lies with ScottishExecutive."
"A702T - City Bypass to Lothianburn","","Trunk - Scot Exec","A702T - City Bypass to LothianburnTRUNK: From the Biggar Road at north side of the roundabout north of the Bypass southwards over the Bypass to municipal boundary at Lothianburn. Maintenance responsibility lies with ScottishExecutive."
"A71","","Adopted",""
"A720","Edinburgh","Adopted","A720From Southwest side of GOGAR ROUNDABOUT southwards, southeastwards, eastwards towest side of SHERIFFHALL ROUNDABOUT at centre line of A7.Carriageways and adjacent footways adopted for maintenance."
"A720T","Edinburgh","Trunk - Scot Exec","A720T"
"A772","","Adopted",""
"A8","","Adopted",""
"A8000","","Adopted","A8000 From North side of ROUNDABOUT joining B800 and M9 north-eastwards, northwards, north-westwardsincluding FERRYMUIR ROAD, westwards to the roundabout linking the A90 and Builyeon Road."
"A8000 - Kirkliston to South Queensferry","","Adopted","A8000 - KIRKLISTON TO SOUTH QUEENSFERRYFrom North side of ROUNDABOUT joining B800 and M9 north-eastwards, northwards, north-westwardsincluding FERRYMUIR ROAD, westwards to the roundabout linking the A90 and Builyeon Road."
"A89","Ingliston","Adopted","A89From Newbridge Roundabout Northwestwards and westwards to Edinburgh City Boundary.Carriageways and adjacent footways adopted for maintenance."
"A89 - Newbridge Roundabout to City Boundary","Ingliston","Adopted","A89 - NEWBRIDGE ROUNDABOUT TO CITY BOUNDARYFrom Newbridge Roundabout westwards to Edinburgh City Boundary.Carriageways and adjacent footways adopted for maintenance."
"A90","","Partially Adopted","A90From west end of Princes Street to the Forth Road Bridge.Street split between PUBLIC & TRUNK sections:PUBLIC SECTION: From the west end of Princes Street generally north & west to Dalmeny.Carriageways & adjacent footways are adopted for maintenance.TRUNK SECTION: From Dalmeny west & northwards to the Forth Road BridgeMaintenance responsibility lies with Bear Scotland."
