ID,BINTYPE,STREETNAME,COMMENTS,ASHTRAY,DIRECTION,X,Y,NEIGHBOURH,WARD,INSTALL
6,Derby Double Slimline,Rose Street 01,Outside Sainsbury Central,No,WB,0.00,0.00,CC,CC,
7,Neopolitan,South St David Street,Outside Jenners,Yes,SB,0.00,0.00,CC,CC,
8,Derby Double Slimline,Rose Street 02,Rear ot the Dome 17a,No,WB,0.00,0.00,CC,CC,
9,Derby Double Slimline,Rose Street 07,Outside Skipton Building Society at Frederick Street,No,WB,0.00,0.00,CC,CC,
11,Neopolitan,Frederick Street,Outside Cecil G,Yes,SB,0.00,0.00,CC,CC,
12,Neopolitan,Frederick Street,Outside Oasis at 14,Yes,NB,0.00,0.00,CC,CC,
13,Neopolitan,Frederick Street,Outside McColls,Yes,NB,0.00,0.00,CC,CC,
14,Neopolitan,Frederick Street,Outside number 26,Yes,NB,0.00,0.00,CC,CC,
16,Neopolitan,Frederick Street,Outside French Connection,Yes,SB,0.00,0.00,CC,CC,
17,Neopolitan,Frederick Street,Outside Garfunkels,Yes,SB,0.00,0.00,CC,CC,
19,Neopolitan,Hanover Street,Outside number 30,Yes,NB,0.00,0.00,CC,CC,
20,Neopolitan,Hanover Street,Yorkshire Building Society,Yes,NB,0.00,0.00,CC,CC,
24,Neopolitan,Hanover Street,Outside JJB,Yes,NB,0.00,0.00,CC,CC,
25,Derby Double Slimline,Rose Street 04,Outside Abbey Building Society,No,WB,0.00,0.00,CC,CC,
26,Derby Double Slimline,Rose Street 05,Outside TSB,No,WB,0.00,0.00,CC,CC,
27,Neopolitan,Hanover Street,Outside Ernest Jones,Yes,NB,0.00,0.00,CC,CC,
28,Derby Double Slimline,Rose Street 03,Rear of Marks and Spencer,Yes,WB,0.00,0.00,CC,CC,
29,Topsy,South St David Street,On corner of St Andrew Square,Yes,SB,0.00,0.00,CC,CC,
31,Neopolitan,St Andrew Square,Opposite Royal Bank at Gardens,Yes,SB,0.00,0.00,CC,CC,
34,Derby Standard,St Andrew Square,Outside North East gate to Gardens,Yes,SB,0.00,0.00,CC,CC,
35,Brunel,St Andrew Square,Outside Portaloo,Yes,SB,0.00,0.00,CC,CC,
36,Topsy,North St Andrew Street,Outside Tiles Cafe Bar,No,SB,0.00,0.00,CC,CC,
38,Brunel,St Andrew Square,Outside Portaloo,Yes,WB,0.00,0.00,CC,CC,
39,Topsy,St Andrew Square,Outsided Number 03 South Footway,Yes,WB,0.00,0.00,CC,CC,
40,Neopolitan,St Andrew Square,Opposite number 06 on Garden side,Yes,WB,0.00,0.00,CC,CC,
41,Derby Standard,St Andrew Square,Outside South West Gate,Yes,WB,0.00,0.00,CC,CC,
42,Neopolitan,St Andrew Square,Outside Number 12,Yes,NB,0.00,0.00,CC,CC,
43,Neopolitan,St Andrew Square,Opposite George Street,Yes,NB,0.00,0.00,CC,CC,
44,Neopolitan,St Andrew Square,Opposite George Street outside gardens,Yes,NB,0.00,0.00,CC,CC,
45,Neopolitan,St Andrew Square,Outside Scottish Life at Bus Stop,Yes,NB,0.00,0.00,CC,CC,
46,Neopolitan,St Andrew Square,Outside Scottish Life at Bus Stop,Yes,NB,0.00,0.00,CC,CC,
47,Neopolitan,St Andrew Square,Opposite Scottish Life,Yes,EB,0.00,0.00,CC,CC,
48,Neopolitan,North St David Street,Outside Royal London At Bus Stop,No,NB,0.00,0.00,CC,CC,
49,Neopolitan,North St David Street,Opposite Royal London,No,NB,0.00,0.00,CC,CC,
50,Neopolitan,North St David Street,Opposite Royal London,No,NB,0.00,0.00,CC,CC,
51,Neopolitan,North St David Street,Opposite Royal London,No,NB,0.00,0.00,CC,CC,
52,Neopolitan,St Andrew Square,Outside IBM.  NW Corner,Yes,EB,0.00,0.00,CC,CC,
53,Neopolitan,St Andrew Square,Outside 23 First State Investments,Yes,EB,0.00,0.00,CC,CC,
54,Neopolitan,St Andrew Square,Opposite 24 Outside gardens,Yes,EB,0.00,0.00,CC,CC,
55,Neopolitan,St Andrew Square,Outside number 25 on North side,Yes,EB,0.00,0.00,CC,CC,
57,Neopolitan,South St Andrew Street,Opposite Mcdonalds,Yes,NB,0.00,0.00,CC,CC,
58,Derby Bespoke,Princes Street 37,Outside number 24,Yes,EB,0.00,0.00,CC,CC,
59,Derby Bespoke,Princes Street 38,"Outside number 22, Hotel",Yes,EB,0.00,0.00,CC,CC,
62,Wheelie Bin,Princes Street 44,Outside Register House,Yes,EB,0.00,0.00,CC,CC,27/07/2012
65,Derby Double Slimline,Princes Street 47,Outside Balmoral Hotel,Yes,WB,0.00,0.00,CC,CC,04/01/2012
66,Derby Double Slimline,Princes Street 48,Outside Balmoral Hotel,Yes,WB,0.00,0.00,CC,CC,
67,Derby Double Slimline,Princes Street 49,Top of Waverly Steps,Yes,WB,0.00,0.00,CC,CC,04/01/2012
68,Derby Double Slimline,Princes Street 50,"Opposite number 18, North British Hotel",Yes,WB,0.00,0.00,CC,CC,04/01/2012
69,Derby Double Slimline,Princes Street 51,Opposite number 25 at Waverly Court,Yes,WB,0.00,0.00,CC,CC,04/01/2012
70,Derby Double Slimline,Princes Street 52,Opposite South St Andrew Street,Yes,WB,0.00,0.00,CC,CC,04/01/2012
71,Derby Double Slimline,Princes Street 53,Corner of Waverley Bridge,Yes,WB,0.00,0.00,CC,CC,04/01/2012
72,Wheelie Bin,Princes Street 54,At North of Waverley Bridge,Yes,WB,0.00,0.00,CC,CC,27/07/2012
74,Derby Bespoke,Princes Street 34,Outside number 46,Yes,EB,0.00,0.00,CC,CC,
75,Derby Bespoke,Princes Street 35,"Outside number 30, Burtons",Yes,EB,0.00,0.00,CC,CC,
76,Derby Bespoke,Princes Street 36,"Outside number 30, Burtons",Yes,EB,0.00,0.00,CC,CC,
77,Derby Bespoke,Princes Street 57,At Scott Monument,Yes,WB,0.00,0.00,CC,CC,04/01/2012
78,Derby Bespoke,Princes Street 58,"Opposite 51, Jenners",Yes,WB,0.00,0.00,CC,CC,04/01/2012
80,Derby Bespoke,Princes Street 33,"Outside number 54, M&S",Yes,EB,0.00,0.00,CC,CC,
81,Derby Bespoke,Princes Street 32,Outside number 62 M&S,Yes,EB,0.00,0.00,CC,CC,
83,Derby Bespoke,Princes Street 61,Opposite 64 BHS,Yes,WB,0.00,0.00,CC,CC,04/01/2012
84,Derby Bespoke,Princes Street 31,"Outside number 64, BHS",Yes,WB,0.00,0.00,CC,CC,
85,Derby Bespoke,Princes Street 62,Opposite 64 BHS,Yes,WB,0.00,0.00,CC,CC,04/01/2012
86,Derby Bespoke,Princes Street 30,"Outside number 71, Clinton Cards",Yes,EB,0.00,0.00,CC,CC,
88,Derby Bespoke,Princes Street 29,Outside number 79,Yes,EB,0.00,0.00,CC,CC,
89,Derby Bespoke,Princes Street 28,Outside number 83,Yes,EB,0.00,0.00,CC,CC,
90,Derby Bespoke,Princes Street 27,Outside number 89,Yes,EB,0.00,0.00,CC,CC,
91,Derby Bespoke,Princes Street 26,Outside number 95,Yes,EB,0.00,0.00,CC,CC,
93,Derby Bespoke,Princes Street 23,Outside number 93 Dorothy Perkins,Yes,EB,0.00,0.00,CC,CC,
94,Derby Bespoke,Princes Street 24,Outside number 91 Wallis,Yes,EB,0.00,0.00,CC,CC,
95,Derby Bespoke,Princes Street 65,"Opposite 91, M&S",Yes,WB,0.00,0.00,CC,CC,04/01/2012
96,Derby Bespoke,Princes Street 25,Outside number 98,Yes,EB,0.00,0.00,CC,CC,
97,Derby Bespoke,Princes Street 66,Opposite 97,Yes,WB,0.00,0.00,CC,CC,
98,Derby Bespoke,Princes Street 21,"Outside number 101, Boots",Yes,EB,0.00,0.00,CC,CC,
99,Derby Bespoke,Princes Street 20,"Outside number 104, Boots",Yes,EB,0.00,0.00,CC,CC,
100,Derby Bespoke,Princes Street 67,"Opposite 103, Boots",Yes,WB,0.00,0.00,CC,CC,04/01/2012
101,Derby Bespoke,Princes Street 19,Outside number 107,Yes,EB,0.00,0.00,CC,CC,
106,Derby Bespoke,Princes Street 68,Opposite 106 at entrance to Gardens,Yes,WB,0.00,0.00,CC,CC,04/01/2012
107,Derby Bespoke,Princes Street 69,Opposite 108 at entrance to gardens,Yes,WB,0.00,0.00,CC,CC,04/01/2012
108,Derby Bespoke,Princes Street 71,Opposite 117,Yes,WB,0.00,0.00,CC,CC,04/01/2012
109,Derby Bespoke,Princes Street 70,"Opposite 115, Debenhams",Yes,WB,0.00,0.00,CC,CC,04/01/2012
110,Derby Bespoke,Princes Street 72,Opposite Castle Street,Yes,WB,0.00,0.00,CC,CC,04/01/2012
111,Derby Bespoke,Princes Street 73,Opposite 118,Yes,WB,0.00,0.00,CC,CC,04/01/2012
