Monument,Image,Location,Information,"Further information",Contact,"Location map"
"Sundial, Lauriston Castle",,"Lauriston Castle","The top of the sundial is inscribed with the date 1684. The pillar is late 19th century. (source: www.rcahms.gov.uk)","<a href=""http://www.edinburghmuseums.org.uk/getdoc/26fef56a-84bc-4949-ac59-72885b0f0a4f/Visitor-Information"">Lauriston Castle Visitor Information</a>",museumsandgalleries@edinburgh.gov.uk,"55.970611,-3.2791860"
"Adam Black Statue",,"East Princes Street Gardens","This bronze statue on a sandstone plinth depicts Adam Black (1784-1874) in his robes as Lord Provost of Edinburgh. He was a liberal politician and reformer, at a time when parliamentary reform and suffrage was at the top of the political agenda.  Blacks, his publishing house, acquired the copyright for the Encyclopaedia Britannica, and in 1851 bought the copyright for Sir Walter Scott's Waverley novels.  The statue was designed by John Hutchison RSA (1833-1910).",,museumsandgalleries@edinburgh.gov.uk,"55.952473,-3.1927624"
"Alison Hay Dunlop Memorial East Gate piers",,"Inverleith Park","The East Gate piers to Inverleith Park were erected in 1890 in memory of Alison Hay Dunlop, an Edinburgh antiquarian.",,museumsandgalleries@edinburgh.gov.uk,"55.964332,-3.2132804"
"Allan Ramsay Statue",,"West Princes Street Gardens","Allan Ramsay (1685 -1758) opened  Britain's first circulating library on the Royal Mile, wrote ‘The Gentle Shepherd' and was involved in the revival of Scots vernacular poetry. The ten-foot high Carrara marble statue by Sir John Steell shows him wearing a night-cap rather than a wig, an allusion to the fact he had been a wig-maker as a young man. The ornate Binny sandstone plinth is by David Bryce R.S.A.",,museumsandgalleries@edinburgh.gov.uk,"55.951701,-3.1973349"
"Braidburn Valley Gate piers",,"Braidburn Valley Park",,,museumsandgalleries@edinburgh.gov.uk,"55.919109,-3.2131632"
"Brighton Park Sundial",,"Brighton Park","This 18th Century sundial is of square stone design with four vertical dials on a short pillar, stepped up stone base, with stone thistle ornamentation on top. (source:www.rcahms.gov.uk)",,museumsandgalleries@edinburgh.gov.uk,"55.951103,-3.1166037"
"Cairn and Stone Circle",,Newbridge,"This bronze age burial cairn is encircled by three standing stones. It is unknown if the stones formed part of a stone circle.",,museumsandgalleries@edinburgh.gov.uk,"55.938511,-3.4048601"
"Calton Hill Cannon",,"Calton Hill","This is a well travelled cannon. The Royal Arms of Spain is in cast relief on top of the barrel. The cannon was transported to the Portugese colonies in southeast Asia sometime before 1785. There is an inscription along side of coat of arms, written later, and is thought to be Burmese, as the cannon was once kept by a Burmese King. It was captured by the British during the invasion of Burma in 1885 and presented to Edinburgh in 1886. ",,museumsandgalleries@edinburgh.gov.uk,"55.954579,-3.1831055"
"Courtyard Well",,"Lauriston Castle",,"<a href=""http://www.edinburghmuseums.org.uk/getdoc/26fef56a-84bc-4949-ac59-72885b0f0a4f/Visitor-Information"">Lauriston Castle Visitor Information</a>",museumsandgalleries@edinburgh.gov.uk,"55.96913,-3.2764134"
"David Livingstone Statue",,"East Princes Street Gardens","David Livingstone was born in 1813 in Blantyre, Lanarkshire. In 1840, he was ordained as a missionary and sent to South Africa, where he discovered the Victoria Falls. He died in 1873 while searching for the source of the Nile, and is buried in Westminster Abbey. The statue shows him holding a Bible, wearing a cloak and haversack, with a pistol and compass at his waist. The cast off lion skin represents him having survived a mauling.  Sculpted by Amelia Paton Hill, (1820 - 1904) one of the few women sculptors in 19th century Edinburgh.","<a href=""http://www.edinburghmuseums.org.uk/Venues/Monuments/David-Livingstone.aspx"">David Livingstone statue</a>",museumsandgalleries@edinburgh.gov.uk,"55.952179,-3.1944349"
"Devlin Fountain",,"Starbank Park","The Devlin Fountain was presented to Provost Malcolm Smith in 1910, on behalf of Leith Town Council. The fountain was the gift of Thomas Devlin, who was a merchant from Newhaven. He died in 1919 having built up his wealth by establishing a fleet of trawlers that sailed out of Granton. The fountain is currently in storage waiting for restoration.",,museumsandgalleries@edinburgh.gov.uk,"55.979822,-3.2013610"
"Dewar Fountain",,"Abercorn Park","Fountain erected by loyal supporters of a doctor who was the subject of a controversial medical case involving the death in childbirth of Jane Anderson. It bears the inscription: ""This fountain has been erected in remembrance of Dr Hugh Dewar, Portobello, by his grateful patients and numerous friends, who deplore the loss in the prime of manhood of a kind friend and skilful and beloved physician. His quiet charity was known to the needy. 1866-1914""",,museumsandgalleries@edinburgh.gov.uk,"55.950927,-3.1062053"
"Dugald Stewart",,"Calton Hill","The monument commemorates Dugald Stewart (1753-1828), a writer and philosopher who was born and educated in Edinburgh. The Royal Society of Edinburgh commissioned the monument and selected its site in 1830.  It was built in 1831 and designed by William Henry Playfair, who also designed the nearby National Monument.",,museumsandgalleries@edinburgh.gov.uk,"55.954512,-3.1844648"
"Dunlop Drinking Fountain",,"Inverleith Park","At the intersection of the paths, a fountain set in a rough granite obelisk was erected in memory of John Charles Dunlop, councillor for St Bernard's Ward. He had been one of the key enthusiasts for the park. He and his sister, Alison, together wrote 'The Book of Old Edinburgh', along with other books about the City. The fountain is dated 1899.",,museumsandgalleries@edinburgh.gov.uk,"55.963418,-3.2175771"
"Edward VII Statue",,"Victoria Park","This bronze statue of Kind Edward VII was unveiled 4 July 1914 by Lord Glenconner. There is a panel inscribed with 'Peace' as Edward VII was known as Edward the Peacemaker. The statue was completed by the sculptor John S.Rhind.(source:www.rcahms.gov.uk)",,museumsandgalleries@edinburgh.gov.uk,"55.975259,-3.1910440"
