Name,Address,Postcode,Location,"Registered Social Landlord",Telephone,"More Information","Project details","Number of homes","Project timescales"
Gracemount,"Gracemount Drive","EH16 6QZ","55.90681265019237,-3.1554365158081054","City of Edinburgh Council","0131 529 3150","The development is part of the City of Edinburgh Council 21st Century Homes programme.
https://www.edinburgh.gov.uk/info/209/regeneration_and_town_centre_management/969/21st_century_homes_for_edinburgh/2  ","Phase 1: Building 67 homes for social rent, 20 homes for midmarket rent and 12 homes for sale under a shared equity scheme. 
Phase 2: Building 70 flats and 46 houses for sale, including sale under a shared equity scheme. ","215 homes in total.","Work started on site in November 2010 and is Phase completed in July 2012. 
Phase 2- Evolution is currently on site with homes being built over the next two years. "
"Birchwood Terrace","Birchwood Terrace, ","EH12 8PQ","55.951554641918776,-3.2822513580322266","Dunedin Canmore Housing Association","0131 478 8888","Information on midmarket homes can be found at
http://www.malcolm-homes.org.uk/default.asp?ID=248

","23 homes for social rent and 39 for midmarket rent. 
","58 flats and 4 terrace houses.","Work began on site in June 2011 and completed in May 2012."
"Boswall Parkway","Boswall Parkway","EH5 2LU","55.975996,-3.234943","Port of Leith Housing Association","0131 554 0403",http://www.polha.co.uk/new_homes/completed_developments/boswall_parkway,"15 homes for social rent","2 x 1 bedroom (2 person),10 x 2 Bedroom and 3 x 3 bedrooms","Work began on site in October 2010 and  completed in December 2011."
"Brunstane Apartments, Tait Wynd","Tait Wynd, Brunstane","EH15 2RJ","55.943737735063,-3.095026016344491","Malcolm Homes/Dunedin Canmore Group","0131 624 5818",http://www.dunedincanmore.org.uk/group/default.asp?ID=270,"A mix of one and two bedroom apartments all finished to an extremely high standard. 
Springfield properties won apartment of the year at the Scottish Homes award 2012 for Brunstane Court - a project that the Council supported with a rental guarantee.","18 homes for mid market rent","Homes started on site in March 2010 and completed in Spring 2012"
"Bughtlin Market","Stuart Square, East Craigs","EH12 8UU","55.95023307771243,-3.3024001121520996","Castlerock Edinvar","0131 657 0600",http://www.castlerockedinvar.co.uk/find_a_home.aspx,"18 homes for social rent ","Part of a larger development within East Craigs ","Work began on site in October 2010 and  completed in September 2011."
"Burdiehouse Terrace","Plot at Burdiehouse Road/Burdiehouse Terrace","EH17 8AQ","55.898300978386004,-3.1610738037488773","Home Scotland","0131 336 5876",http://www.homegroup.org.uk/contactus/officelocationsandtelephonenumbers/Pages/scotland.aspx,"15 homes for social rent and 13 for mid markets rent, including 3 flats for wheelchair users.","28 homes for social rent and for mid markets rent","Work began on site in May 2012 and is due for completion in October 2013."
Cityscape,"Lochend Park/Albion Road","EH7 6BY","55.961561023083824,-3.1633973121643066","Castle Rock Edinvar","0131 657 0600","The homes are now available to see online

http://www.cityscapeedinburgh.co.uk/","These homes will be delivered through Phase 1 of the National Housing Trust which the City of Edinburgh Council, works in partnership with developers, the Scottish Futures Trust (SFT) and the Scottish Government to deliver affordable housing.
The development will comprise 126 flats with a mix of one, two and three bedrooms homes.","126 flats for mid market rent","Work started on site in October 2011 and completed in May 2013"
"Clerwood Terrace","Clerwood Terrace","EH12 8PQ","55.951242276268275,-3.2816505432128906","Dunedin Canmore Housing Asssociation","0131 478 8888",http://www.dunedincanmore.org.uk/group/default.asp?ID=270,"44 homes social rent, mid market rent and shared ownership","44, two bedroom flats","Work began on site in February 2010 and completed in December 2010"
"Dinmont Drive","70 Dinmont Drive","EH16 5RP","55.922311504258,-3.155144691336318","Hillcrest Housing Association","0844 892 1099","Information on midmarket rent.

http://www.hillcrest.org.uk/Northern+Housing/Mid+Market+Rent/","There will be 16 flats built on site provide a mix of one and two bedroom homes.","16 homes for midmarket rent","The homes is currently on site and completed in October 2012"
"Moreland View, (former SASA site)","Craigs Road","EH12 8NH","55.94648439562624,-3.308429718017578","Castle Rock Edinvar","0131 657 0600","http://www.castlerockedinvar.co.uk/find_a_home.aspx

","The project will deliver a mixed tenure development of  42 affordable homes.

http://keytochoice.scotsman.com/NewDev_Moreland_View.cfm","24 homes for social rent and 18 homes for mid market ","Work started on site in July 2011 and  completed in March 2013"
