Name,Address,Postcode,Telephone,Email,Opening hours,More information,Organisation,Activities,Location,Navigation ID
A1 Paintball Limited,"Victoria Cottage, Eastfield, Fauldhouse, West Lothian",EH47 0LQ,08000 191 404,info@a1paintball.org,,,,Paintball games provision,"55.90061778959825,-3.386814594268799",
Abernethy Ardeonaig Adventure Centre,By Killin,FK21 8SY,01567 820 523,,,,Abernethy Trust,"Kayaking
Open Canoeing
Improvised Rafting
Sailing
Rock Climbing
Abseiling
Gorge Scrambling
Hill Walking & Mountaineering
Ski Touring
Off-Road Cycling","56.501852,-4.227762",
Abernethy Barcaple,Ringford,DG7 2AP,01557 820 261,barcaple@abernethy.org.uk,,,Abernethy Trust,"Abseiling
Hill / Mountain Walking
Kayaking
Open Canoeing
Orienteering
Raft Building
Rock Climbing
Ropes Course
Tree Climbing
Zip Wire
Challenge Courses
Mountain Biking
Pool Jumping","54.892465,-4.063795",
Abernethy Nethybridge,Inverness-shire,PH25 3ED,01479 821 279,nethybridge@abernethy.org.uk,,,Abernethy Trust,"Abseiling  
Archery  
Aerial Runway  
Assault Course  
Challenge Activities  
Climbing Wall  
Coasteering  
Crate Climbing  
Dry Slope Skiing  
Giant King Swing  
Gorge Walking  
Jacob's Ladder  
Kayaking  
Mountain Biking  
Opening Canoeing  
Orienteering  
Overnight Expeditions  
Raft Building  
Rock Climbing  
Ropes Adventure Course  
Sailing  
Sea Kayaking  
Skiing  
Snowboarding  
Team Challenges  
Windsurfing  
Zip Wire","57.265785,-3.656132",
Active Outdoor Pursuits,"Craigower Lodge Outdoor Centre, Golf Course Road",PH20 1AT,01540 210 000,,,,,"Mountain Biking
Hillwalking
Rafting
Canoeing
Kayaking
Duckies
Rock Climbing
Abseiling
Team Building
Orienteering
Skiing
Snowboarding
White Water Rafting 
Improvised Rafting 
Mountaineering 
Gorge Scrambling
Canyoning 
Off Road Cycling","57.185262,-3.830151",
Adventurascotland,"Rossendale, Shore Street, Inver Tain",IV20 1SF,7720711453,info@adventurascotland.co.uk,,,,"Hillwalking & Mountaineering
Orienteering
Off-Road Cycling
All activities within the IML remit including Duke of Edinburgh Expedition Groups","Rossendale, Shore Street, Inver Tain, IV20 1SF",
