Image,Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Background,"History and heritage",Wildlife,Geology,"Visitor information","Public Toilets","Book sports facilities","Organise an event","Getting involved","Other useful links","Green Flag","Management Plan","Why don't you?","Location map"
,"Abercorn Park","Abercorn Terrace","EH15 2EF","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Flower displays
Seating","This unpretentious little park has been one of Portobello's pleasures for many years. Lined by elm, whitebeam, holly and hawthorn, it is a quiet place for a stroll, or a chat.  ","Abercorn Park was acquired from the General Assembly of the Church of Scotland in 1897 and it was here, in the old days, as part of Portobello Links, that son of the manse Thomas Ord performed his celebrated equestrian acts in Circus Virtuosa. During the last war, local residents took cover in the park because this was where the air raid shelters were located. The park contains a fountain in memory of local doctor Hugh Dewar, who cared for the sick in the area from 1866 to 1914.",,,"On Lothian Bus number 26.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,"Make a daisy chain","55.950977964903295,-3.1062984466552734"
,"Allison Park","Carmel Road, Kirkliston","EH29 9DD","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area
Football pitch","Allison Park has a play area, with equipment for different age groups, and a football area. The pavilion is now used to house a children’s nursery and is well sited for them to use all the facilities in the park. The park was named in honour of William Allison, a local farmer at Newmains and Almondhill. The park also neighbours Pikes Pool,which was used from the 19th century until recently for the distllery industry. The workings of the old mill lade still remain.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.95328462142979,-3.412456512451172"
,"Atholl Crescent","Atholl Crescent","EH3 8HA","0131 529 7061",sfc.centralneighbourhood@edinburgh.gov.uk,,"Flower displays
Monuments
Seating","This Georgian crescent, with its twin, Coates Crescent, were part of Edinburgh's New Town western development and substantially completed by 1825. Both crescents face each other across the main approach road into west Princes Street and their fronting gardens provide a welcome splash of green in what is one of the busiest parts of town.","Atholl Crescent Gardens passed into the care of the City of Edinburgh Council in 1948, but the minute of agreement between the Council, the Atholl Crescent proprietors and the George Heriot Trust were never executed and therefore they were reaffirmed in 1957.
",,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.948106,-3.211252"
,"Balgreen Park","Balgreen Park","EH12 5UF","0131 529 7440",sfc.westneighbourhood@edinburgh.gov.uk,,"Play area","A small secluded pocket park hidden behind the houses of Balgreen estate. A grassed area with a play unit for toddlers.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.941868,-3.258011"
,"Baronscourt Park","Baronscourt Terrace","EH8 7EN","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Grassed areas
Trees and shrubs","A grassed area tucked behind a housing estate mainly used for exercising dogs.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.95304435112032,-3.1421756744384765"
,"Bellevue Crescent Gardens","Bellevue Crescent","EH3 6NE","0131 529 7061",citycentreteam@edinburgh.gov.uk,,Seating,"These gardens are situated between Bellevue Crescent and Bellevue. The gardens are split into two halves and are lined with mature deciduous trees. With no front gardens available with the housing, these half moon gardens provide an oasis of greenery for the local residents to enjoy.",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.960558,-3.194004"
,"Bingham Park","35 Bingham Avenue","EH15 3HZ","0131 529 3111",sfc.eastneighbourhood@edinburgh.gov.uk,,"Football pitches
Community woodland
Play area","Bingham Park was designed purely as a recreation area for local use. It has playing fields and a play area, where young people can release energy and enjoy the open space in the shadow of Arthur's Seat. ","Over the years Bingham Park has had a number of owners, including the Abercorn Estates, the Wauchope family, and the National Coal Board before passing to the City of Edinburgh Council.",,,"Serviced by Lothian Buses number 4, 44 or 5.",,sportspitch@edinburghleisure.co.uk,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.940644379409086,-3.12286376953125"
,"Blackford Hill and Pond","4 Charterhall Road","EH9 3HE","0131 447 7145",naturalheritageservice@edinburgh.gov.uk,,"Natural Heritage Ranger Service
Pond
Woodland walks
Wildlife","Blackford Hill is one of the largest - and one of the finest - open spaces controlled by the Council. The views across the city in all directions can hold visitors and locals spellbound as the Blackford panoramas extend over the Forth to the distant Lomond Hills.","Blackford Hill came into the hands of the old Edinburgh Corporation in 1884, purchased for the sum of £8000 from Lt. Colonel Henry Trotter of Mortonhall. A few years later, the Observatory on Calton Hill required to be moved from the city-centre glare and three and a half acres were sold for the building of a new National Observatory on Blackford Hill, where it has been sited ever since. Several other smaller parcels of ground were bought later, including in 1906 the area known as Egyptfield, which contained Blackford Pond.","Blackford Hill is wild and wind-blown, a large slice of countryside within the city. It is an important part of Edinburgh's natural heritage, and along with neighbouring Hermitage of Braid is classified a Local Nature Reserve.
Blackford Pond and the surrounding wetland are important for water birds such as swan, little grebe, heron, pochard, mallard and tufted duck. Moorhen and coot nest at the edge of the pond amongst the reeds.
Scrub, grassland and cliff faces around Blackford Hill provide food and shelter all year round. Look for linnets, skylark and meadow pipit in the gorse bushes on the hill. ","Blackford Hill was created from the oldest rocks in the city, when lava flowed across a red sandstone desert 400 million years ago. The hill is classically 'crag-and-tail' shaped, formed from a vast ice-sheet moving eastwards, scratching, scarifying, exposing the rocks into escarpments, gouging hollows and valleys.","On Lothian Bus route 38.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.fohb.org/new/index.htm"">Friends of Hermitage of Braid and Blackford Hill</a>",,,,"Take a stroll around the pond on a summer evening and watch for bats. ","55.92323927463188,-3.1923866271972656"
,"Blinkbonny Park","Blinkbonny Road","EH13 0PQ","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Woodland walks
Wildlife","A park which has been created on the former Blinkbonny Bing. It is a large grassed area with an established woodland boundary and a picnic area. ",,,,,,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>","<a href=""http://www.edinburgh.gov.uk/fop"">Friends of Parks</a>",,,,,"55.89726132569528,-3.294954299926758"
,"Bloomiehall Park","13 Juniper Park Road","EH14 5DX","0131 527 3800",sfc.southwestneighbourhood@edinburgh.gov.uk,,"Play area
Stunning views
Seating
Football","This pleasant little park, to the rear of Juniper Green Village and overlooking baberton Golf Course, enjoys exceptional panoramas across the Forth estuary from its high position. It also has a popular football pitch and an excellant creative play area.","Bloomiehall Park came into the hands of the city in 1911.",,,"Serviced by Lothian bus routes 44 or 45.",,,"<a href=""http://eventsedinburgh.org.uk/Parks-Greenspace.html"">Find out how to organise an event in Edinburgh's parks</a>",,,,,,"55.905297105818875,-3.2901477813720703"
