Area,Approved,Type,Description,Download,"Download 2","Download 3","Download 4","Related external website",Phone,E-mail,Website
"Advocates close",10/02/2005,"Development brief","The development brief sets out the main planning and design principles on which development in the area will be based. It also identifies the listed buildings in the area and the principal considerations relevant to these.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1869/advocates_close"">Advocates Close Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Astley Ainslie",07/02/2002,"Development brief","Following consultation the Council Planning Committee approved the Astley Ainslie Development Brief on 7 February 2002","<a href=""http://www.edinburgh.gov.uk/downloads/file/1870/astley_ainslie"">Astley Ainslie Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
Bonnington,26/05/2005,"Development brief","The Bonnington Development Brief was approved in finalised form by Planning Committee on 7 August 2008. The brief will be used when considering planning applications in its area.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1871/bonnington"">Bonnington Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
Caltongate,05/10/2006,Masterplan,"The final Caltongate Masterplan sets out the CouncilÂs vision for the area and establishes the planning and design objectives, including the preferred land uses and development principles.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1889/caltongate_masterplan"">Caltongate Masterplan</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"City Centre","City Centre Framework 14/10/2007 Heritage Framework: 05/2008","Development framework","The purpose of the City Centre Princes Street framework document is to set out development principles to guide and co-ordinate development and investment in Edinburgh city centre.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1890/city_centre_princes_street_development_framework"">City Centre Framework</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/1898/princes_street_heritage_framework"">Heritage Framework</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/3022/princes_street_cultural_significance_assessment"">Cultural Significance Assessment</a>",,,"0131 529 3550",planning@edinburgh.gov.uk,
"City Park/West Winnelstrae",03/06/2004,"Development brief","Statement of Urban Design Principles for land at City Park / West Winnelstrae, Pilton Drive. The purpose of the Statement is to guide the preparation of development proposals for land at City Park and West Winnelstrae, and to ensure that the two elements are integrated and deliver the quality of urban design and architecture that will create a sense of place that is legible and welcoming.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1891/city_park_west_winnelstrae_statement_of_urban_design_principles"">City Park/West Winnestrae Statement of Urban Design Principles</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
Craigmillar,25/09/2005,"Urban design framework","The Craigmillar Urban Design Framework, (CUDF), jointly funded by the Council and the Craigmillar Joint Venture Company (ÂParcÂ), sets out a vision and planning principles for development of the Craigmillar area. It covers both the area for regeneration and new development. The Framework will be flexible to allow for changes and choices in the future.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1892/craigmillar_urban_design_framework"">Craigmillar Urban Design Framework</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Craigroyston Community High School",15/05/2008,"Development brief","Following consultation, the Council Planning Committee approved the following finalised Craigroyston Community High School Development Briefs on 3 June 2004, with additional decisions in the Minute Extract.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1872/craigroyston"">Craigroyston Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Cramond Place",07/08/2008,"Development brief","The Cramond Place Development Brief was approved by the Planning Committee on 15th May 2008 following a period of public consultation.","<a href=""http://www.edinburgh.gov.uk/downloads/file/2084/cramond_place"">Cramond Place Development Brief</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
"Edinburgh Waterfront Promenade",May-08,"Design code","The Edinburgh Waterfront Promenade will form a continuous walkway/cycleway extending for almost 17km from Joppa in the east to Cramond in the west.","<a href=""http://www.edinburgh.gov.uk/downloads/file/1893/edinburgh_waterfront_promenade_design_code"">Waterfront Promenade Design Code</a>",,,,,"0131 529 3550",planning@edinburgh.gov.uk,
