Site,"Play facilities",Address,Postcode,Telephone,"Location map"
"Admirality Street","This play area for toddlers and juniors was refurbished in January 2013",Leith,"EH6 6JT","0131 529 5050","55.97615152741767,-3.1789112091064453"
"Allison Park ","Play area for toddlers, juniors and teens.
","Liston Road, Kirkliston","EH29 9DQ","0131 529 7440","55.95463010760622,-3.410053253173828"
"Ardshiel Avenue (Torrence Park)","Play area for toddlers and juniors.",Clermiston,"EH4 7LF","0131 529 7440","55.953523,-3.29278"
"Bailie Place (Rear Nos. 1-5)","Play area for toddlers and juniors.","off Milton Road","EH15 3BR","0131 529 3111","55.943291,-3.111828"
"Balgreen Park","Play area for toddlers and juniors.","off Balgreen Road","EH12 5TZ","0131 529 7440","55.94174996445649,-3.2571029663085938"
"Barony Playarea ","Play area for toddlers and juniors.","Broughton Street","EH3 6PA","0131 529 7061","55.95852214360165,-3.190927505493164"
"Bingham Park","Play area for toddlers and juniors.","Bingham Recreation Ground","EH15 3LW","0131 529 3111","55.94035596072833,-3.1229496002197265"
"Blackford Pond","Very small area with small swing and small climbing frame.","Cluny Gardens","EH10 6BR","0131 529 5151","55.925643760023185,-3.1939315795898438"
"Bloomiehall Park","Play area for toddlers and juniors.","Barberton Avenue, Juniper Green","EH14 5DX","0131 527 3800","55.905056537773525,-3.291006088256836"
"Boswall/Royston Mains Gardens","Toddler play area ",Granton,"EH5 1NJ","0131 529 5050","55.976224,-3.231857"
"Broomhouse Centre","Play area for toddlers and juniors.",Broomhouse,"EH11 3RD","0131 527 3800","55.928528945583984,-3.278646469116211"
"Broomhouse Grove","Play area for toddlers and juniors and a  fenced court for ball games including football and basketball.","off Broomhouse Avenue","EH11 3TZ","0131 527 3800","55.928133,-3.278682"
"Broughton Road","Play area for toddlers and juniors.","Broughton Road","EH7 4EW","0131 529 5050","55.96419132294944,-3.194103240966797"
"Brown Street, Pleasance","A fenced court for ball games including football and basketball.","Pleasance, rear of Carneigie Court","EH8 9RY","0131 529 5151","55.94540297758118,-3.180112838745117"
"Buckstone Circle","Play area for toddlers and juniors.","Buckstone, Fairmilehead","EH10 7JE","0131 527 3800","55.90443105387234,-3.1959915161132812"
"Burdiehouse Burn Valley Park ","Skateboard and bmx area
Teen play area","Lasswade Bank/Road","EH17 8UP","0131 529 5151","55.901351601441725,-3.1500720977783203"
"Calder Park play area","Play area for toddlers, juniors and teens. Large climbing net and graffiti wall.","off Calder Place","EH11 4JQ","0131 527 3800","55.91913928302905,-3.2955121994018555"
"Campbell Park","Play area for toddlers.","Woodhall Road, Spylaw","EH13 0NZ","0131 527 3800","55.9049603101376,-3.273496627807617"
"Carlowrie Crescent","Play area for toddlers and juniors.","Dalmeny Village, Dalmeny, Kirkliston","EH30 9TZ","0131 529 7440","55.980377542804774,-3.372201919555664"
"Clermiston Park","Play area for toddlers and juniors. A fenced court for ball games including football and basketball.","Clermiston Gardens","EH4 7PS","0131 529 7440","55.956984595894816,-3.2873153686523438"
"Clovenstone Gardens","Play area for toddlers.","Clovenstone Drive","EH14 3HY","0131 527 3800","55.912669,-3.272047"
"Clovenstone Park (Block 40)","Play area for toddlers and juniors.","Wester Hailes","EH14 3BN","0131 527 3800","55.91164756254599,-3.2701492309570312"
"Colinton Mains Park","The play area, created in 2010, features swings, roundabout, multi play roller coaster, slides and nets. There is also an area specifically for teenagers with a seating area and a football goal flanked on either side which can also be used for basketball. This play area was funded by the City of Edinburgh Council and Waste Recycling Environmental Limited (WREN). ","Oxgangs Road North","EH13 9ED","0131 527 3800","55.91116650374606,-3.2269763946533203"
"Craigentinny Ball Court","A fenced court for ball games including football and basketball.","Loganlea Avenue","EH7 6LR","0131 529 3111","55.95924284806535,-3.1450939178466797"
"Craigevar Square","Play area for toddlers and juniors.","East Craigs","EH12 8YP","0131 529 7440","55.94766190537506,-3.305339813232422"
"Craigmillar Castle Park","Large climbing net structures with slides.","Old Dalkeith Road","EH16 4TE","0131 529 3111","55.92718255238699,-3.145437240600586"
"Craigpark Crescent play area","Play area for toddlers and juniors.",Ratho,"EH28 8RW","0131 527 3800","55.921219391618074,-3.386836051940918"
"Cramond Walled Garden","Play area for toddlers, juniors and teens.","Cramond Kirk, Glebe Road","EH4 6QU","0131 529 7440","55.97706400164274,-3.2979583740234375"
"Dalmeny Street park","Play area for toddlers and juniors.
A fenced court for ball games including football and basketball.
Seating area for teenagers","Dalmeny Street","EH6 8RR","0131 529 5050","55.964045,-3.172564"
"Davidson's Mains Park","Play area for toddlers and juniors. ","Barnton Avenue","EH4 6AH","0131 529 7440","55.96395112033352,-3.278818130493164"
"Dean Park Play area ","Play area for toddlers and juniors.",Balerno,"EH14 7HH","0131 527 3800","55.879451570984706,-3.3443069458007812"
"Dolphins Gardens West","Play area for toddlers and juniors.",Currie,"EH14 5RJ","0131 527 3800","55.89475882673091,-3.3202743530273438"
"Drum Park","Play area for toddlers and juniors.",Gilmerton,"EH17 7EQ","0131 529 5151","55.9065961474792,-3.1296443939208984"
"Dumbeg Park, off Harvesters Way","A fenced court for ball games including football and basketball.","Greenview Wester Hailes","EH14 ","0131 527 3800","55.912994495435605,-3.2808351516723633"
Dumbiedykes,"Play area for toddlers and juniors.","Holyrood Park","EH8 9UX","0131 529 5151","55.947694,-3.177803"
"Dumbryden Gardens (No. 1-17)","Ballcourt
Play area for toddlers and juniors.","Wester Hailes","EH14 2NH","0131 527 3800","55.920882734215255,-3.2755565643310547"
"Dumbryden Gardens (No. 46)","Play area for toddlers and juniors.","Wester Hailes","EH14 2NN","0131 527 3800","55.92153199944542,-3.273625373840332"
"Dumbryden Gardens (Nos. 19-36)",Ballcourt,"Wester Hailes","EH14 2NW","0131 527 3800","55.92153199944542,-3.2725095748901367"
"Dumbryden Gardens (Nos. 66 front)","Play area for toddlers and juniors.","Dumbryden Gardens","EH14 2NU","0131 527 3800","55.92042583734879,-3.2731103897094727"
"Dumbryden Grove","Play area for toddlers and juniors.","Wester Hailes","EH14 2QP","0131 527 3800","55.918477953445276,-3.2736682891845703"
"Dundas Avenue","Play area for toddlers and juniors.","South Queensferry","EH30 9JN","0131 529 7440","55.98498721481388,-3.3879518508911133"
"East Pilton Park","As part of a major upgrade of the park which has recently had a new pavilion and footpaths improved, a new play area was added in 2012 to replace the old one. The new play area provides play for toddlers and juniors with cradle swings and a basket swing, a 4 seat crazy daisy springer, dish roundabout and a dynamic unit called a rodeo board which is mounted on springs but also rotates. For those with an adventuress spirit there is the 3m high Playzone Mountain Climber featuring a giant 2.4m high steel tunnel slide, a 2.1m vertical rope climb, a 1.6m high climbing wall and a 1.8m high fireman's pole. Seating in the form of 3 benches and a picnic table has been recycled from the old play area.","Pilton Drive","EH5 2HT","0131 529 5050","55.973702148062415,-3.2271480560302734"
"Easter Drylaw Park","Play area for toddlers and juniors. Climbing wall and stunt bike track.","Easter Drylaw Recreation Ground","EH4 2RX","0131 529 5050","55.96270204269681,-3.243541717529297"
"Echline Avenue","Play area for toddlers and juniors.","South Queensferry","EH30 9XH","0131 529 7440","55.987387868037516,-3.409881591796875"
"Fairmilehead Park","Play area for toddlers, juniors and teenagers.","Camus Avenue, Comiston Road","EH10 6PY","0131 527 3800","55.907029151696925,-3.2131576538085938"
"Falcon Road/Park","Play area for toddlers and juniors.",Morningside,"EH10 4AH","0131 529 5151","55.92881745232585,-3.2053470611572266"
"Fauldburn Park","Play area for toddlers and juniors.","Southfield, East Craigs","EH12 8YN","0131 529 7440","55.95679239813717,-3.3069705963134766"
"Ferniehill Community Park","Play area for toddlers and juniors.","Ferniehill Road","EH17 7BJ","0131 529 5151","55.91013220711647,-3.130674362182617"
"Figgate Park","Play area for toddlers and juniors. Area for teenagers. Goal end.","Mountcastle Crescent","EH8 7TA","0131 529 3111","55.95179492147351,-3.127756118774414"
"Forth Terrace","Play area for toddlers and juniors.","Dalmeny Station","EH30 9JT","0131 529 7440","55.98553937825344,-3.379518985748291"
"Gateside, Kirkliston","Completed in 2012 the new small toddler play area features a Crazy Caterpillar Play Pod unit providing slides and climbing for young adventurers, two cradle swings, dish roundabout and talk tubes set on grass mats under the equipment.
ballcourt",Kirkliston,"EH29 9DU","0131 529 7440","55.95141047347015,-3.409881591796875"
"Glendevon Park","Play area for toddlers.","off Balgreen Road","EH12 5XD","0131 529 7440","55.939512,-3.253842"
"Glenvarloch Crescent","Play area for toddlers.",Inch,"EH16 6DW","0131 529 5151","55.916993,-3.15967"
"Gorgie/Dalry Community Park","Play area for toddlers and juniors. A fenced court for ball games including football and basketball.","Dalry Road","EH11 2EF","0131 527 3800","55.9407885879441,-3.2219982147216797"
"Gracemount Leisure Centre","Play area for toddlers and juniors.","Captains Road","EH16 6RN","0131 529 5151","55.90286729998795,-3.1551361083984375"
"Granton Crescent","Play area for toddlers and juniors.","Granton Crescent","EH5 1BN","0131 529 5050","55.979609210714784,-3.2244014739990234"
"Granton Mains East","Toddler play area ","Granton Mains East","EH4 4GT","0131 529 5050","55.976127514647395,-3.2420825958251953"
"Greenacre, off Harvesters Way","Play unit designed for toddlers with slide and climbing elements.","36 Wester Hailes Drive",,"0131 527 3800","55.912020379011004,-3.281017541885376"
"Gyle Park ","Skateboard and bmx area
Ballcourt
Play area for toddlers and juniors.
Roller hockey","Glasgow Road","EH12 8LJ","0131 529 7440","55.939538762803174,-3.3019495010375977"
"Hailes Quarry Park","Play area for toddlers and juniors. Mountain bike pump track and climbing wall. Outdoor gym. ","Dumbryden Road","EH14 2AB","0131 527 3800","55.9196322668333,-3.270707130432129"
"Hailesland Gardens","Play area for toddlers and juniors.","Wester Hailes","EH14 2QJ","0131 527 3800","55.918357710490625,-3.2769298553466797"
"Harrison Park East","Play area for toddlers and juniors.","West Bryson Road","EH11 1BN","0131 527 3800","55.93641402351125,-3.223886489868164"
"Harrison Park West","Play area for toddlers and juniors.
Multi-activity unit has a wheelchair transfer module.","Harrison Park West","EH11 1SH","0131 527 3800","55.93420251723827,-3.226289749145508"
"Haugh Park","Play area for toddlers and juniors.","Brae Park Road","EH4 6DP","0131 529 7440","55.96476780314463,-3.3135366439819336"
"Henderson Gardens","Toddler play area 
A fenced court for ball games including football and basketball.",Yardheads,"EH6 6BX","0131 529 5050","55.97298171285345,-3.17354679107666"
"Hermiston Village","Play area for toddlers and juniors.","Hermiston Village Green","EH11 4AP","0131 527 3800","55.91799697938881,-3.3162403106689453"
"Huntershall Park","Play area for toddlers and juniors.
","Niddrie Mains Road","EH16 4ND","0131 529 3111","55.932303405669806,-3.1171560287475586"
"Inch Park","Play area for toddlers and juniors. A fenced court for ball games including football and basketball.","Old Dalkeith Road","EH16 5UF","0131 529 5151","55.92453771527085,-3.1584835052490234"
"Inchcolm Terrace","Play area for toddlers and juniors.","South Queensferry","EH30 9SF","0131 529 7440","55.98653565320709,-3.4012341499328613"
"Inverleith Park ","Play area for toddlers and juniors.
A fenced court for ball games including football and basketball.
Tennis courts.","Arboretum Road","EH3 5NY","0131 529 5050","55.96270204269681,-3.2128143310546875"
"Jewel Park","Brand new play facilities installed in 2010 including a new climbing wall, birds nest climbing frame and ball court for sports activities. ",Bingham,"EH15 3JL","0131 529 3111","55.93761587614548,-3.1215763092041016"
"Joppa Quarry Park","Play area for toddlers and juniors. Goal ends","South Morton Street","EH15 2NB","0131 529 3111","55.94602780057963,-3.099946975708008"
"Keddie Gardens","Play area for toddlers and juniors.","Largo Place, Leith","EH6 4AG","0131 529 5050","55.974518625080094,-3.181142807006836"
"King George V Park (Currie) ","A fenced court for ball games including football and basketball.",Currie,"EH14 5RT","0131 527 3800","55.89384441184516,-3.315296173095703"
"King George V Park (Eyre Place) ","Play areas for toddlers, juniors and teens. There is also a permanent concrete table tennis table and a fenced court for ball games including football and basketball.","Eyre Place","EH3 5EN","0131 529 5050","55.96088240072939,-3.1970858573913574"
