Area,"Type of control",Information,"Consultation dates","Potential implementation date","Implementation date","Start date","Consultation results",Report,"Interim report","Final report",Minute,Letter,Plan,Plan,Plan,Plan,"Information Sheet","Public Exhibition","Contact address","Contact telephone","Contact e-mail"
Arboretum/Kinnear,"Priority Parking","A public consultation on proposals for a Priority Parking scheme in the area was held in August 2012. The results were reported to the Transport and Environment Committee in November 2012 where Committee approved the recommendation to proceed with the implementation of the scheme.
The main aim of Priority Parking is to help residents park closer to their homes by introducing part-time residents’ parking places in their area. While these spaces only operate for a short period each day, they aim to help make parking easier for residents, their visitors or those making deliveries during the day. The remaining kerbside space will be uncontrolled.
The scheme started on 4 March 2013 and a letter was delivered to each household within the area to inform residents of the start date and how to apply for a parking permit.","3 to 28 August 2012",,,"4 March 2013",,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking report</a>",,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37287/item_no_81_objection_to_arboretumkinnear_priority_parking_area-traffic_regulation_order"">Priority Parking Consultation report</a>",,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9696/b3_implementation_letter"">Letter to residents</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/8253/arboretumkinnear_advertised_plan"">Advertised plan</a>",,,,"<a href=""https://www.edinburgh.gov.uk/downloads/download/1676/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Ashley,"Controlled Parking Zone Extension","A public consultation on controlled parking proposals ran from 7 October until 1 November 2011. Letters were sent to all properties within the area and residents were asked for their views on the proposals.
The results of the consultation were reported to the Transport, Infastructure & Environment Committee on 21 February 2012. The consultation found that there was insufficient support for a controlled parking scheme to be introduced. The majority of residents who responded did not consider controls would help them to find a parking place closer to their homes during the day. Committee decided not to extend the parking controls but to continue to work with residents to find a solution to parking pressures in the area.
Proposals are being developed to bring forward measures which will address residents concerns.
 ","7 October - 1 November 2011",,,,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/34909/item_16-ashley-harrison_controlled_parking_zone-results_of_formal_consultation "">Ashley consultation response</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/35134/minute-210212"">21 February 2012 Minute</a>",,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5879/ashley_priority_parking_traffic_regulation_order_drawing"">Parking places plan</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/5880/ashley_priority_parking_traffic_regulation_order_plan"">Area map</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5881/ashleyharrison_consultation_letter_to_residents"">Letter to residents</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
"Blackford/Nether Liberton","Priority Parking","An informal consultation on proposals to introduce Priority Parking in your area was held in 2012. The results were reported to the Transport and Environment Committee in November last year. Committee approved the start of the formal legal process needed to introduce the scheme but in a much reduced area.
The main aim of Priority Parking is to help residents park closer to their homes by introducing part-time residents’ parking places in their area. While these spaces only operate for a short period each day, they aim to help make parking easier for residents, their visitors or those making deliveries during the day. The remaining kerbside space will be uncontrolled.
There are several pockets of support for the controls and these lie to the east of Mayfield Road. They include: Crawfurd Road, West Savile Road and East Savile Road. Along with Blackbarony Road, Hallhead Road and Ross Road.
Since Committee approved the report, work has started on a revised scheme. The next steps will include a formal consultation where anyone can comment on the final proposals. A letter will be delivered to each household within the area to inform residents of the start of the formal consultation process.","17 August - 10 September 2012.",2013,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_73_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking report</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/8275/blackfordnether_liberton_letter"">Letter sent to residents</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9788/blackford_nether_liberton_map"">Revised Priority Parking Area</a>","<a href=""https://www.edinburgh.gov.uk/downloads/download/1676/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Blinkbonny/Ravelston,"Priority Parking","The results of the informal consultation indicated that the majority of residents who responded, 35 to 23, wanted us to proceed with the introduction of the Priority Parking scheme.
Therefore, we started the legal process to introduce the scheme in your area and this included a formal public consultation.
The results of the consultation were reported to the Transport and Environment Committee on 19 March 2013. However, they proved to be inconclusive and Committee approved the re-advertisement of the proposals. This allows us to further engage with residents, ensure the proposals are clearly explained and provide you with another opportunity to comment.
There will be a public exhibition on Wednesday 19 June at St Columba's Church between 4pm and 7pm. Further information, including plans of the proposals will be on display and Council officers will be on hand to answer any of your questions. ","14 June to 9 July 2013",2013,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/38631/item_8_10-priority_parking_in_craigleith_and_blinkbonny_ravelston_results_of_formal_consultation"">Blinkbonny Consultation Report</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/10685/blinkbonny_letter_to_residents_june_2013"">Formal consultation letter June 2013</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/10684/blinkbonny_priority_parking_plan"">Blinkbonny Plan</a>",,,,"<a href=""https://www.edinburgh.gov.uk/downloads/download/1676/priority_parking_information_sheet"">Information Sheet</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/10686/blinkbonny_public_exhibition_display"">Exhibition Display</a>","Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Brunstane,"Priority Parking","It was suggested that your area could benefit from Priority Parking controls to help residents park closer to their homes during the day.
An informal consultation with local residents and businesses has recently finished. At the start of the discussion we delivered a letter to each address within the area to ask local people if they had any parking problems and if they considered a Priority Parking scheme was necessary or not. All of the responses will be considered and the results analysed to determine if residents support the introduction of any parking controls. Residents will be contacted again in the future once the results are clear. 
You can see the consultation letter, a map of the area concerned and an information sheet with further details on how Priority Parking works.","11 March - 12 April 2013",2013-14,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking Report</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_7_3_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking Update</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9871/priority_parking_consultation_letter_march_2013"">Consultation Letter</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/9777/brunstane_map"">Brunstane Area</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5471/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Craigleith,"Priority Parking","Our informal consultation indicated that the majority of residents who responded, 21 to three, supported the introduction of the Priority Parking scheme.
As a result, we started the process to introduce a scheme in your area which included a public consultation where anyone could comment on or object to the proposals.
The results of the consultation were reported to the 19 March 2013 meeting of the Transport and Environment Committee. The recommendation to proceed with the scheme on a reduced scale to focus on the areas where there is community support for the proposals was approved.","12 October to 6 November 2012",2013,,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_73_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking report</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/38631/item_8_10-priority_parking_in_craigleith_and_blinkbonny_ravelston_results_of_formal_consultation"">Craigleith Priority Parking report</a>",,"<a href=""http://www.edinburgh.gov.uk/downloads/file/8726/craigleith_formal_consultation_letter"">Formal consultation letter</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/8724/craigleith_priority_parking_plan"">Craigleith plan</a>",,,,"<a href=""https://www.edinburgh.gov.uk/downloads/download/1676/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Groathill/Maidencraig,"Priority Parking","It was suggested that your area could benefit from Priority Parking controls to help residents park closer to their homes during the day.
An informal consultation with local residents and businesses has recently finished. At the start of the discussion we delivered a letter to each address within the area to ask local people if they had any parking problems and if they considered a Priority Parking scheme was necessary or not. All of the responses will be considered and the results analysed to determine if residents support the introduction of any parking controls. Residents will be contacted again in the future once the results are clear. 
You can see the consultation letter, a map of the area concerned and an information sheet with further details on how Priority Parking works.","11 March - 12 April 2013",2013-14,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking report</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_7_3_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking Update</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9871/priority_parking_consultation_letter_march_2013"">Consultation Letter</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/9778/groathill_map"">Groathill Area</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5471/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Lockharton,"Priority Parking","Thank you for your responses regarding the Priority Parking consultation in your area. We are currently considering all the individual points made by those who responded and further information will be available in the near future.
Priority Parking is a new way of helping residents park closer to their homes. It would involve introducing some part-time residentsâ parking places in your street. They would only operate for a short period each day but could help make parking easier for you, your visitors and those making deliveries. The other areas of kerbside space would remain uncontrolled.
You can find out more details in our letter to residents, the information sheet and the draft parking places plan.","31 January to 17 February 2012",2013-14,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking report</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/6708/letter_to_residents"">Letter to residents</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/5913/lockharton_draft_plan"">Draft plan</a>",,,,"<a href=""https://www.edinburgh.gov.uk/downloads/download/1676/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Murrayfield,"Priority Parking","It was suggested that your area could benefit from Priority Parking controls to help residents park closer to their homes during the day.
An informal consultation with local residents and businesses has recently finished. At the start of the discussion we delivered a letter to each address within the area to ask local people if they had any parking problems and if they considered a Priority Parking scheme was necessary or not. All of the responses will be considered and the results analysed to determine if residents support the introduction of any parking controls. Residents will be contacted again in the future once the results are clear. 
You can see the consultation letter, a map of the area concerned and an information sheet with further details on how Priority Parking works.","11 March - 12 April 2013",2013-14,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking report</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_7_3_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking Update</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9871/priority_parking_consultation_letter_march_2013"">Consultation Letter</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/9779/murrayfield_map"">Murrayfield Area</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5471/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
Priestfield,"Priority Parking","The Priestfield area lies to the north of Prestonfield Avenue. It is located between Dalkeith Road in the west and Priestfield Avenue in the east. 
The levels of parking demand during the day are near capacity in this area and this has resulted in some residents having problems parking during the day. Since many houses do not have access to off-street parking, it was suggested that residents could benefit from a Priority Parking area.
An informal consultation with local residents and businesses has recently finished. At the start of the discussion we delivered a letter to each address within the area to ask local people if they had any parking problems and if they considered a Priority Parking scheme was necessary or not. All of the responses will be considered and the results analysed to determine if residents support the introduction of any parking controls. Residents will be contacted again in the future once the results are clear. 
You can see the consultation letter, a map of the area concerned and an information sheet with further details on how Priority Parking works.","11 March - 12 April 2013",2013-14,,,,"<a href=""http://www.edinburgh.gov.uk/download/meetings/id/32953/item_18-priority_parking-various_areas_edinburgh"">Priority Parking report</a>","<a href=""http://www.edinburgh.gov.uk/download/meetings/id/37275/item_no_7_3_progress_on_priority_parking-various_areas_edinburgh"">Priority Parking Update</a>",,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/9871/priority_parking_consultation_letter_march_2013"">Consultation Letter</a>","<a href=""http://www.edinburgh.gov.uk/downloads/file/9780/priestfield_map"">Priestfield Area</a>",,,,"<a href=""http://www.edinburgh.gov.uk/downloads/file/5471/priority_parking_information_sheet"">Information Sheet</a>",,"Controlled Parking Zones, 249 High Street, Edinburgh, EH1 1YJ","0131 469 3309",controlledparkingzone@edinburgh.gov.uk
