Procedure,Legislation,"Register Held","Accessible online",Location,"View in person"
"Ability to place tables and chairs in the road","Roads (scotland) act 1984, section 59",No,http://No,,
"Animal boarding establishment","Animal boarding establishments act 1963",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Animal movement (pigs) notification","Disease Control (Interim Measures) (Scotland) Order SSI 2002/34, as most recently amended by, The Disease Control (Interim Measures) (Scotland) Amendment (No. 3) Order 2007 The Pigs (Records, Identification and Movement) Order 1995 as amended by The Pigs",No,http://No,,
"Application to use street or pavement space for displays","Roads (Scotland) Act 1984, Section 59",No,http://No,,
"Approved premises (for food)","The Food Hygiene (Scotland) Regulations 2006 / Regulation (EC) No 853/2004",No,http://No,,
"Boat hire","Civic Government (Scotland) Act 1982, Section 38",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Boat hire</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Caravan and camping site","Caravan Sites and Control of Development Act 1960",Yes,http://www.edinburgh.gov.uk/info/1231/environmental_health/487/public_health/2,,
"Charitable Collection Permit","Civic Government (Scotland) Act 1982, Section 119 and The Public Charitable Collections (Scotland) Regulations 1984, as amended by The Public Charitable Collections (Scotland) Amendment Regulations 1988.",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Cooling tower","Notification of Cooling Towers and Evaporative Condensers Regulations 1992",No,http://No,,
"Food premises notification","EC Regulation 852/2004 (Food Premises)",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"House in multiple occupation licence","Government (Scotland) Act 1982, Section 44 and SSI 2000/177 and SSI 2003/463",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/5""> Houses in Multiple Occupation</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Hypnotism permit","Hypnotism Act 1952",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Indoor sports entertainment licence","Civic Government (Scotland) Act 1982, Section 41A",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Indoor Sports Entertainment Licence</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Itinerant metal dealer licence","Civic Government (Scotland) Act 1982",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Itinerant metal dealer licence</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Late hours catering licence","Civic Government (Scotland) Act 1982, Section 42",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Late hours catering licence</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Market operators licence","Civic Government (Scotland) Act 1982, Section 40",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Market operators licence</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Metal dealer","Civic Government (Scotland) Act 1982: Section 28 for Metal dealers, Section 29 for Exemption Warrant, Section 32 for Itinerant Metal Dealers",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Metal dealer</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"National registration scheme for private landlords","Antisocial Behaviour (Scotland) Act 2004",Yes,https://www.landlordregistrationscotland.gov.uk,,
"Occasional licence","Licensing (Scotland) Act 2005",Yes,http://www.edinburgh.gov.uk/downloads/file/4779/occasional_licence_applications,,
"Performing animals registration","Performing Animals (Regulation) Act 1925",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Pet shop","Pet Animals Act 1951",Yes,,,
"Places for civil marriages Period Approval Certificate","Marriage (Approval of Places) (Scotland) Regulations 2002",Yes,http://www.edinburgh.gov.uk/directory/9/civil_marriage_and_partnership_venues,,
"Premises licence, and its variations","Licensing (Scotland) Act 2005",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Public entertainment licences","Civic Government (Scotland) Act 1982, Section 41",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Public entertainment licences</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Public roads","Section 1 (3) of the Roads (Scotland) Act 1984",Yes,http://No,"Chesser House, 3rd Floor, 500 Gorgie Road, Edinburgh","55.9319,-3.25049"
"Riding establishment","Riding Establishments Act 1964",Yes,http://No," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Roads: occupation of parts of the road for the deposit of building materials","Roads (Scotland) Act 1984 Section 58",Yes,http://www.roadworksscotland.org/locationsearch.aspx,,
"Safety certificates for regulated stands at sports grounds","Part III of the Fire Safety and Safety of Places of Sport Act 1987 (c.27)",Yes,http://No,"Public Safety Section G3, Waverley Court, 4 East Market Street, Edinburgh, EH8 8BG","55.951872,-3.183471"
"Safety certificates for sports grounds","The Safety of Sports Grounds Act 1975 (c. 52)",Yes,http://No,"Public Safety Section G3, Waverley Court, 4 East Market Street, Edinburgh, EH8 8BG","55.951872,-3.183471"
"Second hand dealer","Civic Government (Scotland) Act 1982 (sections 28 and 30)",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Second hand dealer</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Sex shop","Civic Government (Scotland) Act 1982, Section 45",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Sex shop</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
"Skin piercing and tattooing","Civic Government (Scotland) Act 1982, Section 44",Yes,"<a href=""http://www.edinburgh.gov.uk/info/1090/law_and_licensing/1808/register_of_licence_applications/4""> Skin piercing and tattooing</a>"," Licensing Section, City Chambers, 249 High Street, Edinburgh. EH1 1YJ","55.949882,-3.189744"
Skip,"Roads (Scotland) Act 1984, Section 85",Yes,http://www.roadworksscotland.org/locationsearch.aspx,,
"Storage of petroleum","Petroleum (Consolidation) Act 1928 as amended by the Dangerous Substances and Explosive Atmospheres Regulations 2002 (DSEAR) plus (London only) London County Council (General Powers) Act 1933",No,http://No,,
