Toilet,"Refurbishment status",Facilities,"Opening times",Contact,Telephone,Email,Location
"Ardmillan ",,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access. Further information on RADAR keys, including how to order one, is available on www.radar-shop.org.uk)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.938587,-3.228837"
"Bath Street",,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.952976,-3.114088"
Bruntsfield,,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access. Further information on RADAR keys, including how to order one, is available on www.radar-shop.org.uk)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.93718321349266,-3.206462860107422"
"Canaan Lane",,"Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.927771,-3.208318"
Canonmills,,"Disabled 24hr access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.962197,-3.200208"
"Castle Terrace Car Park","This facility will be closed for refurbishment from 02 September 2013 until further notice.","Disabled access (all toilets for the disabled require a RADAR key for access)","10.00am to 8.00pm","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.94791422423427,-3.2039737701416016"
Castlehill,"This facility will be closed for refurbishment from 02 September 2013 until further notice.","No disabled access","10.00am to 6.00pm (Summer 8.00pm) ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.94862311127835,-3.1966781616210938"
Colinton,,"No disabled access","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.908196,-3.254014"
Cramond,,"No disabled access Baby changing","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.980018189188144,-3.300274372450076"
Currie,,"No disabled access","10.00am to 6.00pm ","Services for Communities Chesser House, 500 Gorgie Road, Edinburgh, EH11 3YJ","0131 529 3030","publicconveniencesandnightcleansing@edinburgh.gov.uk ","55.89592587758318,-3.310575485229492"
