Site_Name,RecyclingS,BankTypeNa,Latitude,Longitude
"Abbey Lane","In courtyard at No.12",Packaging,55.95682762208,-3.1664690090466
"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex",Packaging,55.956370951785,-3.1691460675447
"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Paper Bank",55.956370951785,-3.1691460675447
"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex",Packaging,55.956370951785,-3.1691460675447
"Abbey Street","No. 10 Abbey Street - Sheltered Housing Complex","Bottle Bank - Mixed",55.956370951785,-3.1691460675447
"Abbeyhill Crescent","No. 55 Abbeyhill Crescent",Packaging,55.953394869019,-3.1750140837521
"Abbeyhill Crescent","No. 55 Abbeyhill Crescent","Paper Bank",55.953394869019,-3.1750140837521
"Abbeyhill Crescent","No. 17 Abbeyhill Crescent","Paper Bank",55.953955316902,-3.1746627042903
"Abbeyhill Crescent","No. 17 Abbeyhill Crescent",Packaging,55.953955316902,-3.1746627042903
"Abbotsford Court","abbotsford court",Packaging,55.932018369169,-3.217584819418
"Abbotsford Court","abbotsford court","Paper Bank",55.932018369169,-3.217584819418
"Abbotsford Court","abbotsford court","Bottle Bank - Mixed",55.932018369169,-3.217584819418
"Academy Park","Leith Academy - No. 20 Academy Park",Packaging,55.966640134447,-3.1673730686397
"Academy Park","No. 4 Academy Park",Packaging,55.968098118433,-3.1680738600162
"Academy Park","No. 4 Academy Park","Paper Bank",55.968098118433,-3.1680738600162
"Academy Park","Opposite No.6 Academy Park","Paper Bank",55.967584093088,-3.1673213912605
"Academy Park","Opposite No.6 Academy Park",Packaging,55.967584093088,-3.1673213912605
"Academy Park","Opposite No.6 Academy Park","Bottle Bank - Mixed",55.967584093088,-3.1673213912605
"Academy Park","Leith Academy - No. 20 Academy Park",Packaging,55.966640134447,-3.1673730686397
"Academy Park","Leith Academy - No. 20 Academy Park",Packaging,55.966640134447,-3.1673730686397
"Academy Park","Leith Academy - No. 20 Academy Park","Paper Bank",55.966640134447,-3.1673730686397
"Academy Street","No. 3 Academy Street","Paper Bank",55.967928323579,-3.1670273512178
"Academy Street","No. 4 Academy Street",Packaging,55.967861348023,-3.167457912127
"Academy Street","No. 4 Academy Street",Packaging,55.967861348023,-3.167457912127
"Admiral Terrace","Boroughmuir High School - No. 26 Viewforth","Paper Bank",55.938029557288,-3.2084721017489
"Admiralty Street","No. 6 Admiralty Street","Paper Bank",55.976360173982,-3.178931400131
"Admiralty Street","No. 6 Admiralty Street","Paper Bank",55.976360173982,-3.178931400131
"Admiralty Street","No. 6 Admiralty Street",Packaging,55.976360173982,-3.178931400131
"Admiralty Street","No. 6 Admiralty Street",Packaging,55.976360173982,-3.178931400131
"Alan Breck Gardens","No. 7 Alan Breck Gardens",Packaging,55.952561272731,-3.2880882215346
"Alan Breck Gardens","No. 7 Alan Breck Gardens","Paper Bank",55.952561272731,-3.2880882215346
"Albert Street","RHS No. 69 Albert Street","Paper Bank",55.962470620217,-3.1740236239785
"Albert Street","Opposite 154 - 158 Albert Street",Packaging,55.962400601001,-3.1728841444541
"Albert Street","RHS No. 69 Albert Street",Packaging,55.962470620217,-3.1740236239785
"Albert Street","No. 13 Albert Street",Packaging,55.962536430206,-3.1774857649795
"Albert Street","RHS No. 69 Albert Street",Packaging,55.962470620217,-3.1740236239785
"Albert Street","RHS No 96 Albert Street","Paper Bank",55.962564548543,-3.1745390831916
"Albert Street","Opposite 154 - 158 Albert Street",Packaging,55.962400601001,-3.1728841444541
"Albert Street","Opposite 154 - 158 Albert Street","Paper Bank",55.962400601001,-3.1728841444541
"Albert Street","No. 13 Albert Street",Packaging,55.962536430206,-3.1774857649795
"Albert Street","No. 13 Albert Street","Paper Bank",55.962536430206,-3.1774857649795
"Albert Street","LHS No. 52 Albert Street","Paper Bank",55.962622782672,-3.1769116949442
"Albion Gardens","No. 6 Albion Gardens","Bottle Bank - Mixed",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens","Paper Bank",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens","Paper Bank",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens","Paper Bank",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens","Bottle Bank - Mixed",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens","Textile Bank",55.960152454107,-3.1654958159009
"Albion Gardens","No. 6 Albion Gardens",Packaging,55.960152454107,-3.1654958159009
"Albion Road","LHS No 31 Albion Road",Packaging,55.96191231532,-3.1694253011421
"Albion Road","Opposite No. 48 Albion Road - Community Centre","Paper Bank",55.961526610002,-3.16745937699
"Albion Road","Opposite No. 48 Albion Road - Community Centre",Packaging,55.961526610002,-3.16745937699
"Albion Road","Outside No 30 Albion Road","Paper Bank",55.961876363034,-3.1684791006016
"Albion Road","LHS No 31 Albion Road","Paper Bank",55.96191231532,-3.1694253011421
"Albion Road","Outside No 30 Albion Road",Packaging,55.961876363034,-3.1684791006016
"Albion Terrace","Outside No 2 Albion Terrace","Paper Bank",55.961095280698,-3.1674624074512
"Aldermoor Avenue","Block 1",Packaging,55.911085718656,-3.2226559032734
"Aldermoor Avenue","Block 6",Packaging,55.9113726906,-3.2227129307229
"Aldermoor Avenue","Block 7",Packaging,55.911376659694,-3.2223131005916
"Alexander Drive","LHS No. 2 Alexander Drive",Packaging,55.936312500923,-3.2410919497174
"Alexander Drive","LHS No. 2 Alexander Drive","Paper Bank",55.936312500923,-3.2410919497174
"Alexander Drive","6-8 Alexander Drive","Bottle Bank - Mixed",55.9364300816,-3.241015667251
Allanfield,"No. 19 Allanfield","Bottle Bank - Mixed",55.961039005043,-3.178097049437
Allanfield,"No. 1 Allanfield","Textile Bank",55.961284558012,-3.1749648479285
Allanfield,"No. 1 Allanfield",Packaging,55.961284558012,-3.1749648479285
Allanfield,"No. 1 Allanfield","Paper Bank",55.961284558012,-3.1749648479285
Allanfield,"No. 1 Allanfield","Bottle Bank - Mixed",55.961284558012,-3.1749648479285
Allanfield,"No. 19 Allanfield",Packaging,55.961039005043,-3.178097049437
Allanfield,"No. 19 Allanfield","Textile Bank",55.961039005043,-3.178097049437
Allanfield,"No. 19 Allanfield",Packaging,55.961039005043,-3.178097049437
Allanfield,"No. 19 Allanfield","Paper Bank",55.961039005043,-3.178097049437
"Allanfield Place","Opposite No. 5 Allanfield Place","Paper Bank",55.961267834278,-3.1738910897344
"Allanfield Place","No. 6 Allanfield Place","Paper Bank",55.961316256365,-3.173524125855
"Allanfield Place","No. 6 Allanfield Place",Packaging,55.961316256365,-3.173524125855
"Allanfield Place","No. 3 Allanfield Place",Packaging,55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place","Paper Bank",55.961109633165,-3.1744629697699
"Allanfield Place","Opposite No. 5 Allanfield Place","Bottle Bank - Mixed",55.961267834278,-3.1738910897344
"Allanfield Place","No. 3 Allanfield Place",Packaging,55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place","Bottle Bank - Mixed",55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place","Bottle Bank - Mixed",55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place",Packaging,55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place",Packaging,55.961109633165,-3.1744629697699
"Allanfield Place","No. 6 Allanfield Place","Bottle Bank - Mixed",55.961316256365,-3.173524125855
"Allanfield Place","Opposite No. 5 Allanfield Place","Paper Bank",55.961267834278,-3.1738910897344
"Allanfield Place","Opposite No. 5 Allanfield Place",Packaging,55.961267834278,-3.1738910897344
"Allanfield Place","Opposite No. 5 Allanfield Place",Packaging,55.961267834278,-3.1738910897344
"Allanfield Place","Opposite No. 5 Allanfield Place",Packaging,55.961267834278,-3.1738910897344
"Allanfield Place","No. 3 Allanfield Place","Paper Bank",55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place",Packaging,55.961109633165,-3.1744629697699
"Allanfield Place","No. 3 Allanfield Place","Paper Bank",55.961109633165,-3.1744629697699
"Allanfield Place","No. 6 Allanfield Place",Packaging,55.961316256365,-3.173524125855
"Annandale Street","Nos. 19-23 Annandale Street","Paper Bank",55.960080554482,-3.1843470616271
"Annandale Street","16 & 18 Annandale Street","Paper Bank",55.960129161451,-3.1839641089244
"Annandale Street","Nos. 19-23 Annandale Street","Bottle Bank - Mixed",55.960080554482,-3.1843470616271
"Annandale Street","Nos. 19-23 Annandale Street","Paper Bank",55.960080554482,-3.1843470616271
"Annandale Street","16 & 18 Annandale Street",Packaging,55.960129161451,-3.1839641089244
"Annfield Street","No. 4 Annfield Street","Paper Bank",55.97942394566,-3.190178863239
"Appin Lane","Block 1",Packaging,55.92884230678,-3.2405169863637
"Appin Lane","Block 4",Packaging,55.928683840905,-3.2401918147519
"Appin Place","In Bin Shelter",Packaging,55.929455903387,-3.2393681801929
"Appin Place","In Bin Shelter",Packaging,55.929455903387,-3.2393681801929
"Appin Street","No. 5 Appin Street","Paper Bank",55.930193660603,-3.2374870231393
"Appin Street","No. 4 Appin Street","Paper Bank",55.930458979774,-3.237015298859
"Appin Street","No.  3 Appin Street","Paper Bank",55.930559074683,-3.2368904396858
"Appin Street","No. 1 Appin Street","Paper Bank",55.930904432695,-3.2365012879461
"Appin Terrace","Opposite No. 1 Appin Terrace",Packaging,55.932554687021,-3.2359135834052
"Appin Terrace","Opposite No. 1 Appin Terrace","Paper Bank",55.932554687021,-3.2359135834052
"Arboretum Road","Edinburgh Academy Junior School - No. 10 Arboretum Road","Paper Bank",55.969803589933,-3.2147339581415
"Arboretum Road","Edinburgh Academy Junior School - No. 10 Arboretum Road",Packaging,55.969803589933,-3.2147339581415
"Arden Street","LHS No 1 Arden Street",Packaging,55.938229735876,-3.1962472865795
"Arden Street","LHS No 1 Arden Street","Paper Bank",55.938229735876,-3.1962472865795
"Arden Street","RHS 69 Arden Street","Paper Bank",55.936535558504,-3.1958268659003
"Arden Street","LHS No 1 Arden Street",Packaging,55.938229735876,-3.1962472865795
"Arden Street","RHS 69 Arden Street",Packaging,55.936535558504,-3.1958268659003
"Ardmillan Place","Opposite No. 4 - 6 Ardmillan Place","Paper Bank",55.938717248637,-3.2252714325973
"Ardmillan Place","Opposite No. 4 - 6 Ardmillan Place",Packaging,55.938717248637,-3.2252714325973
"Ardshiel Avenue","LHS No. 17 Ardshiel Avenue","Paper Bank",55.951974171955,-3.2892378245944
"Ardshiel Avenue","LHS No. 17 Ardshiel Avenue",Packaging,55.951974171955,-3.2892378245944
"Ardshiel Avenue","Drumbrae Primary School","Paper Bank",55.951928786288,-3.2909979746378
"Argyle Park Terrace","Opposite No 5 Argyle Park Terrace",Packaging,55.939674177347,-3.1918410917988
"Argyle Park Terrace","Opposite No 5 Argyle Park Terrace","Paper Bank",55.939674177347,-3.1918410917988
"Arthur Street","Nos. 9-13 Arthur Street","Paper Bank",55.965395571407,-3.1773002642619
