Name,Description,Address,Postcode,"Phone number",Email,Website,"More information from the Care Inspectorate",Location
"Action Group","Services such as personal care, medication, cooking and housework, shopping, and support with social activities and going out.","Norton Park Centre, 57 Albion Road, Edinburgh","EH7 5QY","0131 475 2315",advice@actiongroup.org.uk,"<a href=""http://www.actiongroup.org.uk/services/housing-and-community-support-services-hacss.html"">The Action Group website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2006128408"">Quality grades and reports</a>","55.961140638957005,-3.1665515899658203"
"Allied Healthcare","Services such as cooking meals, light household duties, cleaning and laundry services, shopping, washing and dressing.
","Suite 17, Bonnington Mill Business Centre, 72/3 Newhaven Road, Edinburgh","EH6 5QG","0131 553 6136",edinburgh@alliedhealthcare.com,"<a href=""http://www.alliedhealthcare.com/home-care.aspx"">Allied Healthcare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004076379"">Quality grades and reports</a>","55.971228597800135,-3.1870222091674805"
"Autism Initiatives","Services such as support accessing college or work, and the local community, and support with learning home-based tasks including meal preparation, travelling, and time and money management.","11 Granton Square, Edinburgh","EH5 1HX","0131 551 7260",hos@aiscotland.org.uk,"<a href=""http://www.autisminitiatives.org/what-we-do/autism-outreach-support/"">Autism Initiatives website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008175789"">Quality grades and reports</a>","55.98107383057707,-3.2247018814086914"
C-I-C,"Support with shopping, cooking and cleaning, managing money, going to work or college, public transport, social activities and appointments.","CIC, Central Scotland Office, 261 Springhill Parkway, Glasgow","G69 6GA","0131 646 0496",information@c-i-c.co.uk,"<a href=""http://www.c-i-c.co.uk/supported-living"">C-I-C website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ReportDataDetails_action.php&action=displayReport&repId=CS2004076543"">Quality grades and reports</a>","55.86057394033749,-4.113864898681641"
"Call In Homecare","Services such as assisting with personal care, shopping, other errands, the preparation of meals, light domestic duties as well as escorting people on trips around town.","84 Willowbrae Road, Edinburgh","EH8 7HW","0131 656 7310",enquiries@Call-InHomecare.co.uk,"<a href=""http://www.call-in-homecare.co.uk/page.php?ContentID=8"">Call In Homecare website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004084651"">Quality grades and reports</a>","55.95265991552359,-3.1456518173217773"
"Care UK","Services such as personal care, domestic support, practical assistance and companionship for a range of people.","540 Gorgie Road, Edinburgh","EH11 3AL","0131 300 0783",edinbcs@careuk.com,"<a href=""http://www.careuk.com/edinburgh"">Care UK Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008186248"">Quality grades and reports</a>","55.930885021117376,-3.2535839080810547"
"Carr Gomm","Services such as support with housework, making meals, shopping or laundry, personal care and getting to go out and about.","11 Harewood Road, Edinburgh","EH16 4NT","0131 228 6623",cahsmu@carrgomm.org,"<a href=""http://www.carrgomm.org/our-services/edinburgh"">Carr Gomm Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2004075303"">Quality grades and reports</a>","55.934707328702636,-3.131403923034668"
"Crossreach - Threshold Edinburgh","Support with budgeting, cooking, personal care and travel, as well as social activities, education and employment.","Canal Court, 40 Craiglockhart Avenue, Edinburgh","EH14 1LT","0131 443 2225",info@crossreach.org.uk,"<a href=""http://www.crossreach.org.uk/threshold-edinburgh"">Theshold Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008187007"">Quality grades and reports</a>","55.92379231948149,-3.2448291778564453"
"Crossroads Caring Scotland Edinburgh","Services such as personal care, meal preparation and also, if assessed as a need, shopping and housework.","Springwell House, 1 Gorgie Road, Edinburgh","EH11 2LA","0131 202 5583",edinburgh@crossroads-scotland.co.uk,"<a href=""http://www.crossroads-scotland.co.uk/index.php?option=com_locator&view=location&layout=default&id=16&Itemid=8"">Crossroads Edinburgh website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2007145327"">Quality grades and reports</a>","55.938649439588616,-3.228778839111328"
"Deaf Action","Support with tasks including shopping and money management.","49 Albany Street, Edinburgh","EH1 3QY","0131 556 3128",admin@deafaction.org,"<a href=""http://www.deafaction.org/"">Deaf Action website</a>","<a href=""http://www.scswis.com/index.php?option=com_content&view=article&id=7644&Itemid=489&bereNextPageId=ServiceDetails_action.php&action=displayService&CaseNumber=CS2008181608"">Quality grades and reports</a>","55.95748911046827,-3.189511299133301"
