Location,"Reference No",Position
"A90 - Cramond Bridge to Dalmeny",17407844,"By bus shelter on A90 westbound, west of Riverside Road."
"A90 Cycle track",17407218,"about 200m north of junction of Cramond Brig Toll and A90, between streetlights CXW06 and CXW07"
Abbeyhill,13281424,"At access gate to Croft-An-Righ Sheltered Housing opposite ex railway station building."
Abbeyhill,17403739,"At Spring Gardens against stone wall of railway at foot of Abbey Lane under hospital sign and billboard."
"Abbeyhill Crescent",17403742,"At south side of communal bucket, just down from number 30, at back of footway."
"Abbotsford Park",13394904,"Against stone wall at side of gate to house 19 near lighting column."
"Abercorn Crescent",17442672,"At Abercorn Avenue by lighting column AAP09."
"Abercorn Drive",10994015,"Outside house 16."
"Abercorn Road",10863206,"At top of hill at foot of lighting column beside house 19."
"Addiston Crescent",17403748,"Opposite 2."
"Addiston Park",17406807,"beside no 2, by junction of Addiston park and Addiston Crescent"
"Admiral Terrace",10825085,"Opposite house 7 at end of parking bay."
"Alan Breck Gardens",12825983,"in front of no 13"
"Albion Terrace",12251512,"On footway at entrance to footbridge over railway."
"Alcorn Square",17407825,"Opposite 64."
"Aldermoor Avenue",17403751,"At 1."
"Allan Park",17407640,"At 64."
"Allan Park",17407634,"At 28."
"Allan Park",17407637,"At 57."
"Allan Park",17407631,"At 3."
"Allan Park Crescent",11254806,"Outside 1."
"Allan Park Drive",17403754,"At 74, beside lighting column ACS14."
"Allan Park Road",11254593,"At Allan Park Crescent."
"Allan Park Road",11254299,"On centre island at Slateford Road."
Allanfield,17403760,"At lighting column ACP02."
Allanfield,17403757,"At gable end of number 16, adjacent to lighting column ACP23."
"Almond Green",17403763,"Opposite 49."
"Almond Green",12834944,"At lighting column ADJ25 at end of footway."
"Almond Grove",13167191,"On edge of paved area beside posts between houses 12 and 21."
"Almond Square",12835460,"At lighting column with pillar box on it in front of house 27."
"Almondhill Road",9591463,"At lighting column opposite end of Dundas Place."
"Almondhill Road",9591433,"At lighting column opposite 20 and beside end of small f/path."
"Almondhill Road",9591502,"At lighting column opposite end of Dudgeon Place."
"Alnwickhill Court",17403766,"At lighting column ADL02."
"Alnwickhill Crescent",17407607,"At 19."
"Alnwickhill Drive",17403769,"At 55."
"Alnwickhill Gardens",17407604,"Opposite 1."
"Alnwickhill Gardens",17407601,"At 14."
"Alnwickhill Park",12798368,"At house 18."
"Alnwickhill Road",12758785,"Against wall at side of number 54 Liberton Brae and opposite pillar box."
"Alnwickhill Road",11004323,"At Liberton Drive."
"Alnwickhill Terrace",17403775,"At 25."
"Alnwickhill View",12797570,"At foot of lighting column against brick wall at side of house 17."
"Ann Street",11084792,"At junction with Upper Dean Terr in corner of wall against railings and near door into the Dean gardens."
"Ann Street",11085107,"Against stone wall under street nameplate to right of house 3."
"Annandale Street",12856559,"At bus depot, against wall on inside of entrance and exit. 2 bins."
Annfield,17403778,"At gable end of 2 and 4 New Lane"
"Appin Street",17403784,"As side of electricity sub station at end of street."
