Logo,Provider,Address,Postcode,"Telephone Number","Fax Number",E-mail,"Web Site","Opening Hours","Categories of Housing","Other Services Provided/Comments","Location of Sheltered Housing Complexes"
http://www.edinburgh.gov.uk/images/SH_Barony.jpg,"Barony Housing Association","Canal Court, 40 Craiglockhart Avenue, Edinburgh
","EH14 1LT","0845 140 7777","0131 443 974",info@baronyha.org.uk,"<a href=""http://www.baronyha.org.uk""> Barony Housing Association </a>","Monday:      9.00am - 5.00pm
Tuesday:     9.00am - 5.00pm
Wednesday: 9.00am - 5.00pm
Thursday:    9.00am - 5.00pm
Friday:        9.00am - 5.00pm
","Group Living, Shared, Supported.","Accommodation can only be accessed via Social Work or TAP referral. Additional application form to be completed for supported accommodation.  Refer clients on to Citizen Advice Bureau as needed.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&keywords=barony&postcode=&search=Search""> Barony Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Bield.gif,"Bield Housing Association","79 Hopetoun Street, Edinburgh","EH7 4QF","0131 273 4000","0131 557 6327",info@bield.co.uk,"<a href=""http://www.bield.co.uk""> Bield Housing Association </a>","Monday:       9.00am to 5.00pm
Tuesday:      9.00am to 5.00pm
Wednesday:  9.00am to 5.00pm
Thursday:     9.00am to 5.00pm
Friday:         9.00am to 5.00pm","Amenity, Elderly, Sheltered, Very Sheltered, Wheelchair","Thorntree Street, Leith is a partnership project between Bield and Rowan Alba.  It is aimed primarily at Homeless Older people.  The 6 2 bed properties at Halmyre Street, Leith are shared equity units.  Shared equity units are applied for in the same way as other applications.  The only restrictions that apply are the same ones as for all other applicants, the main one being age – applicants must be 60 plus.

Castlebrae Glebe is a partnership between Bield Housing Association and the City of Edinburgh Council to house older single people or couples, aged 50 years or above, along with providing flexible housing support, a meals service and personal care.  All flats and communal areas are built to ‘housing with varying needs’ standard.   Applicants must be:
- aged 50 years and above, and
- may have a physical disbility, and/or
- may have mild to moderate dementia, and/or
- are inappropriately placed in hospital or residential care, and/or
- have been assessed as requiring over 12 hours of housing support per week,         
  and/or
- level one care is required and there is a likelihood of inappropriate admission 
  to residential care","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=bield&categoryID=-1&postcode=&search=Search""> Bield Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Blackwood.png,"Blackwood Housing Association","Craigevar House, 77 Craigmount Brae, Edinburgh","EH12 8YL","0131 317 7227","0131 317 7294",info@mbha.org.uk,"<a href=""http://www.mbha.org.uk""> Blackwood Housing Association </a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 5.00pm","Amenity, Ambulant Disabled, Wheelchair","All communal grounds are maintained by the Association. The Association support people with a range of needs – physical difficulties, mental health issues, sensory impairment, learning difficulties and older people. Work with individuals and families to develop and tailor suitable support.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&keywords=blackwood&postcode=&search=Search""> Blackwood Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Cairn.gif,"Cairn Housing Association","Citypoint, 65 Haymarket Terrace, Edinburgh","EH12 5HD","0131 556 4415","0131 558 3290",enquires@cairnha.com,"<a href=""http://www.cairnha.com""> Cairn Housing Association </a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 4.30pm","Amenity, Sheltered","There is a Sheltered Housing Support Manager and a 24 hour emergency alarm service. As an association with charitable objects, None of Cairn’s properties in the City of Edinburgh Council area are subject to Right to Buy.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=cairn&categoryID=-1&postcode=&search=Search""> Cairn Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_castlerockedinvar.png,"Castle Rock Edinvar","1 Hay Avenue, Edinburgh","EH16 4RW","0131 657 0654","0131 657 0700",anne.mcclintock@castlerockedinvar.co.uk,"<a href=""http://www.castlerockedinvar.co.uk""> Castle Rock Edinvar </a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 4.00pm","Amenity, Sheltered","Registered shared accommodation for people with learning disabilities and visiting support service to anyone who needs support to stay at home.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=castle+rock+edinvar&categoryID=-1&postcode=&search=Search""> Castle Rock Edinvar Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_CEC.JPG,"City of Edinburgh Council","City Centre/Leith Team, 1 Cockburn Street, Edinburgh","EH1 1BJ","0131 529 7061",,,"<a href=""http://www.edinburgh.gov.uk""> City of Edinburgh Council </a>","Monday:      9.00am – 5.00pm
Tuesday:     10.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 3.40pm","Sheltered, Wheelchair",,"<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&keywords=city_of_edinburgh&postcode=&search=Search ""> City of Edinburgh Council Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Crown.JPG,"Crown Housing Association","Area Office, Westwood Business Centre, 69 Aberdalgie Road, Easterhouse, Glasgow","G36 9HJ","0141 771 4694","0141 771 5076",enquires.scotland@crownha.org.uk,"<a href=""http://www.crownha.org.uk""> Crown Housing Association </a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 5.00pm",Amenity,"For Civil Service applicants, please apply directly to the Association at the above address.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=crown&categoryID=-1&postcode=&search=Search""> Crown Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Dunedin.JPG,"Dunedin Canmore Housing","8 New Mart Road, Edinburgh","EH14 1RL","0131 478 8888","0121 624 5766",info@dunedincanmore.org.uk,"http://<a href=""httP://www.dunedincanmore.org.uk""> Dunedin Canmore Housing </a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 4.00pm","Amenity, Chinese Sheltered Scheme, Shared Ownership, Sheltered, Wheelchair","Cathay Court has Cantonese speaking manager but not exclusively for Chinese residents.
Elizabeth Maginnis Court and The Quarries have no scheme manager on site and are for those aged 55 and over.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=dunedin+canmore&categoryID=-1&postcode=&search=Search""> Dunedin Canmore Housing Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_hanoverlogo.jpg,"Hanover (Scotland) Housing Association","95 McDonald Road, Edinburgh","EH7 4NS","0131 557 0598","0131 557 1280",admin@hsha.org.uk,"<a href=""http://www.hsha.org.uk""> Hanover (Scotland) Housing Association</a>","Monday:      9.00am – 5.00pm
Tuesday:     9.00am – 5.00pm
Wednesday: 9.00am – 5.00pm
Thursday:    9.00am – 5.00pm
Friday:        9.00am – 5.00pm
24 Hour Hanover Telecare: 0131 557 7480","Shared Ownership, Sheltered.","There is a Housing Support service for those who need it.
Controlled access where required due to vulnerability or disability.
Emergency alarm and call system.
Arrange adaptations for those with disabilities.
Disabled access.
Careline emergency alarm service.","<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=hanover&categoryID=-1&postcode=&search=Search""> Hanover (Scotland) Housing Association Sheltered Housing Complexes </a>"
http://www.edinburgh.gov.uk/images/SH_Hillcrest.jpg,"Hillcrest Housing Association","126 canongate, Edinburgh","EH8 8DD","0131 558 8555","0131 558 9888",edinburgh@hillcrestha.org.uk,"<a href=""http://www.hillcrest.org.uk""> Hillcrest Housing Association</a>","Monday:    9.00am – 1.00pm, 1.30pm - 4.45pm
Tuesday:   9.00am – 1.00pm, 1.30pm - 4.45pm
Wednesday: 9.00am – 1.00pm, 1.30pm - 4.45pm
Thursday: 9.00am – 1.00pm, 1.30pm - 4.45pm
Friday:  9.00am – 4.00pm",Amenity,,"<a href="" http://www.edinburgh.gov.uk/site/scripts/directory_search.php?directoryID=117&search_hidden=Search&keywords=hillcrest&categoryID=-1&postcode=&search=Search""> Hillcrest Housing Association Sheltered Housing Complexes </a>"
