Name,Address,Postcode,Telephone,Email,"Opening hours",Facilities,Activities,Prices,Timetables,"More information",Location
"Ainslie Park Leisure Centre","92 Pilton Drive","EH5 2HF","0131 551 2400",mail@edinburghleisure.co.uk,"Monday - Friday: 7.30am - 10pm
Saturday: 7.30am - 5pm (Swimming pool: 4.45pm)
Sunday: 8am - 9pm ","25m swimming pool
Bubble pool
Dance studio
Gym (including free weights)
Multi-purpose room
Main hall
Café","Adult and child swimming times
Aquafit
Badminton
Coached activities
Equipment hire
Fitness classes
Indoor 5-a-side football
Power swim
Swimming lessons
Swimming for women only
Table tennis",http://www.edinburghleisure.co.uk/detail-431,http://www.edinburghleisure.co.uk/resources/docs/Generics/Generic%20covers%202012/16797_EL_AINSLIE_GEN_AW.pdf,http://www.edinburghleisure.co.uk/list-73,"55.972016,-3.230409"
"Balgreen Bowling","Balgreen Road","EH12 5TY","0131 313 5097",,"Mid-April to September:
Mon-Fri, 12noon-9pm
Sat, 11am-5pm
Sun, 11am-5pm",,,,,,"55.940858,-3.254942"
"Bingham Park","35 Bingham Avenue","EH15 3HZ","0131 529 3111",sportspitch@edinburghleisure.co.uk,,Football,,,,,
"Braid Hills Golf Course","Braid Hills Approach","EH10 6JY","0131 447 6666",,,"Braid Hills is a historic gem of a golf course, commanding unrivalled panoramic views across the capital.  The course offers something for all golfers: a beautiful walk, with unforgettable views to the Castle, Arthurs Seat, North Berwick Law and over the Forth to Fife; a fun challenge with a variety of holes using the natural contours and native gorse bushes to shape the course; and a chance to play on a historic course that was a testing ground for James Braid and Tommy Armour.  Braid Hills is a Par 71 that will test the experienced golfer, and give golfers of all abilities a memorable round.",Golf,"Weekday - Member £15 Non Member £20
Weekend - Member £18 Non Member £24",,"
","55.916141,-3.204318"
"Braidburn Valley Park","168 Comiston Road","EH10 5TE","0131 529 5151",,,"Orienteering course
Cycle route
Bike racks","Cycling
Orienteering",,,,"55.922182,-3.210395"
"Bruntsfield Links Short Hole Golf Course","Melville Drive","EH9 9EX","0131 529 5151",sfc.southneighbourhood@edinburgh.gov.uk,,"Short hole golf course (free to play)
Toilets",,"Free to play. No booking required for short hole golf course. Just turn up and play.",,http://www.edinburgh.gov.uk/directory_record/133367/bruntsfield_links,"55.939682975454566,-3.2021713256835938"
"Burdiehouse Burn Valley Park ","Gilmerton Dykes Street","EH17 8LS","0131 447 7145",,,"Skateboard park","BMX
Inline skating
Skateboarding",,,,"55.903951,-3.143655"
"Cammo Estate","Cammo Road","EH4 8AW","0131 447 7145",,"Visitor Centre and toilet:
Tue, Sun, 2pm-4pm
Thu, 10am-4pm","Orienteering ",Orienteering,,,,"55.96061,-3.316772"
"Campbell Park","Woodhall Road","EH13 0HS","0131 527 3800",sportspitch@edinburghleisure.co.uk,,,"Football
Cricket",,,,"55.902914,-3.269663"
"Carrick Knowe Golf Course","Glendevon Park","EH12 5UZ","0131 337 1096",,,"Centrally located close to the city, within a punt of Murrayfield Stadium and a lion’s roar from the Zoo, Carrick Knowe is a mature parkland golf course. All the holes are beautifully framed by a variety of trees with Edinburgh Castle as a backdrop, and gentle contours, resulting in an easy walk around.  The par 70 course is suitable for golfers of all abilities and ages, with golf buggies available for hire.",Golf,"Weekday - Member £13.50 Non Member £18
Weekend - Member £15.75 Non Member £21",,,"55.939201,-3.25524"
"Colinton Dell","Lanark Road","EH14 1JF","0131 447 7145",,,"Cycle route",Cycling,,,,"55.911504,-3.266116"
"Craigentinny Golf Course","Fillyside Road","EH7 6RG","0131 554 7501",,,"Views of Arthur's Seat and the historic Calton Hill monuments characterise this 18 hole par 67 course. There is an interesting mix of holes on this undulating parkland course from some tricky par threes to some very testing par fours. Craigentinny is a very walkable golf course and will be enjoyed by golfers of all ages and abilities.","Golf
Golf lessons","Weekday - Member £13.50 Non Member £18
Weekend - Member £15.75 Non Member £21",http://www.edinburghleisuregolf.co.uk/lessons/,,"55.965259,-3.134842"
"Craiglockhart Sports Centre","177 Colinton Road","EH14 1BZ","0131 443 0101",info.clc@edinburghleisure.co.uk,"Monday - Friday: 6.30am-10.30pm
Saturday: 9am - 6pm
Sunday: 9am - 10pm","3 fitness studios
Large gym (70+ pieces of equipment incl. Power Plate and free weights area)
2 squash courts
Sports hall
Kayaking pond
Tennis Centre
Limited free car parking","Badminton
Coached activities
Equipment hire
Fitness classes
Gymnastics
Judo
Kayaking
School holiday activities
Table tennis",http://www.edinburghleisure.co.uk/detail-627,,http://www.edinburghleisure.co.uk/list-112,"55.923872,-3.235685"
"Craiglockhart Tennis Centre","177 Colinton Road","EH14 1BZ","0131 443 0101",,"Monday - Friday: 9am-10.30pm
Saturday: 9am - 6pm
Sunday: 9am - 10pm

Café:
Mon, Tue, Thu, 9.30am-5pm
Wed, 9.30am-3pm
Sat, 10am-3pm","6 indoor acrylic tennis courts (all year round)
8 outdoor American clay tennis courts (Apr - Sept)
3 undercover (dome) American clay tennis courts (Sept - Apr)
RPM studio
Tumbles softplay (0 - 5 years)
Changing rooms and showers
Café
Meeting Room","Coaching programme
Fitness classes
Equipment hire and sale
Tennis",http://www.edinburghleisure.co.uk/detail-432,http://www.edinburghleisure.co.uk/resources/2011%20Tennis%20Brochure/2012_Tennis_Brochure.pdf,,"55.923872,-3.235685"
"Craigmillar Castle Park including Hawkhill Woods","Old Dalkeith Road","EH16 4TE","0131 447 7145",,,"Mountain bike trail","Mountain biking",,,,"55.918698,-3.135625"
"Dalmeny Street Park","Dalmeny Street","EH6 8PG","0131 529 5050",,,"Ball court
Playing field","Basketball
Football",,,,"55.964817,-3.173433"
