"Name of Street",Area,"Sub Area (If Applicable)","Meaning and History","Approved Date","Available for Use"
Adamson,Almond,Cramond,"William Adamson of Craigcrook owned the land from 1542",,Yes
Alhambra,Leith,,"Alhambra cinema on the corner of Springfield, now gone. ",,Yes
Anglia,"City Centre",,"This was the original name of London Street.",,Yes
Balmarino,"Craigentinny Duddingston",,"Part of Restalrig was sold to Lord Balmerino, a family to whom fortune was to prove even more unkind than to the Logans,",,Yes
Bauld,"Portobello - Craigmillar",,"Willie Bauld, ex-footballer from Newcraighall (Could be used in future)",,Yes
Ben,Leith,,"from Ben Line Steamers.  Founded in Leith by Thomson family in 1825.  Moved south to Sunderland in 1902",,Yes
Benhar,"Portobello - Craigmillar",,"One of the mining companies from the area",,Yes
Berdock,Almond,"South Queensferry","South QueensferryÂs Burry Man is covered in burdocks ",,Yes
"Bert Jansch",Forth,,"Scottish Musician who lived in West Pilton Area - Died 2011",,"No - Future Use subject to Street Naming Criteria"
Bertram,"Portobello - Craigmillar",,"Craigmillar Doctor",,"No - More information required before use (subject to Street Naming Criteria)"
Bolton,"Portobello - Craigmillar",,"Reg Bolton, founder of the suitcase circus, who worked in Craigmillar in the 70Âs.  Reg was a world famous community artist who recently died (Could be used in the future)",,"No - More information required before use (subject to Street Naming Criteria)"
"Bowes, Dingwall, Ferguson, Flockhart, Galvane, Hewson, Kelly, Knight, Macnab, Makill, Nealands, Scott, Sinbad, Squance, Steedman, Stobbie, Stoddart, Tobias, Watt.","Portobello - Craigmillar",,"Niddrie Family Names from the First Government Census 1841:",,Yes
Britannia,Leith,,"From the Royal Yacht Britannia moored at Ocean Terminal",,Yes
Broadstairs,"South Central",,"Broadstairs House stood on the land now bounded by Salisbury Place and Duncan Street. It was demolished to make way for Mr. T.C. Jack's printing works in the 18th century.",,Yes
Broomview,"South West",,"Old tower block name.Suggested by Forrester and St Augustine's High Schools",,Yes
Burton,"South West",,"from the local biscuit factory.Suggested by Forrester and St Augustine's High Schools",,Yes
Byrehope,Pentlands,,"Named hill in the Pentlands.  Most of the others are already used in Edinburgh street names.",,Yes
Campion,"Portobello - Craigmillar",,"Friar Campion was the parish priest at St ThereasaÂs in the 60Âs for at least 6 years.  He died in the 80Âs in Glasgow.  Organised a youth Craigmillar pipe band and helped the scouts in the area.  He was highly popular and did much outreach.",,Yes
Capella,"Portobello - Craigmillar",,"In 1502 a chapel called ÂCapella de Nudry-MerschaleÂ stood on the north side of the rivulet at the west end of the Wauchope familyÂs Niddrie House.  It was one of two chapels, which beside the parish kirk existed in the parish of liberton in former times.  ",,Yes
Cardiff,"City Centre",,"This is the only capital city in the UK that has not been honoured by the City of Edinburgh.",,Yes
Catstane,Almond,Kirkliston,"Catstane, an ancient monumental stone in the Edinburgh section of Kirkliston parish, on the peninsula between the Almond and Gogar Burn, 3Â½ miles WNW of Corstorphine village. ",,Yes
"Chalybeate ",Almond,"Davidsons Mains and Silverknowes","Names from the Well in the grounds of Lauriston Castle",,Yes
Chestnut,Forth,,"Chestnut Street in Granton Harbour being demolished.  The name could be reused. The Chestnut is a rock formation in the river Forth",,
"Cornelius Waugh",Leith,,"Born in Leith and was Dux of Leith Academy. (Died 2009).  He was a Leith Councillor from 1969 - 1995 for the progressives and then the Conservatives, serving for a time as Leader of Edinburgh District Council.  He is also remembered as an active member of Leith Academicals Rugby CLub, Leith Franklin Cricket Club and Leith Rules Golof Society.  ",,"No - Future use subject to street naming criteria"
Cottagefield,Almond,Cramond,"From c1950 mapping (Site Currently Gamekeepers Road)",,Yes
"Craw Hill",Pentlands,,"Self explanatory, named for the presence of Crows",,Yes
Curling,"Craigentinny Duddingston",,"Duddingston Loch was famous for curling.  The Duddingston Curling Society was formed in 1796.  In 1803 the Society established the first code of rules.  (Curling is used as a street name prefix in Glasgow, Cupar, Ceres, Cowdenbeath and several other places in Scotland)",,Yes
Darwin,"City Centre",,"In honour of Charles Darwin who came to Edinburgh in 1825 to study medicine and resided at 11 Lothian Street (now demolished and part of the National Museum of Scotland built on the site)",,Yes
Dragon,Almond,Kirkliston,"The ship's voice call-sign was appropriately named DRAGON; the unofficial name ROADRUNNER was used for sports etc. The 'roadrunner' logo was painted on the ship's paravanes which were towed astern to cut the mines moorings.",,Yes
Dunkeld,Almond,Cramond,"A tower-house in Cramond, probably built in the early 15th century, and part of a now-demolished larger establishment, was once a manor house of the Bishops of Dunkeld, of whose diocese Cramond was a part. It was made structurally sound and converted to a private dwelling in the 1980s.",,Yes
