Street,"Premises Address","Permitted Table Area","Permit Start date","Permit End date","Permit Number","Council Ward","Ward Name"
"Advocates Close - Zizzi","Advocate's Close","43.60m2 and 13.70m2","Saturday, May 18, 2013","Saturday, May 17, 2014",550,11,
"Albert Place - Tailend Restaurant","14-15 Albert Place","2.4m x 1.0m","Monday, May 27, 2013","Tuesday, November 26, 2013",180,12,
"Albert Street - The Office","180 Albert Street","5.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",342,12,
"Albert Street - Word of Mouth","3A Albert Street","4.0m x 1.0m","Saturday, April 20, 2013","Saturday, October 19, 2013",444,12,
"Antigua Street - Caf","13 Antigua Street","2.8m x 3.5m & 1.1m x 3.5m","Monday, April 01, 2013","Monday, September 30, 2013",325,11,
"Argyle Place - The Argyle Bar","15 - 17 Argyle Place","4.5m x 1.0m","Tuesday, April 23, 2013","Tuesday, October 22, 2013",56,10,
"Bath Street - The Beach House","57 Bath Street","12.0m x 1.0m","Friday, April 05, 2013","Friday, October 04, 2013",110,17,
"Bath Street - The Esplanade","62-64 Bath Street","9.0m x 1.0m (18/02/13-31/03/13 and 01/10/13-31/03/14)
9.0m x 1.0m & 9.0m x 1.0m - 01/04/13-30/09/13)","Monday, February 18, 2013","Monday, March 31, 2014",211,17,
"Baxter's Place - Taste of Italy","9 Baxter's Place","5.5m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",377,11,
"Baxters Place - Planet Bar","6 Baxters Place","2.0m x 1.0m and 2.0m x 1.0m and 2.0m x 2.0m","Sunday, June 09, 2013","Sunday, June 08, 2014",22,11,
"Belford Road - Braw","54 Belford Road","2.0m x 2.0m","Friday, April 05, 2013","Friday, October 04, 2013",177,05,
"Bernard Street - Marmalade","23 Bernard Street","3.0m x 2.0m & 3.0m x 2.0m","Wednesday, May 29, 2013","Thursday, November 28, 2013",490,13,
"Bonnington Road - The Bonnington","284 Bonnington Road","6.2m x 1.5m","Monday, May 13, 2013","Tuesday, November 12, 2013",549,12,
"Bread Street - Monboddo Bar","34 Bread Street","7.0m x 2.5m","Monday, April 01, 2013","Monday, September 30, 2013",99,11,
"Bridge Road - Dantes Trattoria","48/50 Bridge Road","2.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",331,08,
"Brighton Place - Baguette Express","3 Brighton Place","2.0m x 1.0m & 2.0m x 1.0m","Friday, April 19, 2013","Friday, October 18, 2013",383,17,
"Broughton Street - Bakehouse Co.","32 Broughton Street","3.0m x 1.2m","Friday, April 26, 2013","Friday, April 25, 2014",148,11,
"Broughton Street - Cask and Barrel","115 Broughton Street","10.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",384,11,
"Brougton Place - The Olive Branch","2 Broughton Place","8.1m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",45,11,
"Bruntsfield Place - Caf","182/4 Bruntsfield Place","8.0m x 1.0m","Monday, April 01, 2013","Monday, March 31, 2014",80,10,
"Bruntsfield Place - Falko Konditormeister","185 Bruntsfield Place","6.0m x 1.5m","Monday, April 01, 2013","Monday, September 30, 2013",229,10,
"Bruntsfield Place - Inca Restaurant","183 Bruntsfield Place","1.5m x 1.9m","Saturday, June 08, 2013","Saturday, June 07, 2014",94,10,
"Bruntsfield Place - La Barantine","202 Bruntsfield Place","2.0m x 1.0m","Monday, April 01, 2013","Monday, September 30, 2013",7,10,
