"Street name",Locality,From,To,"Section Length (Metres)","Treatment Priority Category","Treatment Route Number"
"A8000 - Kirkliston to South Queensferry",,"A90T - Echline Rbout to Fife Boundary","A8000 - Kirkliston to South Queensferry",20.35,1B,"P015_South Queensfer"
"A8000 - Kirkliston to South Queensferry",,"End of cul de sac","A8000 - Kirkliston to South Queensferry",46.02,1B,"P015_South Queensfer"
"A8000 - Kirkliston to South Queensferry",,"End of cul de sac","Builyeon Road",31.18,1B,"P015_South Queensfer"
"A8000 - Kirkliston to South Queensferry",,"A90T - Echline Rbout to Fife Boundary","A90T - Echline Rbout to Fife Boundary",76.65,1B,"P015_South Queensfer"
"A8000 - Kirkliston to South Queensferry",,"Ferrymuir Gait","A8000 - Kirkliston to South Queensferry",288.1,1B,"P015_South Queensfer"
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry","Ferrymuir Gait",65.54,1B,"P015_South Queensfer"
"Abbey Mount",Abbeyhill,"Regent Road",Abbeyhill,236.7,1B,CYC002_CityIR
Abbeyhill,Abbeyhill,"Calton Road",Canongate,21.02,1B,CYC002_CityIR
Abbeyhill,Abbeyhill,"Abbey Mount","Abbey Close",83.27,1B,CYC002_CityIR
Abbeyhill,Abbeyhill,"Abbey Close","Calton Road",108.4,1B,CYC002_CityIR
"Abercorn Crescent",Willowbrae,"Abercorn Grove","Abercorn Avenue",104.4,1B,P022_Northfield
"Abercorn Crescent",Willowbrae,"Abercorn Avenue","Willowbrae Road",199.3,1B,P022_Northfield
"Abercorn Crescent",Willowbrae,"Paisley Crescent","Abercorn Grove",93.06,1B,P022_Northfield
"Abercorn Road",Willowbrae,"Glenlee Avenue","Wolseley Crescent",60.88,1B,P022_Northfield
"Abercorn Road",Willowbrae,"Willowbrae Avenue","Lilyhill Terrace",29.73,1B,P022_Northfield
"Abercorn Road",Willowbrae,"Glenlee Gardens","Willowbrae Avenue",59.47,1B,P022_Northfield
"Abercorn Road",Willowbrae,"Glenlee Gardens","Glenlee Avenue",51.66,1B,P022_Northfield
"Abercorn Road",Willowbrae,"Wolseley Crescent","Willowbrae Road",74.33,1B,P022_Northfield
"Abercorn Terrace","Portobello East","John Street","Pittville Street",108.3,1B,P023_Portobello
