"Street Name",Locality,From,To,"Section Length (Metres)","Treatment Priority","Treatment Route Number"
"A70--Glenbrook Rd to B7031",,"Haughhead Road","B7031 - A70 to Greenburn",930.3,1,Bankhead_001
"A70--Glenbrook Rd to B7031",,"Glenbrook Road","Haughhead Road",693.4,1,Bankhead_001
"A8000 - Kirkliston to South Queensferry",,"A90T - Echline Rbout to Fife Boundary","A8000 - Kirkliston to South Queensferry",20.35,1,Barnton_001
"A8000 - Kirkliston to South Queensferry",,"A90T - Dalmeny to Echline Roundabout","A90T - Dalmeny to Echline Roundabout",10.56,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry","A8000 - Kirkliston to South Queensferry",49.68,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry","Kirkliston Road",23.34,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,Ferrymuir,"A8000 - Kirkliston to South Queensferry",32.23,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,Ferrymuir,Ferrymuir,11.66,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry",Ferrymuir,22.48,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"End of cul de sac","A8000 - Kirkliston to South Queensferry",46.02,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry","A8000 - Kirkliston to South Queensferry",42.24,1,Barnton_001
"A8000 - Kirkliston to South Queensferry",,"A90T - Dalmeny to Echline Roundabout","A8000 - Kirkliston to South Queensferry",75.26,1,Barnton_001
"A8000 - Kirkliston to South Queensferry",,"Builyeon Road","A90T - Dalmeny to Echline Roundabout",33.55,1,Barnton_001
"A8000 - Kirkliston to South Queensferry",,"End of cul de sac","Builyeon Road",31.18,1,Barnton_001
"A8000 - Kirkliston to South Queensferry",,"A90T - Echline Rbout to Fife Boundary","A90T - Echline Rbout to Fife Boundary",76.65,1,Barnton_002
"A8000 - Kirkliston to South Queensferry",,"Kirkliston Road","A8000 - Kirkliston to South Queensferry",33.73,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"A8000 - Kirkliston to South Queensferry","Ferrymuir Gait",65.54,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"Milton Farm Road","M9 - Link Road to A90T",1020,1,Barnton_003
"A8000 - Kirkliston to South Queensferry",,"Main Street - Dalmeny to A8000 - Kirklis","A90T - Dalmeny to Echline Roundabout",171.1,1,Barnton_003
