Name of organisation,Name of youth work Location,location postcode,contact Address,contact Postcode,email,Telephone,Website,area served  City wide,area served Neighbourhood,access Open,access Referral,access Mixed,aim General youth work,aim Uniformed youth,aim training and employment,aim health and wellbeing,aim community safety,aim youth participation,aim accredited work,aim equalities,aim counselling/support,activities Sports,activities Arts,activities Environmental,activities Outdoor,activities Dialogue/conversational group work,activities Detached youth work,Open youth club/youth caf‚,activities 1-1 work,activities school linked work,activities health and wellbeing,opening time Weekday mornings,opening time weekend mornings,opening time weekday afternoons,opening time weekend afternoons,opening time weekday evenings,opening time weekend evening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Rock Trust,Underground Cafe,EH1 3QY,"55 Albany Street, Edinburgh",EH1 3QY,admin@rocktrust.org,0131 557 4059,http://www.rocktrust.org,1,0,0,,1,,0,1,1,,1,,,,1,1,1,1,1,1,1,1,,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Army Welfare Service (Lowlands),Caledonian Community Centre,EH13 9QN,"Building 29, Dreghorn Barracks",EH13 9QW,,0131 310 2845,http://www.army.mod.uk/welfare-support/23199.aspx,1,0,0,,1,1,0,,,,,,,,0,1,0,1,0,,1,,,0,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leith Acorn Centre YMCA,Leith Acorn Centre,EH6 5JA,1 Junction Place. Leith,EH6 5JA,admin.leithymca@btconnect.com,0131 553 7877,http://edinburghmethodist.com/wp/?page_id=90,,1,0,,1,,1,,,1,,,,,0,1,0,0,1,1,1,1,,0,1,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Broomhouse Centre,The Broomhouse Centre,EH11 3RH,"79/89 Broomhouse Crescent, Edinburgh",EH11 3RH,admin@broomhousecentre.org.uk,0131 455 7731,http://www.broomhousecentre.org.uk,,1,0,1,,,0,,1,,,,,,0,1,0,0,1,,0,1,,1,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke of Edinburgh's Award - Open Group,Boroughmuir High School,EH10 4LR,"Bangholm Outdoor Centre, 23 Craighall Gardens",EH6 4RT,admin@fota.org.uk,0131 551 4370,http://www.fota.org.uk,1,,1,,,,1,,1,,,1,,,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke of Edinburgh's Award - Open Group,Dalry primary School,EH11 2JB,"Bangholm Outdoor Centre, 23 Craighall Gardens",EH6 4RT,admin@fota.org.uk,0131 551 4370,http://www.fota.org.uk,1,,1,,,,1,,1,,,1,,,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke of Edinburgh's Award - Open Group,Royal High School ,EH4 6JP,"Bangholm Outdoor Centre, 23 Craighall Gardens",EH6 4RT,admin@fota.org.uk,0131 551 4370,http://www.fota.org.uk,1,,1,,,,1,,1,,,1,,,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke of Edinburgh's Award - Open Group,Drummond High School ,EH7 4BS,"Bangholm Outdoor Centre, 23 Craighall Gardens",EH6 4RT,admin@fota.org.uk,0131 551 4370,http://www.fota.org.uk,1,,1,,,,1,,1,,,1,,,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke of Edinburgh's Award - Open Group,James Gillespie Schoolÿ,EH9 1DD,"Bangholm Outdoor Centre, 23 Craighall Gardens",EH6 4RT,admin@fota.org.uk,0131 551 4370,http://www.fota.org.uk,1,,1,,,,1,,1,,,1,,,1,1,1,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volunteer Centre Edinburgh (Accelerate Project),Volunteer Centre Edinburgh,EH2 4PF,45 Queensferry Street Lane Edinburgh,EH2 4PF,admin@volunteeredinburgh.org.uk,0131 2550630,http://www.volunteeredinburgh.org.uk,1,0,0,,1,,0,1,1,,1,,,,0,0,0,0,1,,0,,,0,1,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Organisation for Race Equality,West Pilton Neighbourhood Centre,EH4 4BY,Inchgarvie Court,EH4 4DA,administrator@coregb.org.uk,0131 467 7990,http://www.core.org.uk,,1,0,,1,,0,,,,,,1,,1,1,0,1,1,,0,,,0,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILDREN 1ST bfriends Edinburgh service,The Base @ Harvesters Way,EH14 3JH,"Baird House, 10-12 Newtoft Street, Edinburgh",EH17 8RD,bfriends@children1st.org.uk,0131 4682580,http://www.bfriends.org.uk,1,0,0,1,,1,0,,,,,,,,0,0,0,0,0,,0,1,,0,,,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The BIG Project,Broomhouse Primary School,EH11 3RQ,33/39 Saughton Road,EH11 3RQ,bigproject@hotmail.co.uk,0131 622 7784,http://www.thebigproject.org.uk/,,1,,,1,1,,,1,,,,,,1,1,,,1,,1,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberton Kirk,Liberton Kirk,EH16 6RY,"Kirkgate, Edinburgh",EH16 6RY,,0131 664 8264,http://www.libertonkirk.org,,1,1,,,1,0,,,,,,,,1,1,1,1,1,1,1,1,,0,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Square - Connected,Four Square Hub,EH7 4HF,67 Logie Green Road,EH7 4HF,connected@foursquare.org.uk,0131 557 7912,http://www.foursquare.org.uk/connected.htm,,1,0,1,,,0,1,,,,,,,0,0,0,0,1,,0,1,,0,1,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairbridge,Fairbridge centre,EH6 4AQ,"73 Ferry Road, Edinburgh",EH6 4AQ,edinburgh@fairbridge.org.uk,0131 554 2568,http://www.fairbridge.org.uk,1,0,0,1,,1,0,,,,,1,,,1,1,0,1,1,,0,1,,0,1,,1,,0,0,
"St Mungo's Church, Balerno",St Mungo's Ministry Centre and St Mungo's Church Building,EH14 7AE,"St Mungo's Ministry Centre, 46B Bavelaw Rd, Balerno",EH14 7AE,enquiries@stmungos.orgg,0131 449 9902,http://www.stmungosyouth.com,,1,0,,1,1,0,,,,,,,,1,1,1,1,1,,1,1,,0,,1,1,1,1,1,
Fet Lor Youth Centre,Fet Lor Youth Centre,EH4 2NY,"122 Crewe Road South,",EH4 2NY,fetlor@hotmail.com,0131 332 4506,http://www.fetloryouthclub.org.uk,,1,0,,,1,0,,,,,,,,1,1,0,1,0,,1,,,0,,,1,1,1,0,
1143 (8th Edinburgh) Sqn Air Cadets,"Figgateburn Park,",EH15 1NB,"South East Scotland Wing, RAF Leuchars",KY16 0JX,hqdcsw-om@leuchars.raf.mod.uk,01334 838682,http://www.sescot.aircadets-sni.org.uk,,1,1,,,,1,,,,,,,,1,0,0,1,0,,0,,,0,,,,,1,1,
142 (2nd Edinburgh) Sqn Air Cadets,"Clark Road,",EH5 3BE,"South East Scotland Wing, RAF Leuchars",KY16 0JX,hqdcsw-om@leuchars.raf.mod.uk,01334 838682,http://www.sescot.aircadets-sni.org.uk,,1,1,,,,1,,,,,,,,1,0,0,1,0,,0,,,0,,,,,1,1,
287 (4th Edinburgh) Sqn Air Cadets,80 Stevenson Drive,EH11 3BQ,"South East Scotland Wing, RAF Leuchars",KY16 0JX,hqdcsw-om@leuchars.raf.mod.uk,01334 838682,http://www.sescot.aircadets-sni.org.uk,,1,1,,,,1,,,,,,,,1,0,0,1,0,,0,,,0,,,,,1,1,
870 (Dreghorn) Sqn Air Cadets,"TA Cente, 301 Colinton Road",EH13 0LA,"South East Scotland Wing, RAF Leuchars",KY16 0JX,hqdcsw-om@leuchars.raf.mod.uk,01334 838682,http://www.sescot.aircadets-sni.org.uk,,1,1,,,,1,,,,,,,,1,0,0,1,0,,0,,,0,,,,,1,1,
City of Edinburgh Council - Gracemount High School,Gracemount High School,EH16 6TZ,Gracemount High School,EH16 6TZ,community.learninganddevelopment@edinburgh.gov.uk,,http://www.edinburgh.gov.uk/info/550/youth_clubs_and_organisations/412/clubs_groups_and_classes/2,,1,0,1,,,0,,,,,,,1,0,0,1,1,1,,0,1,,0,1,1,1,1,0,0,
Braidwood Neighbourhood Centre,Braidwood Neighbourhood Centre,EH8 9UT,69 Dumbiedykes Road,EH8 9UT,info@braidwoodcentre.org,0131 556 5965,http://www.braidwoodcentre.org,,1,1,,,1,0,,,,,,,,1,1,0,1,0,,1,,,0,,,,,1,0,
Citadel Youth Centre,Citadel Youth Centre,EH6 6JE,175 Commercial Street,EH6 6JE,info@citadelyouthcentre.org.uk,0131 5540510,http://www.citadelyouthcentre.org.uk,,1,0,,1,1,0,,,,,,,1,0,0,0,0,1,,1,1,,0,1,,1,,1,0,
Drylaw Neighbourhood Centre,Drylaw Neighbourhood Centre ,EH4 2SA,67b Groathill Road North,EH4 2SA,info@drylawnc.org.uk,0131 3154989,http://www.drylawnc.org.uk,,1,1,,,1,0,,,,,,,,1,0,1,1,0,,1,,,0,1,,1,,1,0,
Granton youth Centre,Granton youth centre,EH5 1HG,3-11 West Granton Road,EH5 2JL,info@grantonyouth.com,0131-467-5854,http://www.grantonyouth.com,,1,0,,1,1,0,,,1,,,,,1,1,0,1,1,1,1,1,,1,1,,1,,1,0,
The Green Team,Tynecastle High School,EH11 2ND,"c/o Tynecastle High School, McLeod Street",EH11 2ND,info@greenteam.org.uk,0131 337 7227,http://www.greenteam.org.uk/index.html,1,,,,1,,,,1,,1,1,,,,,1,1,1,,,,1,1,,1,,1,,1,
LGBT Youth Scotland,LGBT Youth Scotland - Lothians Edinburgh office,EH6 6JD,40 Commercial st,EH6 6JD,info@lgbtyouth.org.uk,0131 555 3940,http://www.lgbtyouth.org.uk,1,0,0,,1,1,0,,,,,,1,1,0,1,0,0,1,1,0,1,1,0,1,,1,,1,0,
Muirhouse Youth Development Group,The Klub,EH4 4NL,67 Pennywell Road,EH4 4NL,info@myadventure.org.uk,01313323356,http://www.mydg.org.uk,,1,0,,1,,1,,,,,,,,1,1,0,1,0,1,1,1,,0,1,1,1,1,1,1,
Muirhouse Youth Development Group,Muirhouse Shopping Centre,EH4 4TZ,67 Pennywell Road,EH4 4NL,info@mydg.org.uk,0131 332 3356,http://www.mydg.org.uk,,1,0,,1,,0,,,1,,,,,1,1,1,1,1,1,1,,,0,1,,1,1,1,1,
Pilton Youth and Children's Project,The Greenhouse,EH4 4BH,The Greenhouse 1A West Pilton Brae Edinburgh,EH4 4BH,info@pycp.co.uk,0131-332-9815,http://www.pycp.co.uk,,1,0,,1,1,0,,,,,,,,1,1,0,1,1,,1,1,,0,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUTS,"Lady Victoria Colliery Newtongrange,",EH22 4QN,"Former Central Workshops, ",EH22 4QN,info@ruts.org.uk,0131 663 5736,http://www.ruts.org.uk/,1,0,0,,,,0,,,,,,,,0,0,0,0,0,,0,,,0,,,,,0,0,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saheliya,Saheliya premises,EH7 4NW,125 MacDonald Road,EH7 4NW,info@saheliya.co.uk,0131 556 9302,http://www.saheliya.co.uk,,1,0,,1,,0,,1,,1,,1,,1,1,1,1,1,,0,1,,0,,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Junction,The junction,EH6 5LJ,160-162 Great Junction Street,EH6 5LJ,info@the-junction.org,0131 553 0570,http://www.the-junction.org/,,1,,,1,,,,1,,,,,1,,,,,1,1,,1,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Youth Agency,Pyramid Youth Centre,EH14 2QR,"12 Dumbryden Road, Edinburgh",EH14 2AB,info@youthagency.net,0131 442 4015,http://www.youthagency.net,,1,0,,1,1,0,,,,,,,,0,0,1,0,1,1,1,1,,0,1,1,1,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafe K,Jack Kane Community Centre,EH16 4NB,"c/o Jack Kane Community Centre, 208 Niddrie Mains Road, Edinburgh",EH16 4NB,mail@cafek.org,0131 657 1595,http://www.cafek.org,,1,0,,1,1,0,,,1,1,,,,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streetwork UK,Oxgangs,EH13 9EU,4 Bellevue Street,EH7 4BY,mail@streetwork.org.uk,0131 447 2023,http://www.streetwork.org.uk,,1,,,1,,,,,,,,,1,,,,,1,1,,1,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Streetwork UK,Craigmillar,EH16 4DW,4 Bellevue Street,EH7 4BY,mail@streetwork.org.uk,0131 447 2023,http://www.streetwork.org.uk,,1,,,1,,,,,,,,,1,,,,,1,1,,1,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
