SITE_NAME,ADDRESS,POSTCODE,SECTOR,SUB_TYPE,RELIGION,NURSERY,ANNEXE,COMM_ED_AR,CF_AREA,WARD_NAME,WARD_NO,SIP_AREA,LDC_AREA,SEED_NO,TELEPHONE,FAX_NUMBER,WEBSITE,X_COORD,Y_COORD
Abbeyhill Primary School,"Abbey Street, Edinburgh",EH7 5SJ,Primary,ND Primary,ND,YES,,N/A,North,City Centre,11,N/A,East,5520924,661 3054,478 7067,www.abbeyhill.edin.sch.uk,327073,674330
Balgreen Primary School,"171 Balgreen Road, Edinburgh",EH11 3AT,Primary,ND Primary,ND,,,N/A,West,Sighthill/Gorgie,7,N/A,Central,5521025,337 6066,476 7220,www.balgreen.edin.sch.uk,322130,672300
Blackhall Primary School,"83 Craigcrook Road, Edinburgh",EH4 3PH,Primary,ND Primary,ND,,,N/A,West,Inverleith,5,N/A,West,5521122,336 1023,466 7063,www.blackhall.edin.sch.uk,321338,674322
Bonaly Primary School,"57 Bonaly Road, Edinburgh",EH13 0FJ,Primary,ND Primary,ND,YES,,N/A,South West,Colinton/Fairmilehead,8,N/A,Pentlands,5540925,441 7211,477 7046,www.bonaly.edin.sch.uk,321388,668064
Broomhouse Primary School,"39 Saughton Road, Edinburgh",EH11 3RQ,Primary,ND Primary,ND,YES,,N/A,West,Sighthill/Gorgie,7,Broomhouse,Pentlands,5521424,443 3783,444 5446,www.broomhouse.edin.sch.uk,320494,671313
Broughton Primary School,"132 Broughton Road, Edinburgh",EH7 4LD,Primary,ND Primary,ND,YES,,N/A,North,Leith Walk,12,N/A,North and Leith,5521521,556 7028,556 7001,www.broughton-pri-edin.sch.uk,325880,675350
Brunstane Primary School,"106 Magdalene Drive, Edinburgh",EH15 3BE,Primary,ND Primary,ND,YES,,N/A,East,Portobello/Craigmillar,17,N/A,East,5521629,669 4498,669 7457,www.brunstane.edin.sch.uk,331160,672636
Bruntsfield Primary School,"12 Montpelier, Edinburgh",EH10 4NA,Primary,ND Primary,ND,,,N/A,South,Meadows/Morningside,10,N/A,South,5521726,229 1821,221 9969,www.bruntsfield.edin.sch.uk,324480,672250
Buckstone Primary School,"79 Buckstone Loan East, Edinburgh",EH10 6UY,Primary,ND Primary,ND,YES,,N/A,South,Colinton/Fairmilehead,8,N/A,Pentlands,5541220,445 4545,445 7709,www.buckstone.edin.sch.uk,325330,668730
Canal View Primary School,"Dumbryden Gardens, Edinburgh",EH14 2NZ,Primary,ND Primary,ND,YES,,N/A,South West,Sighthill/Gorgie,7,Wester Hailes,Pentlands,5520428,453 5686,453 3880,none,320075,669956
Carrick Knowe Primary School,"Lampacre Road, Edinburgh",EH12 7HU,Primary,ND Primary,ND,YES,,N/A,West,Corstorphine/Murrayfield,6,N/A,West,5521920,334 4505,467 7923,www.carrickknowe.edin.sch.uk,320510,672450
Castleview Primary School,"2D Greendykes Road, Edinburgh",EH16 4DP,Primary,ND Primary,ND,YES,,N/A,East,Portobello/Craigmillar,17,Craigmillar,East,5520029,661 6429,661 9493,www.castleview.edin.sch.uk,329150,671401
