Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,Location
"Abbeyhill Primary School Nursery Class","Abbey Street","EH7 5SJ","0131 661 3054",Admin@Abbeyhill.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thu, 8.55am-3.10pm, Fri 8.55am-12.25pm, P3-7 Mon-Thurs 8.54am-3.25pm, Fri 8.54am-12.25pm",http://www.abbeyhill.edin.sch.uk,"Sally Barker",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9566671,-3.1691928"
"Arbor Green Nursery","22 Arboretum Avenue","EH4 1HP","0131 343 2345",info@arborgreennursery.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,http://www.arborgreennursery.com/,,North,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.959881,-3.2110617"
"Balgreen Nursery School","175 Balgreen Road","EH11 3AT","0131 337 1454",Admin@balgreen-nur.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Mon-Fri, 8.55am-3.05pm",,"Jane Whinnett",West,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Nursery School","55.9364568,-3.2479517"
"Barnton Nursery","534 Queensferry Road","EH4 6EE","0131 339 6340",bothwellnurseries@live.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9604817,-3.3018301"
"Blackhall Nursery","Ravelston Park Pavilion, Craig Crook Road","EH4 3RU","0131 332 8296",staff@blackhallnursery.fsnet.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,West,"Green flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Playgroup or Part-Time Nursery","55.9555449,-3.2535591"
"Blossom Tree Nursery","2 Newtoft Street","EH17 8RE","0131 664 4944",info@blossomtree.org.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9053041,-3.1352494"
"Bonaly Primary School Nursery Class","57 Bonaly Road","EH13 0FJ","0131 441 7211",Admin@Bonaly.edin.sch.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.55am-3.15pm, Fri 8.55am, P3-7 Mon-Thu 8.55am-3.30pm, Fri 8.55am-12.10pm",http://www.bonaly.edin.sch.uk,"Laurinda Ramage","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary","55.9005102,-3.2595063"
"Bonnington House Nursery","159 Newhaven Road","EH6 4QA",,admin@bonningtonhousenursery.co.uk,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9760392,-3.193071"
"Bright Horizons Family Solutions - Annandale","Annandale Street Lane","EH7 4LS","0131 557 5567",annandale@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9605185,-3.1830317"
"Bright Horizons Family Solutions - Bruntsfield","7 Blantyre Terrace, Bruntsfield","EH10 5AD","0131 447 9797",bruntsfield@brighthorizons.com,"<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,,South,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Private Day Nursery","55.9343227,-3.2129984"
