Name,Address,Postcode,Telephone,Email,Inspections,"Opening Hours","Establishment website",Religion,Headteacher,Neighbourhood,"Eco-Schools status","More about the Eco-Schools programme",Type,"More information",Location
"Abbeyhill Primary School Nursery Class","Abbey Street","EH7 5SJ","0131 661 3054",Admin@Abbeyhill.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thu, 8.55am-3.10pm, Fri 8.55am-12.25pm, P3-7 Mon-Thurs 8.54am-3.25pm, Fri 8.54am-12.25pm",http://www.abbeyhill.edin.sch.uk,Non-Denominational,"Sandra Stewart (Acting)",North,Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.956702,-3.16887"
"Arbor Green Nursery","22 Arboretum Avenue","EH4 1HP","0131 343 2345",info@arborgreennursery.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,http://www.arborgreennursery.com/,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.959881,-3.211062"
"Balgreen Nursery School","175 Balgreen Road","EH11 3AT","0131 337 1454",Admin@balgreen-nur.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Mon-Fri, 8.55am-3.05pm",,,"Jane Whinnett",West,Silver,http://www.edinburgh.gov.uk/info/20049/environmental_education/595/eco-schools_in_edinburgh,"Local Authority Nursery School",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.937407,-3.248619"
"Barnton Nursery","534 Queensferry Road","EH4 6EE","0131 339 6340",bothwellnurseries@live.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.960482,-3.30183"
"Blackhall Nursery","Ravelston Park Pavilion, Craig Crook Road","EH4 3RU","0131 332 8296",staff@blackhallnursery.fsnet.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,West,,,"Playgroup or Part-Time Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,","
"Blossom Tree Nursery","2 Newtoft Street","EH17 8RE","0131 664 4944",info@blossomtree.org.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.905304,-3.135249"
"Bonaly Primary School Nursery Class","57 Bonaly Road","EH13 0FJ","0131 441 7211",Admin@Bonaly.edin.sch.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>","Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.55am-3.15pm, Fri 8.55am, P3-7 Mon-Thu 8.55am-3.30pm, Fri 8.55am-12.10pm",http://www.bonaly.edin.sch.uk,Non-Denominational,"Laurinda Ramage","South West",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","Local Authority Non-Denominational Primary",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.90051,-3.259506"
"Bonnington House Nursery","159 Newhaven Road","EH6 4QA",,admin@bonningtonhousenursery.co.uk,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.976039,-3.193071"
"Bright Horizons Family Solutions - Annandale","Annandale Street Lane","EH7 4LS","0131 557 5567",annandale@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,North,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.960518,-3.183032"
"Bright Horizons Family Solutions - Bruntsfield","7 Blantyre Terrace, Bruntsfield","EH10 5AD","0131 447 9797",bruntsfield@brighthorizons.com,"<a href=""http://www.scswis.com/index.php?option=com_content&task=view&id=7909&Itemid=727"">View details of recent inspections by the Care Inspectorate</a>",,,,,South,,,"Private Day Nursery",http://www.edinburgh.gov.uk/info/851/nurseries_and_playgroups/566/pre-school_nursery_education/2,"55.934323,-3.212998"
