Name,Address,Postcode,Telephone,Email,"More information","Opening hours","Head Teacher",Inspections,"Associated secondary school","Meal provider","More about primary school meals","Eco-Schools status","More about the Eco-Schools programme",Neighbourhood,"Catchment area map","Active Schools Co-ordinator",Location
"Abbeyhill Primary School","Abbey Street","EH7 5SJ","0131 661 3054",Admin@Abbeyhill.edin.sch.uk,http://www.abbeyhill.edin.sch.uk,"Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thu, 8.55am-3.10pm, Fri 8.55am-12.25pm, P3-7 Mon-Thurs 8.54am-3.25pm, Fri 8.54am-12.25pm","Sally Barker","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Drummond Community High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Alan Reid 0131 556 2651/07799 861494","55.956702,-3.16887"
"Balgreen Primary School","171 Balgreen Road","EH11 3AT","0131 337 6066",Admin@Balgreen.edin.sch.uk,http://www.balgreen.edin.sch.uk,"P1-2 Mon-Thu, 8.50am-2.40pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm","Fiona Christie","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Tynecastle High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Pamela Brown 07884 142774","55.93736,-3.248541"
"Blackhall Primary School","83 Craigcrook Road","EH4 3PH","0131 336 1023",Admin@blackhall.edin.sch.uk,http://www.blackhall.edin.sch.uk,"P1-2 Mon-Thu, 8.50am-3pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm","Arran Finlay","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","The Royal High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Neil Russell 07825 782585","55.95582,-3.261323"
"Bonaly Primary School","57 Bonaly Road","EH13 0FJ","0131 441 7211",Admin@Bonaly.edin.sch.uk,http://www.bonaly.edin.sch.uk,"Nurs 9am-11.35am, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.55am-3.15pm, Fri 8.55am, P3-7 Mon-Thu 8.55am-3.30pm, Fri 8.55am-12.10pm","Laurinda Ramage","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Firrhill High",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","South West","<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Lorna Norman/Shona Clark 07884 191761/07776 151522","55.900813,-3.259478"
"Broomhouse Primary School","39 Saughton Road","EH11 3RQ","0131 443 3783",Admin@Broomhouse.edin.sch.uk,http://www.broomhouse.edin.sch.uk,"Nurs 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thu 8.50am-2.55pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm","Jamie Petrie","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Forrester High",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Paddy Dearlove 07884 203270","55.928527,-3.273493"
"Broughton Primary School","132 Broughton Road","EH7 4LD","0131 556 7028",Admin@broughton-pri.edin.sch.uk,http://www.broughton-pri.edin.sch.uk,"Nur 9am-11.35, 12.30pm-3.05pm, FT 9am-3.05pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-11.55am, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.25pm","Gillian O'Rourke","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Drummond  Community High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Alan Reid 0131 556 2651/07799 861494","55.96546,-3.189797"
"Brunstane Primary School","106 Magdalene Drive","EH15 3BE","0131 669 4498",Admin@brunstane.edin.sch.uk,http://www.brunstane.edin.sch.uk,"Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-3pm, Fri 8.50am-12.20pm, P3-7 Mon-Thu 8.50am-3.15pm, Fri 8.50am-12.30pm","Willie French (Acting)","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Portobello High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",East,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Lewis Patience/Tony Segall 07825 842971/07884 244362","55.94266,-3.105038"
"Bruntsfield Primary School","12 Montpelier","EH10 4NA","0131 229 1821",Admin@bruntsfield.edin.sch.uk,http://www.bruntsfield.edin.sch.uk,"P1-2 Mon-Thu, 8.50am-3.15pm, Fri 8.50am-12pm, P3-7 Mon-Thu 8.45am-3.20pm, Fri 8.45am-12.05pm","Carol-Anne Kyle","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Boroughmuir High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Andrew Caldwell 07825 386710/0131 229 9703","55.936935,-3.210556"
"Buckstone Primary School","79 Buckstone Loan East","EH10 6UY","0131 445 4545",Admin@buckstone.edin.sch.uk,http://www.buckstone.edin.sch.uk,"Nur 8.55am-11.30am, 12.25pm-3pm, FT 8.55am-3pm, P1-2 Mon-Thurs 8.50am-2.45pm, Fri 8.50am-12.15pm, P3-7 Mon-Thu 8.50am-3.20pm, Fri 8.50am-12.25pm","Diane Palmer","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Boroughmuir High","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Andrew Caldwell 07825 386710/0131 229 9703","55.90494,-3.199688"
"Bun-sgoil Taobh na Pairce","139b Bonnington Road","EH6 5NQ","0131 553 5856",admin@taobhnapairce.edin.sch.uk,http://www.taobhnapairce.edin.sch.uk,,"Anne MacPhail","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",,,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",None,,North,,,"55.9705162,-3.180594"
