Name,Address,Postcode,Telephone,Email,"More information","Opening hours","Head Teacher",Inspections,"Meal provider","More about secondary school meals","Eco-Schools status","More about the Eco-Schools programme",Neighbourhood,"Catchment area map","Active Schools Co-ordinator",Location
"Balerno Community High School","5 Bridge Road, Balerno","EH14 7AQ","0131 477 7788",Admin@balernochs.edin.sch.uk,http://www.balernochs.edin.sch.uk,"Mon-Thu, 8.35am-3.45pm
Fri, 8.35am-12.00pm","Graeme Sives","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Registered,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","South West","<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Ricky Karoyan 07884 175080","55.88641,-3.339527"
"Boroughmuir High School",Viewforth,"EH10 4LR","0131 229 9703",Admin@boroughmuir.edin.sch.uk,http://www.boroughmuir.edin.sch.uk,"Mon-Thu, 8.32am-3.30pm
Fri, 8.32am-12.50pm","David Dempster","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",South,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Andrew Caldwell 07825 386710/0131 229 9703","55.938238,-3.209996"
"Broughton High School","29 East Fettes Avenue","EH4 1EG","0131 332 7805",Admin@Broughton.edin.sch.uk,http://www.broughton.edin.sch.uk,"Mon-Thu, 8.30am-3.30pm
Fri, 8.30am-12.15pm","John Wilson","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1767/broughton_high_school_catchment_map"">Download the catchment map</a> or read more about <a href=""http://www.edinburgh.gov.uk/info/879/school_and_nursery_places/937/school_places/2"">school catchments</a>","Robert Ure 07884 216213","55.961271,-3.220481"
"Castlebrae High School","2A Greendykes Road","EH16 4DP","0131 661 1282",Admin@castlebrae.edin.sch.uk,http://www.castlebrae.edin.sch.uk,"Mon-Thu, 8.30am-3.35pm
Fri, 8.30am-12.15pm","Norma Prentice","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",East,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Scott Christie 0131 468 4504","55.929703,-3.133866"
"Craigmount High School","59 Craigs Road","EH12 8NH","0131 339 6823",Admin@craigmount.edin.sch.uk,http://www.craigmount.edin.sch.uk,"Mon-Thu, 8.30am-3.30pm
Fri, 8.30am-12.44pm","Dr John Campbell","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1769/craigmount_high_school_catchment_map"">Download the catchment map</a> or read more about <a href=""http://www.edinburgh.gov.uk/info/879/school_and_nursery_places/937/school_places/2"">school catchments</a>","Bob Laurie/Alisa Wilson 0131 339 6823/07825 843159","55.946307,-3.308483"
"Craigroyston Community High School","67 Pennywell Road","EH4 4QP","0131 477 7801",Admin@craigroyston.edin.sch.uk,http://www.craigroyston.edin.sch.uk/,"Mon-Thur 8.30 am-3.20 pm
Fri 8.30 am-1 pm","Stephen Ross","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/downloads/file/1772/craigroyston_high_school_catchment_map"">Download the catchment map</a> or read more about <a href=""http://www.edinburgh.gov.uk/info/879/school_and_nursery_places/937/school_places/2"">school catchments</a>","Andrew Gallacher 07711 390745/0131 477 7801","55.973565,-3.25364"
"Currie Community High School","31 Dolphin Avenue, Currie","EH14 5RD","School: 0131 449 2165, Community Office: 0131 449 5922",Admin@currie.edin.sch.uk,http://www.currie.edin.sch.uk,"Mon-Thu 8.30am-3.30pm, 
Fr 8.30am-12.35pm","Doreen MacKinnon","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>","Edinburgh Catering Services","<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>","Green Flag","Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","South West","<a href=""http://www.edinburgh.gov.uk/downloads/file/1773/currie_high_school_catchment_map"">Download the catchment map</a> or read more about <a href=""http://www.edinburgh.gov.uk/info/879/school_and_nursery_places/937/school_places/2"">school catchments</a>","Bev Anderson 0131 477 7788/07799 861460","55.896009,-3.31878"
"Drummond Community High School","41 Bellevue Place","EH7 4BS","0131 556 2651",Admin@drummond.edin.sch.uk,http://www.drummond.edin.sch.uk,"Mon, Tues, Thu, 8.30am-3.30pm, Wed 8.30am-3.40pm, 
Fr 8.30am-12.10pm","Norma Prentice","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Bronze,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",North,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Alan Reid 0131 556 2651/07799 861494","55.961093,-3.190627"
"Firrhill High School","9 Oxgangs Road North","EH14 1DP","0131 441 4501",Admin@firrhill.edin.sch.uk,http://www.firrhill.edin.sch.uk,"Mon-Thu, 8.35am-3.40pm, Fri, 8.35am-12.00pm","Sarah Brown","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Amey,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>","South West","<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Lorna Norman/Shona Clark 07884 191761/07776 151522","55.914837,-3.237877"
"Forrester High School","212 Broomhouse Road","EH12 9AE","0131 334 9262",Admin@forrester.edin.sch.uk,http://www.forrester.edin.sch.uk,"Mon-Thu, 8.30am-3.30pm
Fri, 8.30am-12.35pm","Graeme Thompson","<a href=""http://www.educationscotland.gov.uk/inspectionandreview/reports/school/index.asp"">Read Education Scotland's inspection reports</a>",Mitie,"<a href=""http://www.edinburgh.gov.uk/schoolmeals"">Read the school meal menus</a>",Silver,"Read more about <a href=""http://www.edinburgh.gov.uk/ecoschools"">Eco Schools in Edinburgh</a>",West,"<a href=""http://www.edinburgh.gov.uk/catchmentmap"">Read more about school catchments</a>","Paddy Dearlove 07884 203270","55.931,-3.289741"
