SPECIAL SCHOOLS,,,,,,,,,,,,,,
BASED ON SCOTXED RETURNS AS OF 20 SEPTEMBER 2012,,,,,,,,,,,,,,

School Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,T1,T2,T3,T4,T5,T6,Total
Braidburn,4,3,5,2,1,5,4,4,16,4,9,6,10,73
Gorgie Mills School,,,,,,,,9,12,13,12,10,1,57
Howdenhall and St Katharine's,,,,,,,,,,2,,2,,4
Kaimes School,2,1,4,4,3,5,7,9,6,20,16,13,1,91
Oaklands School,1,5,1,5,8,5,4,,2,3,5,4,1,44
Pilrig Park School,,,,,,,,16,18,20,16,21,,91
Prospect Bank School,4,6,10,2,12,5,13,,,,,,,52
Redhall School,7,12,3,11,9,8,11,,,,,,,61
Rowanfield School,,,,7,5,10,8,,,,,,,30
St Crispin's School,4,4,3,4,,1,1,8,5,4,7,7,4,52
Wellington,,,,,,,,,2,5,16,10,1,34
Woodlands School,,,,,,,,13,11,18,8,17,3,70
Total,22,31,26,35,38,39,48,59,72,89,89,90,21,659
